Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1758934361,2025-09-27T00:52:41Z,SWA57,"36.078274,-115.129036",0,15,90
1758934368,2025-09-27T00:52:48Z,SWA57,"36.078266,-115.128395",0,15,90
1758934374,2025-09-27T00:52:54Z,SWA57,"36.078278,-115.127861",0,14,90
1758934382,2025-09-27T00:53:02Z,SWA57,"36.078266,-115.127335",0,12,90
1758934388,2025-09-27T00:53:08Z,SWA57,"36.078278,-115.126945",0,9,90
1758934395,2025-09-27T00:53:15Z,SWA57,"36.078278,-115.126663",0,6,90
1758934405,2025-09-27T00:53:25Z,SWA57,"36.078266,-115.126434",0,4,90
1758934416,2025-09-27T00:53:36Z,SWA57,"36.078274,-115.126228",0,3,90
1758934429,2025-09-27T00:53:49Z,SWA57,"36.078274,-115.126022",0,3,90
1758934442,2025-09-27T00:54:02Z,SWA57,"36.078278,-115.125801",0,4,90
1758934450,2025-09-27T00:54:10Z,SWA57,"36.078274,-115.125587",0,5,90
1758934458,2025-09-27T00:54:18Z,SWA57,"36.078274,-115.125366",0,6,90
1758934466,2025-09-27T00:54:26Z,SWA57,"36.078274,-115.12513",0,5,90
1758934475,2025-09-27T00:54:35Z,SWA57,"36.078278,-115.124886",0,3,90
1758934494,2025-09-27T00:54:54Z,SWA57,"36.078278,-115.124672",0,2,90
1758934508,2025-09-27T00:55:08Z,SWA57,"36.078274,-115.124443",0,3,90
1758934519,2025-09-27T00:55:19Z,SWA57,"36.078274,-115.124199",0,5,90
1758934526,2025-09-27T00:55:26Z,SWA57,"36.078274,-115.123993",0,5,90
1758934534,2025-09-27T00:55:34Z,SWA57,"36.078278,-115.123787",0,4,90
1758934560,2025-09-27T00:56:00Z,SWA57,"36.078278,-115.123573",0,1,90
1758934602,2025-09-27T00:56:42Z,SWA57,"36.078274,-115.123367",0,3,90
1758934614,2025-09-27T00:56:54Z,SWA57,"36.078274,-115.123161",0,4,90
1758934623,2025-09-27T00:57:03Z,SWA57,"36.078278,-115.122955",0,4,92
1758934635,2025-09-27T00:57:15Z,SWA57,"36.078255,-115.122742",0,3,104
1758934679,2025-09-27T00:57:59Z,SWA57,"36.07814,-115.122528",0,3,120
1758934692,2025-09-27T00:58:12Z,SWA57,"36.078003,-115.122299",0,4,129
1758934706,2025-09-27T00:58:26Z,SWA57,"36.077866,-115.122086",0,1,129
1758934770,2025-09-27T00:59:30Z,SWA57,"36.077728,-115.121872",0,3,129
1758934787,2025-09-27T00:59:47Z,SWA57,"36.077579,-115.121658",0,3,129
1758934799,2025-09-27T00:59:59Z,SWA57,"36.07745,-115.121452",0,5,129
1758934809,2025-09-27T01:00:09Z,SWA57,"36.077248,-115.121269",0,6,151
1758934816,2025-09-27T01:00:16Z,SWA57,"36.077042,-115.121223",0,6,171
1758934824,2025-09-27T01:00:24Z,SWA57,"36.076801,-115.121223",0,7,180
1758934847,2025-09-27T01:00:47Z,SWA57,"36.076412,-115.121727",0,7,272
1758934852,2025-09-27T01:00:52Z,SWA57,"36.076424,-115.122009",0,15,272
1758934853,2025-09-27T01:00:53Z,SWA57,"36.076424,-115.122215",0,27,270
1758934855,2025-09-27T01:00:55Z,SWA57,"36.076424,-115.12249",0,33,270
1758934856,2025-09-27T01:00:56Z,SWA57,"36.076424,-115.122696",0,38,270
1758934857,2025-09-27T01:00:57Z,SWA57,"36.076424,-115.123116",0,49,270
1758934859,2025-09-27T01:00:59Z,SWA57,"36.076412,-115.123413",0,55,270
1758934865,2025-09-27T01:01:05Z,SWA57,"36.076412,-115.126251",0,86,270
1758934873,2025-09-27T01:01:13Z,SWA57,"36.076401,-115.131165",2100,126,270
1758934881,2025-09-27T01:01:21Z,SWA57,"36.076401,-115.137978",2125,161,270
1758934889,2025-09-27T01:01:29Z,SWA57,"36.076401,-115.14595",2175,191,270
1758934898,2025-09-27T01:01:38Z,SWA57,"36.076263,-115.155197",2575,191,268
1758934906,2025-09-27T01:01:46Z,SWA57,"36.076126,-115.163956",3150,186,268
1758934912,2025-09-27T01:01:52Z,SWA57,"36.076035,-115.170479",3475,189,269
1758934920,2025-09-27T01:02:00Z,SWA57,"36.075989,-115.179581",3775,197,270
1758934928,2025-09-27T01:02:08Z,SWA57,"36.076035,-115.189194",3950,211,270
1758934937,2025-09-27T01:02:17Z,SWA57,"36.076126,-115.199142",4125,224,270
1758934945,2025-09-27T01:02:25Z,SWA57,"36.076218,-115.209793",4300,237,270
1758934951,2025-09-27T01:02:31Z,SWA57,"36.076401,-115.218826",4575,241,271
1758934959,2025-09-27T01:02:39Z,SWA57,"36.076447,-115.230515",5050,240,270
1758934972,2025-09-27T01:02:52Z,SWA57,"36.07663,-115.247841",5725,242,271
1758934983,2025-09-27T01:03:03Z,SWA57,"36.077591,-115.262375",6100,248,281
1758934985,2025-09-27T01:03:05Z,SWA57,"36.078125,-115.265221",6225,247,285
1758934987,2025-09-27T01:03:07Z,SWA57,"36.079147,-115.268898",6375,246,289
1758934989,2025-09-27T01:03:09Z,SWA57,"36.080063,-115.271469",6475,245,294
1758934991,2025-09-27T01:03:11Z,SWA57,"36.081161,-115.273987",6575,245,298
1758934993,2025-09-27T01:03:13Z,SWA57,"36.082443,-115.276398",6675,244,303
1758934995,2025-09-27T01:03:15Z,SWA57,"36.083897,-115.278725",6775,244,308
1758934997,2025-09-27T01:03:17Z,SWA57,"36.085464,-115.2808",6875,243,313
1758934999,2025-09-27T01:03:19Z,SWA57,"36.086922,-115.282402",6950,243,320
1758935002,2025-09-27T01:03:22Z,SWA57,"36.08876,-115.28418",7050,243,322
1758935004,2025-09-27T01:03:24Z,SWA57,"36.090927,-115.285912",7125,244,326
1758935006,2025-09-27T01:03:26Z,SWA57,"36.09288,-115.287193",7200,245,333
1758935008,2025-09-27T01:03:28Z,SWA57,"36.095024,-115.288422",7250,247,337
1758935010,2025-09-27T01:03:30Z,SWA57,"36.09721,-115.289413",7325,248,341
1758935012,2025-09-27T01:03:32Z,SWA57,"36.099445,-115.290237",7375,249,345
1758935014,2025-09-27T01:03:34Z,SWA57,"36.101772,-115.290939",7450,250,348
1758935016,2025-09-27T01:03:36Z,SWA57,"36.10424,-115.291466",7525,251,350
1758935018,2025-09-27T01:03:38Z,SWA57,"36.106659,-115.291901",7600,252,352
1758935020,2025-09-27T01:03:40Z,SWA57,"36.109222,-115.292244",7700,252,353
1758935022,2025-09-27T01:03:42Z,SWA57,"36.111549,-115.292572",7800,253,353
1758935024,2025-09-27T01:03:44Z,SWA57,"36.114063,-115.292984",7900,254,352
1758935026,2025-09-27T01:03:46Z,SWA57,"36.116364,-115.293335",8000,255,352
1758935029,2025-09-27T01:03:49Z,SWA57,"36.118626,-115.293739",8075,256,352
1758935031,2025-09-27T01:03:51Z,SWA57,"36.121555,-115.294212",8175,258,352
1758935033,2025-09-27T01:03:53Z,SWA57,"36.123825,-115.294586",8250,259,352
1758935035,2025-09-27T01:03:55Z,SWA57,"36.126297,-115.294937",8325,260,353
1758935037,2025-09-27T01:03:57Z,SWA57,"36.128914,-115.295204",8425,261,355
1758935039,2025-09-27T01:03:59Z,SWA57,"36.131565,-115.29538",8525,262,358
1758935041,2025-09-27T01:04:01Z,SWA57,"36.134262,-115.295334",8625,261,1
1758935043,2025-09-27T01:04:03Z,SWA57,"36.136826,-115.295105",8750,259,4
1758935046,2025-09-27T01:04:06Z,SWA57,"36.139343,-115.294708",8875,257,8
1758935048,2025-09-27T01:04:08Z,SWA57,"36.142227,-115.293915",9050,255,12
1758935050,2025-09-27T01:04:10Z,SWA57,"36.14423,-115.293274",9150,253,16
1758935052,2025-09-27T01:04:12Z,SWA57,"36.146805,-115.292244",9300,253,19
1758935054,2025-09-27T01:04:14Z,SWA57,"36.149231,-115.291046",9425,252,22
1758935056,2025-09-27T01:04:16Z,SWA57,"36.151382,-115.28978",9550,251,25
1758935059,2025-09-27T01:04:19Z,SWA57,"36.153534,-115.288353",9650,251,28
1758935061,2025-09-27T01:04:21Z,SWA57,"36.155632,-115.286789",9750,252,31
1758935063,2025-09-27T01:04:23Z,SWA57,"36.157776,-115.28492",9850,253,34
1758935065,2025-09-27T01:04:25Z,SWA57,"36.159592,-115.283104",9925,255,37
1758935067,2025-09-27T01:04:27Z,SWA57,"36.161316,-115.281204",9975,256,42
1758935069,2025-09-27T01:04:29Z,SWA57,"36.163548,-115.278488",10050,259,46
1758935071,2025-09-27T01:04:31Z,SWA57,"36.164944,-115.276505",10075,263,49
1758935073,2025-09-27T01:04:33Z,SWA57,"36.166481,-115.274109",10125,266,52
1758935075,2025-09-27T01:04:35Z,SWA57,"36.168156,-115.271126",10150,269,55
1758935078,2025-09-27T01:04:38Z,SWA57,"36.169601,-115.268158",10175,273,59
1758935080,2025-09-27T01:04:40Z,SWA57,"36.1707,-115.265747",10200,277,61
1758935082,2025-09-27T01:04:42Z,SWA57,"36.172066,-115.26265",10250,280,61
1758935084,2025-09-27T01:04:44Z,SWA57,"36.173584,-115.259171",10300,283,62
1758935086,2025-09-27T01:04:46Z,SWA57,"36.174721,-115.256454",10325,286,62
1758935088,2025-09-27T01:04:48Z,SWA57,"36.175964,-115.253448",10350,289,62
1758935090,2025-09-27T01:04:50Z,SWA57,"36.177467,-115.249741",10375,292,63
1758935092,2025-09-27T01:04:52Z,SWA57,"36.178585,-115.246819",10425,296,64
1758935095,2025-09-27T01:04:55Z,SWA57,"36.179718,-115.243774",10450,301,66
1758935097,2025-09-27T01:04:57Z,SWA57,"36.181049,-115.239632",10475,304,68
1758935099,2025-09-27T01:04:59Z,SWA57,"36.18203,-115.236412",10500,307,70
1758935101,2025-09-27T01:05:01Z,SWA57,"36.182915,-115.232964",10525,310,72
1758935103,2025-09-27T01:05:03Z,SWA57,"36.18375,-115.229515",10575,313,74
1758935105,2025-09-27T01:05:05Z,SWA57,"36.184616,-115.225639",10625,315,75
1758935108,2025-09-27T01:05:08Z,SWA57,"36.185333,-115.222099",10650,318,75
1758935110,2025-09-27T01:05:10Z,SWA57,"36.186218,-115.217804",10700,322,76
1758935112,2025-09-27T01:05:12Z,SWA57,"36.187042,-115.213623",10750,324,75
1758935114,2025-09-27T01:05:14Z,SWA57,"36.187775,-115.21019",10800,326,75
1758935116,2025-09-27T01:05:16Z,SWA57,"36.188644,-115.205956",10850,329,75
1758935120,2025-09-27T01:05:20Z,SWA57,"36.190269,-115.198257",10925,333,75
1758935122,2025-09-27T01:05:22Z,SWA57,"36.191025,-115.194794",10950,336,74
1758935135,2025-09-27T01:05:35Z,SWA57,"36.196335,-115.170883",11300,348,76
1758935144,2025-09-27T01:05:44Z,SWA57,"36.198029,-115.153259",11675,354,88
1758935146,2025-09-27T01:05:46Z,SWA57,"36.198074,-115.149879",11750,355,90
1758935148,2025-09-27T01:05:48Z,SWA57,"36.198029,-115.145645",11850,355,91
1758935150,2025-09-27T01:05:50Z,SWA57,"36.197891,-115.141182",11975,355,91
1758935152,2025-09-27T01:05:52Z,SWA57,"36.197762,-115.137184",12075,356,92
1758935154,2025-09-27T01:05:54Z,SWA57,"36.197662,-115.132889",12200,356,92
1758935156,2025-09-27T01:05:56Z,SWA57,"36.197525,-115.128822",12300,356,92
1758935158,2025-09-27T01:05:58Z,SWA57,"36.197388,-115.123672",12425,357,91
1758935160,2025-09-27T01:06:00Z,SWA57,"36.19725,-115.119476",12500,358,91
1758935163,2025-09-27T01:06:03Z,SWA57,"36.197159,-115.115494",12575,358,91
1758935165,2025-09-27T01:06:05Z,SWA57,"36.197063,-115.111061",12650,360,91
1758935167,2025-09-27T01:06:07Z,SWA57,"36.196976,-115.105759",12750,361,91
1758935197,2025-09-27T01:06:37Z,SWA57,"36.196472,-115.042938",14075,368,89
1758935229,2025-09-27T01:07:09Z,SWA57,"36.197857,-114.976128",15625,370,89
1758935261,2025-09-27T01:07:41Z,SWA57,"36.197067,-114.907036",17150,372,91
1758935294,2025-09-27T01:08:14Z,SWA57,"36.196335,-114.837173",18375,380,90
1758935324,2025-09-27T01:08:44Z,SWA57,"36.1959,-114.77066",19425,390,90
1758935356,2025-09-27T01:09:16Z,SWA57,"36.195786,-114.697723",20475,400,90
1758935388,2025-09-27T01:09:48Z,SWA57,"36.195831,-114.625168",22075,391,90
1758935420,2025-09-27T01:10:20Z,SWA57,"36.195511,-114.554214",23000,388,90
1758935452,2025-09-27T01:10:52Z,SWA57,"36.195236,-114.48246",23000,383,90
1758935483,2025-09-27T01:11:23Z,SWA57,"36.194962,-114.416656",23325,385,90
1758935516,2025-09-27T01:11:56Z,SWA57,"36.194832,-114.344475",24425,387,90
1758935546,2025-09-27T01:12:26Z,SWA57,"36.194,-114.27681",25275,391,93
1758935561,2025-09-27T01:12:41Z,SWA57,"36.190247,-114.242416",25675,395,100
1758935563,2025-09-27T01:12:43Z,SWA57,"36.189617,-114.23835",25725,395,101
1758935566,2025-09-27T01:12:46Z,SWA57,"36.188644,-114.232635",25800,396,102
1758935568,2025-09-27T01:12:48Z,SWA57,"36.187729,-114.227829",25850,396,102
1758935570,2025-09-27T01:12:50Z,SWA57,"36.186768,-114.223083",25925,397,104
1758935572,2025-09-27T01:12:52Z,SWA57,"36.185894,-114.218895",25975,397,105
1758935574,2025-09-27T01:12:54Z,SWA57,"36.184681,-114.213516",26050,396,105
1758935576,2025-09-27T01:12:56Z,SWA57,"36.183704,-114.209427",26100,397,106
1758935578,2025-09-27T01:12:58Z,SWA57,"36.182556,-114.20488",26150,398,107
1758935581,2025-09-27T01:13:01Z,SWA57,"36.181236,-114.199959",26200,399,108
1758935583,2025-09-27T01:13:03Z,SWA57,"36.17984,-114.194756",26250,399,108
1758935585,2025-09-27T01:13:05Z,SWA57,"36.178619,-114.190353",26300,399,108
1758935618,2025-09-27T01:13:38Z,SWA57,"36.159451,-114.118553",27050,407,108
1758935649,2025-09-27T01:14:09Z,SWA57,"36.140598,-114.047958",27775,413,108
1758935682,2025-09-27T01:14:42Z,SWA57,"36.121262,-113.975662",28475,419,108
1758935714,2025-09-27T01:15:14Z,SWA57,"36.101307,-113.901695",28850,435,108
1758935746,2025-09-27T01:15:46Z,SWA57,"36.080154,-113.823685",29125,449,108
1758935779,2025-09-27T01:16:19Z,SWA57,"36.058594,-113.743515",29600,459,108
1758935811,2025-09-27T01:16:51Z,SWA57,"36.037159,-113.66449",30550,448,108
1758935844,2025-09-27T01:17:24Z,SWA57,"36.016022,-113.586884",31625,432,108
1758935876,2025-09-27T01:17:56Z,SWA57,"35.995377,-113.511719",32550,429,108
1758935909,2025-09-27T01:18:29Z,SWA57,"35.974136,-113.43441",33025,436,108
1758935941,2025-09-27T01:19:01Z,SWA57,"35.953354,-113.359337",33000,443,108
1758935974,2025-09-27T01:19:34Z,SWA57,"35.931671,-113.279968",33000,442,108
1758936006,2025-09-27T01:20:06Z,SWA57,"35.910599,-113.203354",33000,442,108
1758936038,2025-09-27T01:20:38Z,SWA57,"35.889214,-113.126808",33000,443,108
1758936070,2025-09-27T01:21:10Z,SWA57,"35.867989,-113.050606",33000,440,108
1758936103,2025-09-27T01:21:43Z,SWA57,"35.84642,-112.973442",33000,439,108
1758936133,2025-09-27T01:22:13Z,SWA57,"35.826736,-112.902718",33000,437,108
1758936166,2025-09-27T01:22:46Z,SWA57,"35.805038,-112.82518",33075,443,109
1758936196,2025-09-27T01:23:16Z,SWA57,"35.784286,-112.751633",33225,454,108
1758936228,2025-09-27T01:23:48Z,SWA57,"35.763432,-112.672508",33775,459,104
1758936260,2025-09-27T01:24:20Z,SWA57,"35.75029,-112.588577",34225,466,100
1758936293,2025-09-27T01:24:53Z,SWA57,"35.737736,-112.504089",34950,464,100
1758936326,2025-09-27T01:25:26Z,SWA57,"35.725067,-112.420181",35000,461,100
1758936358,2025-09-27T01:25:58Z,SWA57,"35.712296,-112.337326",34975,459,100
1758936391,2025-09-27T01:26:31Z,SWA57,"35.699516,-112.253273",35000,457,100
1758936421,2025-09-27T01:27:01Z,SWA57,"35.68755,-112.175552",35025,457,100
1758936453,2025-09-27T01:27:33Z,SWA57,"35.675262,-112.095337",35000,457,100
1758936485,2025-09-27T01:28:05Z,SWA57,"35.662411,-112.012863",35000,456,100
1758936518,2025-09-27T01:28:38Z,SWA57,"35.649399,-111.929512",35000,456,100
1758936550,2025-09-27T01:29:10Z,SWA57,"35.63649,-111.847519",35025,458,100
1758936583,2025-09-27T01:29:43Z,SWA57,"35.628296,-111.762375",35600,461,95
1758936613,2025-09-27T01:30:13Z,SWA57,"35.622005,-111.682571",36025,463,95
1758936646,2025-09-27T01:30:46Z,SWA57,"35.615349,-111.596024",36450,466,95
1758936678,2025-09-27T01:31:18Z,SWA57,"35.608597,-111.511932",36900,466,95
1758936711,2025-09-27T01:31:51Z,SWA57,"35.601608,-111.426888",37000,468,95
1758936742,2025-09-27T01:32:22Z,SWA57,"35.594864,-111.34375",37000,468,95
1758936775,2025-09-27T01:32:55Z,SWA57,"35.587875,-111.258087",37000,466,95
1758936805,2025-09-27T01:33:25Z,SWA57,"35.580994,-111.177261",37000,466,95
1758936836,2025-09-27T01:33:56Z,SWA57,"35.574188,-111.096039",37000,465,95
1758936869,2025-09-27T01:34:29Z,SWA57,"35.567028,-111.010765",37000,465,95
1758936899,2025-09-27T01:34:59Z,SWA57,"35.560276,-110.930824",37000,465,95
1758936931,2025-09-27T01:35:31Z,SWA57,"35.553341,-110.847496",37000,468,95
1758936964,2025-09-27T01:36:04Z,SWA57,"35.545845,-110.761353",37000,468,96
1758936996,2025-09-27T01:36:36Z,SWA57,"35.538536,-110.677147",37000,468,96
1758937028,2025-09-27T01:37:08Z,SWA57,"35.530975,-110.591873",37000,470,96
1758937060,2025-09-27T01:37:40Z,SWA57,"35.523407,-110.506622",37000,470,96
1758937091,2025-09-27T01:38:11Z,SWA57,"35.515823,-110.422554",37000,471,96
1758937123,2025-09-27T01:38:43Z,SWA57,"35.508369,-110.33815",37000,472,96
1758937155,2025-09-27T01:39:15Z,SWA57,"35.500645,-110.252655",37000,472,96
1758937188,2025-09-27T01:39:48Z,SWA57,"35.492638,-110.166748",37000,472,96
1758937219,2025-09-27T01:40:19Z,SWA57,"35.484722,-110.082069",37000,470,96
1758937250,2025-09-27T01:40:50Z,SWA57,"35.477043,-110.0009",37000,469,96
1758937283,2025-09-27T01:41:23Z,SWA57,"35.469315,-109.916985",37000,467,96
1758937313,2025-09-27T01:41:53Z,SWA57,"35.461853,-109.837479",37000,467,96
1758937344,2025-09-27T01:42:24Z,SWA57,"35.454185,-109.755577",37000,466,96
1758937375,2025-09-27T01:42:55Z,SWA57,"35.446598,-109.675285",37000,466,96
1758937408,2025-09-27T01:43:28Z,SWA57,"35.438324,-109.589195",37000,465,96
1758937439,2025-09-27T01:43:59Z,SWA57,"35.430256,-109.50605",37025,466,96
1758937472,2025-09-27T01:44:32Z,SWA57,"35.421982,-109.420853",37000,468,96
1758937504,2025-09-27T01:45:04Z,SWA57,"35.413639,-109.335175",37000,469,96
1758937535,2025-09-27T01:45:35Z,SWA57,"35.405678,-109.254997",37000,471,96
1758937567,2025-09-27T01:46:07Z,SWA57,"35.397171,-109.168915",37000,471,96
1758937600,2025-09-27T01:46:40Z,SWA57,"35.388592,-109.083313",37000,473,97
1758937630,2025-09-27T01:47:10Z,SWA57,"35.38028,-109.001656",37000,475,97
1758937662,2025-09-27T01:47:42Z,SWA57,"35.371323,-108.916351",37000,477,97
1758937693,2025-09-27T01:48:13Z,SWA57,"35.362701,-108.834518",37000,479,97
1758937725,2025-09-27T01:48:45Z,SWA57,"35.353546,-108.746681",37000,483,97
1758937757,2025-09-27T01:49:17Z,SWA57,"35.344711,-108.660797",37000,486,97
1758937790,2025-09-27T01:49:50Z,SWA57,"35.335464,-108.570953",37000,489,97
1758937820,2025-09-27T01:50:20Z,SWA57,"35.326817,-108.487885",37000,491,97
1758937851,2025-09-27T01:50:51Z,SWA57,"35.317741,-108.402275",37000,492,97
1758937883,2025-09-27T01:51:23Z,SWA57,"35.308182,-108.31398",37000,492,97
1758937915,2025-09-27T01:51:55Z,SWA57,"35.298607,-108.22509",37000,492,97
1758937946,2025-09-27T01:52:26Z,SWA57,"35.289577,-108.141113",37000,493,97
