time,lat,lon,precip_risk,vis_risk,wind_risk,fog_risk,snow_risk,severity_0_100,precip_intensity_norm_0_1,precip_probability_0_1
2025-10-14 12:00:00+00:00,25.798086,-80.284637,0.0,,16.2,17.5,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.799351,-80.288269,0.0,,19.1,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.799088,-80.294136,0.0,,19.1,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.800396,-80.301262,0.0,,19.1,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.800739,-80.248856,0.0,,18.0,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.779099,-80.20182,0.0,,24.1,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.750555,-80.088699,0.0,,24.1,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,25.848661,-79.96611,0.0,,38.9,0.0,0.0,,0.0,0.0
2025-10-14 13:00:00+00:00,26.375259,-79.430244,0.0,,29.5,0.0,0.0,,0.0,0.0
2025-10-14 14:00:00+00:00,33.480556,-77.938301,0.0,,42.5,100.0,0.0,,0.0,0.0
2025-10-14 14:00:00+00:00,32.137756,-78.232407,0.0,,35.3,47.5,0.0,,0.0,0.0
2025-10-14 14:00:00+00:00,30.776941,-78.470123,0.0,,36.7,25.0,0.0,,0.0,0.0
2025-10-14 14:00:00+00:00,26.779642,-79.115829,0.0,,26.3,0.0,0.0,,0.0,0.0
2025-10-14 14:00:00+00:00,27.913465,-78.939987,0.0,,29.5,0.0,0.0,,0.0,0.0
2025-10-14 14:00:00+00:00,29.358194,-78.706512,0.38,,31.7,30.0,0.0,,0.012,0.0
2025-10-14 15:00:00+00:00,37.855774,-75.613228,0.0,,47.2,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,39.803654,-73.868164,0.0,,61.6,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,38.660797,-74.868904,0.0,,54.4,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,36.676758,-76.15683,0.75,,39.2,100.0,0.0,,0.025,0.0
2025-10-14 15:00:00+00:00,34.198532,-77.260551,0.0,,51.5,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,34.277668,-77.198067,0.0,,50.4,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,34.165524,-77.503395,0.0,,51.8,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,34.12698,-77.617493,0.0,,52.9,100.0,0.0,,0.0,0.0
2025-10-14 15:00:00+00:00,35.347595,-76.741272,0.38,,40.3,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.208191,-71.318932,0.38,,36.0,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.364975,-71.013474,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.370079,-71.010948,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.370251,-71.005043,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.319103,-71.027252,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.265709,-71.053055,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.194641,-71.086784,1.12,,38.2,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.164505,-71.107094,1.12,,39.2,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.132156,-71.161316,0.38,,38.5,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.128937,-71.210953,0.38,,38.5,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.161991,-71.291756,0.38,,40.3,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.287167,-71.283897,0.38,,32.0,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,40.886227,-72.841164,0.0,,46.1,100.0,0.0,,0.0,0.0
2025-10-14 16:00:00+00:00,42.41803,-71.156509,0.38,,37.4,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.385395,-71.042198,0.38,,37.4,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,42.348385,-71.019524,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.307297,-71.042969,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.246185,-71.07399,1.12,,38.2,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.13678,-71.132729,1.12,,39.2,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,41.978394,-71.200645,1.12,,42.5,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,41.804516,-71.277824,0.75,,49.3,100.0,0.0,,0.025,0.0
2025-10-14 16:00:00+00:00,41.730728,-71.415352,0.38,,48.6,100.0,0.0,,0.012,0.0
2025-10-14 16:00:00+00:00,41.493347,-72.171371,0.0,,47.5,100.0,0.0,,0.0,0.0
2025-10-14 16:00:00+00:00,42.35947,-71.018806,1.12,,42.1,100.0,0.0,,0.038,0.0
2025-10-14 16:00:00+00:00,42.391678,-71.213127,0.38,,32.8,100.0,0.0,,0.012,0.0
2025-10-14 17:00:00+00:00,42.361359,-71.021614,0.75,,43.9,100.0,0.0,,0.025,0.0
