Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1768141047,2026-01-11T14:17:27Z,JBU8605,"40.642651,-73.774551",0,0,180
1768146293,2026-01-11T15:44:53Z,JBU8605,"40.642735,-73.774757",0,0,126
1768146331,2026-01-11T15:45:31Z,JBU8605,"40.642937,-73.774963",0,0,70
1768146354,2026-01-11T15:45:54Z,JBU8605,"40.642937,-73.775177",0,0,39
1768146425,2026-01-11T15:47:05Z,JBU8605,"40.643143,-73.77507",0,0,28
1768146620,2026-01-11T15:50:20Z,JBU8605,"40.643353,-73.77491",0,0,28
1768146647,2026-01-11T15:50:47Z,JBU8605,"40.643555,-73.774765",0,4,28
1768146660,2026-01-11T15:51:00Z,JBU8605,"40.643761,-73.774597",0,5,30
1768146669,2026-01-11T15:51:09Z,JBU8605,"40.644024,-73.774414",0,7,28
1768146677,2026-01-11T15:51:17Z,JBU8605,"40.644257,-73.774223",0,8,33
1768146682,2026-01-11T15:51:22Z,JBU8605,"40.644363,-73.774017",0,7,53
1768146687,2026-01-11T15:51:27Z,JBU8605,"40.644386,-73.773804",0,7,70
1768146693,2026-01-11T15:51:33Z,JBU8605,"40.644379,-73.773575",0,5,84
1768146700,2026-01-11T15:51:40Z,JBU8605,"40.644379,-73.773331",0,6,87
1768146706,2026-01-11T15:51:46Z,JBU8605,"40.644379,-73.773102",0,6,90
1768146712,2026-01-11T15:51:52Z,JBU8605,"40.644379,-73.772888",0,6,90
1768146718,2026-01-11T15:51:58Z,JBU8605,"40.644375,-73.772675",0,5,92
1768146731,2026-01-11T15:52:11Z,JBU8605,"40.644363,-73.772461",0,1,90
1768146809,2026-01-11T15:53:29Z,JBU8605,"40.644413,-73.772232",0,4,78
1768146817,2026-01-11T15:53:37Z,JBU8605,"40.644478,-73.772011",0,6,73
1768146822,2026-01-11T15:53:42Z,JBU8605,"40.644493,-73.771805",0,6,81
1768146829,2026-01-11T15:53:49Z,JBU8605,"40.644447,-73.77153",0,7,98
1768146834,2026-01-11T15:53:54Z,JBU8605,"40.644306,-73.771324",0,9,126
1768146840,2026-01-11T15:54:00Z,JBU8605,"40.644062,-73.771271",0,10,168
1768146845,2026-01-11T15:54:05Z,JBU8605,"40.643841,-73.771439",0,10,202
1768146850,2026-01-11T15:54:10Z,JBU8605,"40.643631,-73.771599",0,11,208
