Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760622889,2025-10-16T13:54:49Z,DAL1050,"29.989309,-95.350197",0,0,271
1760622907,2025-10-16T13:55:07Z,DAL1050,"29.98929,-95.350403",0,0,89
1760623311,2025-10-16T14:01:51Z,DAL1050,"29.988979,-95.352051",0,5,270
1760623495,2025-10-16T14:04:55Z,DAL1050,"29.989,-95.352524",0,0,271
1760623501,2025-10-16T14:05:01Z,DAL1050,"29.98908,-95.352753",0,9,285
1760623505,2025-10-16T14:05:05Z,DAL1050,"29.989189,-95.352959",0,11,296
1760623510,2025-10-16T14:05:10Z,DAL1050,"29.98922,-95.35331",0,13,280
1760623515,2025-10-16T14:05:15Z,DAL1050,"29.989201,-95.353668",0,14,269
1760623518,2025-10-16T14:05:18Z,DAL1050,"29.989201,-95.353996",0,15,270
1760623522,2025-10-16T14:05:22Z,DAL1050,"29.989201,-95.354248",0,15,270
1760623525,2025-10-16T14:05:25Z,DAL1050,"29.989201,-95.354492",0,15,269
1760623528,2025-10-16T14:05:28Z,DAL1050,"29.989201,-95.354752",0,16,270
1760623532,2025-10-16T14:05:32Z,DAL1050,"29.98926,-95.35508",0,16,281
1760623535,2025-10-16T14:05:35Z,DAL1050,"29.989361,-95.355309",0,16,289
1760623539,2025-10-16T14:05:39Z,DAL1050,"29.989599,-95.355591",0,18,315
1760623542,2025-10-16T14:05:42Z,DAL1050,"29.989861,-95.355743",0,21,330
1760623545,2025-10-16T14:05:45Z,DAL1050,"29.99008,-95.355873",0,19,334
1760623548,2025-10-16T14:05:48Z,DAL1050,"29.99033,-95.356003",0,20,334
1760623552,2025-10-16T14:05:52Z,DAL1050,"29.99062,-95.356194",0,18,331
1760623556,2025-10-16T14:05:56Z,DAL1050,"29.99087,-95.356483",0,18,318
1760623559,2025-10-16T14:05:59Z,DAL1050,"29.990931,-95.356781",0,19,294
1760623564,2025-10-16T14:06:04Z,DAL1050,"29.9909,-95.357368",0,19,265
1760623567,2025-10-16T14:06:07Z,DAL1050,"29.99095,-95.357628",0,18,274
1760623571,2025-10-16T14:06:11Z,DAL1050,"29.990971,-95.357964",0,19,275
1760623574,2025-10-16T14:06:14Z,DAL1050,"29.990999,-95.358353",0,19,273
1760623578,2025-10-16T14:06:18Z,DAL1050,"29.99098,-95.358681",0,20,268
1760623581,2025-10-16T14:06:21Z,DAL1050,"29.99095,-95.358978",0,19,264
1760623583,2025-10-16T14:06:23Z,DAL1050,"29.990879,-95.359291",0,20,258
1760623585,2025-10-16T14:06:25Z,DAL1050,"29.99082,-95.359497",0,20,255
1760623590,2025-10-16T14:06:30Z,DAL1050,"29.99065,-95.359894",0,20,244
1760623592,2025-10-16T14:06:32Z,DAL1050,"29.990499,-95.360168",0,20,240
1760623596,2025-10-16T14:06:36Z,DAL1050,"29.990339,-95.360382",0,14,228
1760623601,2025-10-16T14:06:41Z,DAL1050,"29.99008,-95.360443",0,14,192
1760623604,2025-10-16T14:06:44Z,DAL1050,"29.98988,-95.360359",0,15,164
1760623608,2025-10-16T14:06:48Z,DAL1050,"29.98967,-95.360191",0,15,141
1760623611,2025-10-16T14:06:51Z,DAL1050,"29.989429,-95.360046",0,15,149
1760623614,2025-10-16T14:06:54Z,DAL1050,"29.98922,-95.359909",0,17,150
1760623618,2025-10-16T14:06:58Z,DAL1050,"29.988991,-95.359787",0,17,152
1760623621,2025-10-16T14:07:01Z,DAL1050,"29.98877,-95.359688",0,17,156
1760623624,2025-10-16T14:07:04Z,DAL1050,"29.988556,-95.359749",0,14,188
1760623629,2025-10-16T14:07:09Z,DAL1050,"29.988319,-95.360062",0,14,241
1760623636,2025-10-16T14:07:16Z,DAL1050,"29.988155,-95.360428",0,13,241
1760623641,2025-10-16T14:07:21Z,DAL1050,"29.988008,-95.360741",0,14,241
1760623646,2025-10-16T14:07:26Z,DAL1050,"29.987812,-95.361061",0,14,233
1760623652,2025-10-16T14:07:32Z,DAL1050,"29.98752,-95.361191",0,13,200
