Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760902303,2025-10-19T19:31:43Z,DAL1156,"30.202869,-97.664215",0,1,210
1760905915,2025-10-19T20:31:55Z,DAL1156,"30.203081,-97.664093",0,3,225
1760905932,2025-10-19T20:32:12Z,DAL1156,"30.203243,-97.663887",0,3,250
1760905944,2025-10-19T20:32:24Z,DAL1156,"30.203289,-97.663681",0,3,253
1760905961,2025-10-19T20:32:41Z,DAL1156,"30.203304,-97.663475",0,2,151
1760906003,2025-10-19T20:33:23Z,DAL1156,"30.203442,-97.663261",0,4,70
1760906012,2025-10-19T20:33:32Z,DAL1156,"30.203465,-97.663055",0,4,81
1760906024,2025-10-19T20:33:44Z,DAL1156,"30.203476,-97.662796",0,4,84
1760906034,2025-10-19T20:33:54Z,DAL1156,"30.203487,-97.66259",0,3,87
1760906047,2025-10-19T20:34:07Z,DAL1156,"30.203487,-97.662384",0,3,90
1760906296,2025-10-19T20:38:16Z,DAL1156,"30.203499,-97.66217",0,3,87
1760906304,2025-10-19T20:38:24Z,DAL1156,"30.203499,-97.661964",0,5,87
1760906312,2025-10-19T20:38:32Z,DAL1156,"30.20351,-97.661713",0,6,87
1760906319,2025-10-19T20:38:39Z,DAL1156,"30.203522,-97.661469",0,8,90
1760906324,2025-10-19T20:38:44Z,DAL1156,"30.203487,-97.661255",0,8,95
1760906330,2025-10-19T20:38:50Z,DAL1156,"30.203348,-97.661026",0,10,129
1760906336,2025-10-19T20:38:56Z,DAL1156,"30.203053,-97.660973",0,10,174
1760906342,2025-10-19T20:39:02Z,DAL1156,"30.202812,-97.660973",0,8,180
1760906348,2025-10-19T20:39:08Z,DAL1156,"30.202606,-97.660973",0,8,180
1760906353,2025-10-19T20:39:13Z,DAL1156,"30.202381,-97.660957",0,9,180
1760906360,2025-10-19T20:39:20Z,DAL1156,"30.20208,-97.660957",0,10,180
1760906368,2025-10-19T20:39:28Z,DAL1156,"30.201702,-97.660942",0,12,180
1760906375,2025-10-19T20:39:35Z,DAL1156,"30.201336,-97.660934",0,10,180
1760906380,2025-10-19T20:39:40Z,DAL1156,"30.20113,-97.660988",0,10,194
1760906385,2025-10-19T20:39:45Z,DAL1156,"30.201004,-97.661201",0,11,233
1760906388,2025-10-19T20:39:48Z,DAL1156,"30.20097,-97.661415",0,11,261
1760906392,2025-10-19T20:39:52Z,DAL1156,"30.20097,-97.661674",0,11,270
