Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760401703,2025-10-14T00:28:23Z,DAL1224,"32.890831,-97.035217",0,0,264
1760403851,2025-10-14T01:04:11Z,DAL1224,"32.890854,-97.035004",0,4,267
1760403861,2025-10-14T01:04:21Z,DAL1224,"32.890869,-97.034782",0,4,278
1760403870,2025-10-14T01:04:30Z,DAL1224,"32.890869,-97.034576",0,4,306
1760403893,2025-10-14T01:04:53Z,DAL1224,"32.890663,-97.034378",0,0,351
1760404167,2025-10-14T01:09:27Z,DAL1224,"32.890888,-97.034386",0,4,357
1760404180,2025-10-14T01:09:40Z,DAL1224,"32.891075,-97.034119",0,6,64
1760404233,2025-10-14T01:10:33Z,DAL1224,"32.891075,-97.033859",0,0,90
1760404242,2025-10-14T01:10:42Z,DAL1224,"32.891087,-97.033653",0,6,90
1760404248,2025-10-14T01:10:48Z,DAL1224,"32.891109,-97.033394",0,8,81
1760404257,2025-10-14T01:10:57Z,DAL1224,"32.891407,-97.033203",0,9,16
1760404262,2025-10-14T01:11:02Z,DAL1224,"32.891636,-97.033203",0,10,2
1760404266,2025-10-14T01:11:06Z,DAL1224,"32.891846,-97.033195",0,11,2
1760404271,2025-10-14T01:11:11Z,DAL1224,"32.892117,-97.033203",0,12,2
1760404276,2025-10-14T01:11:16Z,DAL1224,"32.892414,-97.033195",0,12,2
1760404283,2025-10-14T01:11:23Z,DAL1224,"32.892788,-97.033195",0,12,2
1760404290,2025-10-14T01:11:30Z,DAL1224,"32.893185,-97.033195",0,11,2
1760404297,2025-10-14T01:11:37Z,DAL1224,"32.893509,-97.033195",0,12,2
1760404304,2025-10-14T01:11:44Z,DAL1224,"32.893974,-97.033195",0,13,2
1760404312,2025-10-14T01:11:52Z,DAL1224,"32.894428,-97.03318",0,13,2
1760404320,2025-10-14T01:12:00Z,DAL1224,"32.894814,-97.03318",0,13,2
1760404328,2025-10-14T01:12:08Z,DAL1224,"32.895462,-97.03318",0,14,2
1760404336,2025-10-14T01:12:16Z,DAL1224,"32.895954,-97.033173",0,15,2
1760404343,2025-10-14T01:12:23Z,DAL1224,"32.896374,-97.033157",0,13,2
1760404349,2025-10-14T01:12:29Z,DAL1224,"32.896774,-97.033157",0,14,2
1760404352,2025-10-14T01:12:32Z,DAL1224,"32.897003,-97.033173",0,14,357
1760404356,2025-10-14T01:12:36Z,DAL1224,"32.897232,-97.033173",0,14,357
1760404360,2025-10-14T01:12:40Z,DAL1224,"32.897488,-97.033173",0,15,357
1760404364,2025-10-14T01:12:44Z,DAL1224,"32.897781,-97.033173",0,15,357
1760404369,2025-10-14T01:12:49Z,DAL1224,"32.898151,-97.033173",0,15,357
1760404377,2025-10-14T01:12:57Z,DAL1224,"32.898712,-97.033173",0,15,357
1760404383,2025-10-14T01:13:03Z,DAL1224,"32.8992,-97.033157",0,15,357
1760404391,2025-10-14T01:13:11Z,DAL1224,"32.899769,-97.033157",0,16,357
1760404398,2025-10-14T01:13:18Z,DAL1224,"32.900307,-97.033157",0,15,357
1760404406,2025-10-14T01:13:26Z,DAL1224,"32.900841,-97.033157",0,14,357
1760404413,2025-10-14T01:13:33Z,DAL1224,"32.901295,-97.033157",0,14,357
1760404421,2025-10-14T01:13:41Z,DAL1224,"32.901829,-97.033142",0,15,357
1760404429,2025-10-14T01:13:49Z,DAL1224,"32.902428,-97.033142",0,15,357
1760404437,2025-10-14T01:13:57Z,DAL1224,"32.902969,-97.033142",0,15,357
1760404445,2025-10-14T01:14:05Z,DAL1224,"32.903576,-97.033142",0,16,357
1760404452,2025-10-14T01:14:12Z,DAL1224,"32.904087,-97.033142",0,16,357
1760404458,2025-10-14T01:14:18Z,DAL1224,"32.904587,-97.033127",0,15,357
1760404465,2025-10-14T01:14:25Z,DAL1224,"32.905106,-97.033134",0,16,357
1760404472,2025-10-14T01:14:32Z,DAL1224,"32.905655,-97.033134",0,16,357
1760404479,2025-10-14T01:14:39Z,DAL1224,"32.90617,-97.033119",0,16,357
1760404486,2025-10-14T01:14:46Z,DAL1224,"32.906673,-97.033119",0,15,357
1760404493,2025-10-14T01:14:53Z,DAL1224,"32.907185,-97.033112",0,15,357
1760404500,2025-10-14T01:15:00Z,DAL1224,"32.907692,-97.033119",0,16,357
1760404508,2025-10-14T01:15:08Z,DAL1224,"32.908241,-97.033112",0,15,357
