Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760268528,2025-10-12T11:28:48Z,DAL2526,"44.882702,-93.203835",0,0,222
1760270735,2025-10-12T12:05:35Z,DAL2526,"44.882874,-93.203621",0,5,216
1760270751,2025-10-12T12:05:51Z,DAL2526,"44.883129,-93.203377",0,2,89
1760270768,2025-10-12T12:06:08Z,DAL2526,"44.88327,-93.203011",0,2,89
1760271057,2025-10-12T12:10:57Z,DAL2526,"44.883549,-93.203255",0,7,334
1760271067,2025-10-12T12:11:07Z,DAL2526,"44.883762,-93.203331",0,3,343
1760271082,2025-10-12T12:11:22Z,DAL2526,"44.884079,-93.203552",0,7,329
1760271092,2025-10-12T12:11:32Z,DAL2526,"44.884289,-93.203987",0,9,305
1760271097,2025-10-12T12:11:37Z,DAL2526,"44.884399,-93.204201",0,8,303
1760271102,2025-10-12T12:11:42Z,DAL2526,"44.884521,-93.204483",0,9,302
1760271110,2025-10-12T12:11:50Z,DAL2526,"44.88472,-93.204948",0,10,300
1760271113,2025-10-12T12:11:53Z,DAL2526,"44.88483,-93.205162",0,12,302
1760271118,2025-10-12T12:11:58Z,DAL2526,"44.884953,-93.205444",0,12,300
1760271124,2025-10-12T12:12:04Z,DAL2526,"44.885101,-93.205833",0,13,300
1760271128,2025-10-12T12:12:08Z,DAL2526,"44.88522,-93.206108",0,13,300
1760271132,2025-10-12T12:12:12Z,DAL2526,"44.885342,-93.20636",0,14,300
1760271135,2025-10-12T12:12:15Z,DAL2526,"44.885471,-93.206665",0,14,300
1760271138,2025-10-12T12:12:18Z,DAL2526,"44.885574,-93.206902",0,14,300
1760271141,2025-10-12T12:12:21Z,DAL2526,"44.885708,-93.207207",0,15,300
1760271147,2025-10-12T12:12:27Z,DAL2526,"44.885921,-93.207718",0,15,301
1760271152,2025-10-12T12:12:32Z,DAL2526,"44.886097,-93.208107",0,16,300
1760271155,2025-10-12T12:12:35Z,DAL2526,"44.886215,-93.208374",0,16,300
1760271159,2025-10-12T12:12:39Z,DAL2526,"44.886372,-93.20874",0,16,300
1760271166,2025-10-12T12:12:46Z,DAL2526,"44.886658,-93.209396",0,17,300
1760271173,2025-10-12T12:12:53Z,DAL2526,"44.886978,-93.210136",0,18,300
1760271180,2025-10-12T12:13:00Z,DAL2526,"44.88731,-93.210915",0,19,300
1760271188,2025-10-12T12:13:08Z,DAL2526,"44.887657,-93.211723",0,19,300
1760271195,2025-10-12T12:13:15Z,DAL2526,"44.888008,-93.212547",0,20,300
1760271202,2025-10-12T12:13:22Z,DAL2526,"44.888355,-93.213348",0,21,300
1760271210,2025-10-12T12:13:30Z,DAL2526,"44.888752,-93.214256",0,19,300
1760271216,2025-10-12T12:13:36Z,DAL2526,"44.88905,-93.214943",0,19,300
1760271223,2025-10-12T12:13:43Z,DAL2526,"44.889381,-93.215706",0,18,300
1760271231,2025-10-12T12:13:51Z,DAL2526,"44.889648,-93.216362",0,13,298
1760271235,2025-10-12T12:13:55Z,DAL2526,"44.889679,-93.216621",0,11,281
1760271238,2025-10-12T12:13:58Z,DAL2526,"44.889645,-93.21685",0,11,258
1760271241,2025-10-12T12:14:01Z,DAL2526,"44.889519,-93.217072",0,12,233
1760271245,2025-10-12T12:14:05Z,DAL2526,"44.88937,-93.217293",0,13,225
1760271250,2025-10-12T12:14:10Z,DAL2526,"44.889164,-93.21759",0,14,225
1760271253,2025-10-12T12:14:13Z,DAL2526,"44.888992,-93.217819",0,15,222
1760271256,2025-10-12T12:14:16Z,DAL2526,"44.888832,-93.21804",0,15,225
1760271260,2025-10-12T12:14:20Z,DAL2526,"44.888622,-93.218323",0,16,225
1760271264,2025-10-12T12:14:24Z,DAL2526,"44.888454,-93.218567",0,16,225
1760271266,2025-10-12T12:14:26Z,DAL2526,"44.888287,-93.218811",0,17,225
1760271270,2025-10-12T12:14:30Z,DAL2526,"44.888077,-93.219093",0,17,225
1760271272,2025-10-12T12:14:32Z,DAL2526,"44.887936,-93.219299",0,17,225
1760271280,2025-10-12T12:14:40Z,DAL2526,"44.887493,-93.219933",0,18,225
1760271286,2025-10-12T12:14:46Z,DAL2526,"44.887047,-93.220551",0,19,225
1760271294,2025-10-12T12:14:54Z,DAL2526,"44.886555,-93.221237",0,20,225
1760271301,2025-10-12T12:15:01Z,DAL2526,"44.886051,-93.221954",0,21,225
