Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760283819,2025-10-12T15:43:39Z,DAL2526,"39.182491,-76.662491",0,6,157
1760283827,2025-10-12T15:43:47Z,DAL2526,"39.182201,-76.662064",0,13,146
1760283835,2025-10-12T15:43:55Z,DAL2526,"39.181808,-76.661713",0,15,146
1760283842,2025-10-12T15:44:02Z,DAL2526,"39.181366,-76.661301",0,14,146
1760283847,2025-10-12T15:44:07Z,DAL2526,"39.181145,-76.661102",0,11,146
1760283855,2025-10-12T15:44:15Z,DAL2526,"39.180771,-76.661003",0,10,182
1760283861,2025-10-12T15:44:21Z,DAL2526,"39.180542,-76.661163",0,10,208
1760283869,2025-10-12T15:44:29Z,DAL2526,"39.180237,-76.661423",0,10,213
1760283876,2025-10-12T15:44:36Z,DAL2526,"39.179924,-76.66169",0,11,213
1760283882,2025-10-12T15:44:42Z,DAL2526,"39.179638,-76.661926",0,13,213
1760283887,2025-10-12T15:44:47Z,DAL2526,"39.179363,-76.662155",0,14,213
1760283892,2025-10-12T15:44:52Z,DAL2526,"39.179123,-76.662361",0,14,213
1760283896,2025-10-12T15:44:56Z,DAL2526,"39.178875,-76.662567",0,15,213
1760283901,2025-10-12T15:45:01Z,DAL2526,"39.178574,-76.662804",0,15,213
1760283906,2025-10-12T15:45:06Z,DAL2526,"39.178246,-76.663086",0,16,213
1760283913,2025-10-12T15:45:13Z,DAL2526,"39.177818,-76.663452",0,17,213
1760283918,2025-10-12T15:45:18Z,DAL2526,"39.177475,-76.663734",0,17,213
1760283925,2025-10-12T15:45:25Z,DAL2526,"39.176991,-76.664154",0,18,213
1760283928,2025-10-12T15:45:28Z,DAL2526,"39.176739,-76.664368",0,20,216
1760283931,2025-10-12T15:45:31Z,DAL2526,"39.17651,-76.664497",0,19,204
1760283934,2025-10-12T15:45:34Z,DAL2526,"39.176201,-76.664749",0,20,208
1760283939,2025-10-12T15:45:39Z,DAL2526,"39.17593,-76.665009",0,18,212
1760283942,2025-10-12T15:45:42Z,DAL2526,"39.17569,-76.665253",0,16,213
1760283947,2025-10-12T15:45:47Z,DAL2526,"39.175449,-76.665428",0,14,213
1760283951,2025-10-12T15:45:51Z,DAL2526,"39.175259,-76.665657",0,13,221
1760283956,2025-10-12T15:45:56Z,DAL2526,"39.17522,-76.665901",0,9,259
1760283959,2025-10-12T15:45:59Z,DAL2526,"39.17519,-76.666153",0,13,264
1760283962,2025-10-12T15:46:02Z,DAL2526,"39.175198,-76.666359",0,12,275
1760283966,2025-10-12T15:46:06Z,DAL2526,"39.17522,-76.666626",0,12,275
1760283970,2025-10-12T15:46:10Z,DAL2526,"39.175232,-76.666931",0,12,275
1760283973,2025-10-12T15:46:13Z,DAL2526,"39.175255,-76.667198",0,13,275
1760283977,2025-10-12T15:46:17Z,DAL2526,"39.175266,-76.667465",0,13,275
1760283984,2025-10-12T15:46:24Z,DAL2526,"39.175278,-76.667938",0,11,270
1760283988,2025-10-12T15:46:28Z,DAL2526,"39.175198,-76.668167",0,11,250
1760283994,2025-10-12T15:46:34Z,DAL2526,"39.174988,-76.668396",0,9,216
1760284000,2025-10-12T15:46:40Z,DAL2526,"39.174778,-76.668625",0,10,225
1760284004,2025-10-12T15:46:44Z,DAL2526,"39.174709,-76.668839",0,12,244
1760284007,2025-10-12T15:46:47Z,DAL2526,"39.174694,-76.669044",0,13,261
1760284010,2025-10-12T15:46:50Z,DAL2526,"39.174706,-76.669289",0,14,272
1760284014,2025-10-12T15:46:54Z,DAL2526,"39.174744,-76.669617",0,15,281
1760284017,2025-10-12T15:46:57Z,DAL2526,"39.174801,-76.669876",0,15,286
