Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760293119,2025-10-12T18:18:39Z,DAL2644,"44.884048,-93.215111",0,0,202
1760300841,2025-10-12T20:27:21Z,DAL2644,"44.884258,-93.214973",0,0,202
1760300853,2025-10-12T20:27:33Z,DAL2644,"44.88448,-93.214851",0,2,1
1760300871,2025-10-12T20:27:51Z,DAL2644,"44.884602,-93.21463",0,1,89
1760301142,2025-10-12T20:32:22Z,DAL2644,"44.88467,-93.214859",0,0,271
1760301149,2025-10-12T20:32:29Z,DAL2644,"44.884731,-93.21508",0,3,271
1760301156,2025-10-12T20:32:36Z,DAL2644,"44.884861,-93.215317",0,3,271
1760301162,2025-10-12T20:32:42Z,DAL2644,"44.88501,-93.215561",0,4,295
1760301167,2025-10-12T20:32:47Z,DAL2644,"44.885132,-93.21579",0,5,309
1760301173,2025-10-12T20:32:53Z,DAL2644,"44.88522,-93.216087",0,4,271
1760301182,2025-10-12T20:33:02Z,DAL2644,"44.885284,-93.216705",0,10,281
1760301188,2025-10-12T20:33:08Z,DAL2644,"44.885399,-93.217056",0,11,293
1760301192,2025-10-12T20:33:12Z,DAL2644,"44.885479,-93.21727",0,10,297
1760301195,2025-10-12T20:33:15Z,DAL2644,"44.885456,-93.217506",0,10,270
1760301200,2025-10-12T20:33:20Z,DAL2644,"44.885342,-93.217773",0,10,241
1760301206,2025-10-12T20:33:26Z,DAL2644,"44.885166,-93.218002",0,11,225
1760301210,2025-10-12T20:33:30Z,DAL2644,"44.884995,-93.218239",0,11,225
1760301215,2025-10-12T20:33:35Z,DAL2644,"44.884804,-93.218521",0,12,225
1760301221,2025-10-12T20:33:41Z,DAL2644,"44.884621,-93.218773",0,13,225
1760301223,2025-10-12T20:33:43Z,DAL2644,"44.884449,-93.219009",0,13,225
1760301227,2025-10-12T20:33:47Z,DAL2644,"44.884281,-93.219246",0,14,225
1760301234,2025-10-12T20:33:54Z,DAL2644,"44.883968,-93.219696",0,14,225
1760301242,2025-10-12T20:34:02Z,DAL2644,"44.883572,-93.22023",0,15,225
1760301250,2025-10-12T20:34:10Z,DAL2644,"44.883091,-93.220802",0,16,216
1760301254,2025-10-12T20:34:14Z,DAL2644,"44.882874,-93.22097",0,17,210
1760301258,2025-10-12T20:34:18Z,DAL2644,"44.882572,-93.221291",0,18,216
1760301261,2025-10-12T20:34:21Z,DAL2644,"44.882412,-93.221497",0,18,222
1760301263,2025-10-12T20:34:23Z,DAL2644,"44.882259,-93.22171",0,18,225
1760301267,2025-10-12T20:34:27Z,DAL2644,"44.882027,-93.222046",0,18,225
1760301271,2025-10-12T20:34:31Z,DAL2644,"44.881805,-93.222343",0,14,225
1760301274,2025-10-12T20:34:34Z,DAL2644,"44.88171,-93.22258",0,13,236
1760301277,2025-10-12T20:34:37Z,DAL2644,"44.881676,-93.222847",0,14,261
1760301281,2025-10-12T20:34:41Z,DAL2644,"44.881744,-93.223129",0,14,289
1760301284,2025-10-12T20:34:44Z,DAL2644,"44.881874,-93.223442",0,15,300
1760301288,2025-10-12T20:34:48Z,DAL2644,"44.882,-93.223732",0,15,300
