Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760192456,2025-10-11T14:20:56Z,DAL2656,"44.884319,-93.21608",0,1,177
1760194513,2025-10-11T14:55:13Z,DAL2656,"44.884644,-93.21611",0,4,194
1760194529,2025-10-11T14:55:29Z,DAL2656,"44.884895,-93.215935",0,4,275
1760194618,2025-10-11T14:56:58Z,DAL2656,"44.884853,-93.215714",0,0,292
1760194803,2025-10-11T15:00:03Z,DAL2656,"44.88493,-93.21595",0,4,295
1760194813,2025-10-11T15:00:13Z,DAL2656,"44.885029,-93.216232",0,6,295
1760194824,2025-10-11T15:00:24Z,DAL2656,"44.885204,-93.216637",0,7,300
1760194831,2025-10-11T15:00:31Z,DAL2656,"44.8853,-93.216888",0,0,300
1760194836,2025-10-11T15:00:36Z,DAL2656,"44.885422,-93.21711",0,0,305
1760194842,2025-10-11T15:00:42Z,DAL2656,"44.885471,-93.217392",0,8,290
1760194847,2025-10-11T15:00:47Z,DAL2656,"44.885429,-93.217598",0,6,266
1760194854,2025-10-11T15:00:54Z,DAL2656,"44.885296,-93.217842",0,8,233
1760194859,2025-10-11T15:00:59Z,DAL2656,"44.885136,-93.218048",0,10,225
1760194864,2025-10-11T15:01:04Z,DAL2656,"44.884964,-93.218292",0,12,225
1760194867,2025-10-11T15:01:07Z,DAL2656,"44.884804,-93.218506",0,14,225
1760194871,2025-10-11T15:01:11Z,DAL2656,"44.884609,-93.218796",0,15,225
1760194877,2025-10-11T15:01:17Z,DAL2656,"44.884281,-93.219246",0,15,225
1760194885,2025-10-11T15:01:25Z,DAL2656,"44.8839,-93.21978",0,15,225
1760194892,2025-10-11T15:01:32Z,DAL2656,"44.883572,-93.220253",0,14,225
1760194897,2025-10-11T15:01:37Z,DAL2656,"44.883316,-93.220566",0,14,219
1760194901,2025-10-11T15:01:41Z,DAL2656,"44.883087,-93.220779",0,15,213
1760194904,2025-10-11T15:01:44Z,DAL2656,"44.882885,-93.220955",0,15,210
1760194909,2025-10-11T15:01:49Z,DAL2656,"44.88258,-93.221268",0,16,216
1760194913,2025-10-11T15:01:53Z,DAL2656,"44.882385,-93.221542",0,16,225
1760194917,2025-10-11T15:01:57Z,DAL2656,"44.882187,-93.221809",0,16,225
1760194921,2025-10-11T15:02:01Z,DAL2656,"44.881943,-93.222153",0,15,225
1760194925,2025-10-11T15:02:05Z,DAL2656,"44.881771,-93.222412",0,13,225
1760194929,2025-10-11T15:02:09Z,DAL2656,"44.881657,-93.222687",0,11,241
1760194933,2025-10-11T15:02:13Z,DAL2656,"44.881664,-93.222931",0,11,270
1760194937,2025-10-11T15:02:17Z,DAL2656,"44.881767,-93.223198",0,12,295
1760194941,2025-10-11T15:02:21Z,DAL2656,"44.881897,-93.223488",0,12,300
1760194945,2025-10-11T15:02:25Z,DAL2656,"44.882015,-93.223747",0,12,300
1760194949,2025-10-11T15:02:29Z,DAL2656,"44.882126,-93.223999",0,13,300
1760194953,2025-10-11T15:02:33Z,DAL2656,"44.882233,-93.224266",0,13,300
1760194955,2025-10-11T15:02:35Z,DAL2656,"44.882317,-93.224472",0,13,300
1760194963,2025-10-11T15:02:43Z,DAL2656,"44.882584,-93.22506",0,15,300
1760194970,2025-10-11T15:02:50Z,DAL2656,"44.882835,-93.225647",0,15,300
1760194978,2025-10-11T15:02:58Z,DAL2656,"44.883099,-93.226288",0,15,300
1760194985,2025-10-11T15:03:05Z,DAL2656,"44.883385,-93.226921",0,15,300
1760194992,2025-10-11T15:03:12Z,DAL2656,"44.883648,-93.227547",0,16,300
1760194999,2025-10-11T15:03:19Z,DAL2656,"44.883945,-93.228226",0,16,300
1760195007,2025-10-11T15:03:27Z,DAL2656,"44.884235,-93.228928",0,17,300
1760195012,2025-10-11T15:03:32Z,DAL2656,"44.884457,-93.229477",0,17,295
1760195014,2025-10-11T15:03:34Z,DAL2656,"44.884502,-93.229698",0,18,289
1760195016,2025-10-11T15:03:36Z,DAL2656,"44.884563,-93.230011",0,18,284
1760195019,2025-10-11T15:03:39Z,DAL2656,"44.884598,-93.230316",0,18,278
1760195021,2025-10-11T15:03:41Z,DAL2656,"44.884609,-93.230568",0,18,275
1760195026,2025-10-11T15:03:46Z,DAL2656,"44.884689,-93.231232",0,20,279
1760195029,2025-10-11T15:03:49Z,DAL2656,"44.88475,-93.23159",0,19,283
1760195032,2025-10-11T15:03:52Z,DAL2656,"44.884899,-93.231903",0,19,298
1760195035,2025-10-11T15:03:55Z,DAL2656,"44.885006,-93.232155",0,19,300
1760195039,2025-10-11T15:03:59Z,DAL2656,"44.885098,-93.232376",0,19,300
1760195040,2025-10-11T15:04:00Z,DAL2656,"44.885262,-93.232742",0,20,300
1760195043,2025-10-11T15:04:03Z,DAL2656,"44.885387,-93.233055",0,20,300
1760195045,2025-10-11T15:04:05Z,DAL2656,"44.885506,-93.23333",0,20,300
1760195047,2025-10-11T15:04:07Z,DAL2656,"44.88562,-93.233582",0,20,300
1760195050,2025-10-11T15:04:10Z,DAL2656,"44.885761,-93.233902",0,20,300
1760195058,2025-10-11T15:04:18Z,DAL2656,"44.886097,-93.234802",0,21,295
1760195060,2025-10-11T15:04:20Z,DAL2656,"44.886204,-93.235168",0,21,292
1760195063,2025-10-11T15:04:23Z,DAL2656,"44.88628,-93.235443",0,21,292
1760195065,2025-10-11T15:04:25Z,DAL2656,"44.886383,-93.235771",0,22,295
1760195067,2025-10-11T15:04:27Z,DAL2656,"44.886497,-93.236061",0,22,298
1760195070,2025-10-11T15:04:30Z,DAL2656,"44.886623,-93.236359",0,23,300
1760195072,2025-10-11T15:04:32Z,DAL2656,"44.886784,-93.236732",0,23,300
1760195075,2025-10-11T15:04:35Z,DAL2656,"44.886925,-93.237068",0,22,300
1760195078,2025-10-11T15:04:38Z,DAL2656,"44.887066,-93.237381",0,21,300
1760195080,2025-10-11T15:04:40Z,DAL2656,"44.887169,-93.237617",0,20,300
