Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1770004678,2026-02-02T03:57:58Z,DAL52,"40.63858,-73.781746",0,0,81
1770004760,2026-02-02T03:59:20Z,DAL52,"40.638577,-73.781952",0,2,67
1770004776,2026-02-02T03:59:36Z,DAL52,"40.638474,-73.782196",0,3,73
1770004791,2026-02-02T03:59:51Z,DAL52,"40.638382,-73.782433",0,2,109
1770004803,2026-02-02T04:00:03Z,DAL52,"40.638393,-73.782639",0,3,135
1770004819,2026-02-02T04:00:19Z,DAL52,"40.638508,-73.782852",0,3,157
1770004842,2026-02-02T04:00:42Z,DAL52,"40.638714,-73.782974",0,0,171
1770004861,2026-02-02T04:01:01Z,DAL52,"40.638508,-73.782913",0,0,171
1770005034,2026-02-02T04:03:54Z,DAL52,"40.638245,-73.782883",0,4,171
1770005044,2026-02-02T04:04:04Z,DAL52,"40.638004,-73.782837",0,6,171
1770005051,2026-02-02T04:04:11Z,DAL52,"40.637787,-73.782806",0,7,174
1770005058,2026-02-02T04:04:18Z,DAL52,"40.637543,-73.782776",0,7,174
1770005069,2026-02-02T04:04:29Z,DAL52,"40.637157,-73.7827",0,8,171
1770005080,2026-02-02T04:04:40Z,DAL52,"40.636951,-73.782669",0,4,171
1770005091,2026-02-02T04:04:51Z,DAL52,"40.636719,-73.782616",0,5,171
1770005104,2026-02-02T04:05:04Z,DAL52,"40.636494,-73.782593",0,4,171
1770005120,2026-02-02T04:05:20Z,DAL52,"40.636288,-73.782555",0,0,174
1770005213,2026-02-02T04:06:53Z,DAL52,"40.636059,-73.782516",0,1,155
1770005229,2026-02-02T04:07:09Z,DAL52,"40.635849,-73.782547",0,2,124
1770005237,2026-02-02T04:07:17Z,DAL52,"40.635632,-73.782654",0,3,203
1770005248,2026-02-02T04:07:28Z,DAL52,"40.635326,-73.782883",0,7,208
1770005255,2026-02-02T04:07:35Z,DAL52,"40.63512,-73.783035",0,7,210
1770005261,2026-02-02T04:07:41Z,DAL52,"40.634914,-73.783203",0,8,210
1770005268,2026-02-02T04:07:48Z,DAL52,"40.634705,-73.783325",0,6,202
1770005277,2026-02-02T04:07:57Z,DAL52,"40.63448,-73.783218",0,6,163
1770005286,2026-02-02T04:08:06Z,DAL52,"40.634354,-73.78299",0,5,132
1770005293,2026-02-02T04:08:13Z,DAL52,"40.634262,-73.782745",0,6,123
1770005300,2026-02-02T04:08:20Z,DAL52,"40.634159,-73.782516",0,7,120
1770005307,2026-02-02T04:08:27Z,DAL52,"40.634041,-73.782272",0,7,120
1770005315,2026-02-02T04:08:35Z,DAL52,"40.633934,-73.782043",0,6,120
1770005322,2026-02-02T04:08:42Z,DAL52,"40.63382,-73.781807",0,6,120
1770005329,2026-02-02T04:08:49Z,DAL52,"40.633701,-73.781555",0,7,120
1770005337,2026-02-02T04:08:57Z,DAL52,"40.633575,-73.78125",0,7,120
1770005345,2026-02-02T04:09:05Z,DAL52,"40.633438,-73.780899",0,8,115
1770005350,2026-02-02T04:09:10Z,DAL52,"40.633381,-73.78067",0,7,109
1770005355,2026-02-02T04:09:15Z,DAL52,"40.633343,-73.780464",0,7,106
1770005360,2026-02-02T04:09:20Z,DAL52,"40.633308,-73.780251",0,8,104
1770005365,2026-02-02T04:09:25Z,DAL52,"40.633221,-73.780045",0,7,115
1770005372,2026-02-02T04:09:32Z,DAL52,"40.633015,-73.779938",0,8,151
1770005377,2026-02-02T04:09:37Z,DAL52,"40.632805,-73.779953",0,9,177
1770005383,2026-02-02T04:09:43Z,DAL52,"40.632572,-73.780029",0,9,191
1770005389,2026-02-02T04:09:49Z,DAL52,"40.632351,-73.78009",0,9,191
1770005394,2026-02-02T04:09:54Z,DAL52,"40.632145,-73.780136",0,8,191
