Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760386297,2025-10-13T20:11:37Z,DAL846,"40.768948,-73.858505",0,0,132
1760387959,2025-10-13T20:39:19Z,DAL846,"40.769291,-73.858978",0,0,59
1760388302,2025-10-13T20:45:02Z,DAL846,"40.76952,-73.858856",0,8,25
1760388308,2025-10-13T20:45:08Z,DAL846,"40.76973,-73.858788",0,7,11
1760388317,2025-10-13T20:45:17Z,DAL846,"40.769939,-73.858803",0,3,357
1760388369,2025-10-13T20:46:09Z,DAL846,"40.770161,-73.858856",0,0,348
1760388380,2025-10-13T20:46:20Z,DAL846,"40.770382,-73.858932",0,6,345
1760388387,2025-10-13T20:46:27Z,DAL846,"40.770607,-73.859009",0,7,345
1760388393,2025-10-13T20:46:33Z,DAL846,"40.770828,-73.85907",0,8,347
1760388400,2025-10-13T20:46:40Z,DAL846,"40.771042,-73.859161",0,8,346
1760388408,2025-10-13T20:46:48Z,DAL846,"40.771259,-73.859367",0,7,326
1760388414,2025-10-13T20:46:54Z,DAL846,"40.77137,-73.859596",0,8,307
1760388419,2025-10-13T20:46:59Z,DAL846,"40.7715,-73.859863",0,10,304
1760388425,2025-10-13T20:47:05Z,DAL846,"40.771629,-73.860184",0,10,299
1760388429,2025-10-13T20:47:09Z,DAL846,"40.771751,-73.86042",0,11,300
1760388434,2025-10-13T20:47:14Z,DAL846,"40.7719,-73.860687",0,11,304
1760388438,2025-10-13T20:47:18Z,DAL846,"40.771999,-73.860939",0,12,302
1760388442,2025-10-13T20:47:22Z,DAL846,"40.772129,-73.861183",0,12,302
1760388446,2025-10-13T20:47:26Z,DAL846,"40.77224,-73.861427",0,12,299
1760388450,2025-10-13T20:47:30Z,DAL846,"40.772381,-73.861687",0,13,304
1760388455,2025-10-13T20:47:35Z,DAL846,"40.772511,-73.862",0,12,300
1760388458,2025-10-13T20:47:38Z,DAL846,"40.772621,-73.862221",0,14,302
1760388462,2025-10-13T20:47:42Z,DAL846,"40.772751,-73.862488",0,13,303
1760388466,2025-10-13T20:47:46Z,DAL846,"40.772881,-73.862778",0,14,301
1760388470,2025-10-13T20:47:50Z,DAL846,"40.772999,-73.863037",0,13,301
1760388474,2025-10-13T20:47:54Z,DAL846,"40.773129,-73.863281",0,12,302
1760388478,2025-10-13T20:47:58Z,DAL846,"40.773232,-73.86351",0,11,301
1760388483,2025-10-13T20:48:03Z,DAL846,"40.77335,-73.863724",0,9,304
1760388490,2025-10-13T20:48:10Z,DAL846,"40.773449,-73.863953",0,7,302
1760388499,2025-10-13T20:48:19Z,DAL846,"40.77356,-73.864182",0,5,299
1760388511,2025-10-13T20:48:31Z,DAL846,"40.773659,-73.864433",0,4,297
1760388526,2025-10-13T20:48:46Z,DAL846,"40.773788,-73.864693",0,5,299
1760388533,2025-10-13T20:48:53Z,DAL846,"40.77393,-73.864967",0,8,301
1760388538,2025-10-13T20:48:58Z,DAL846,"40.774078,-73.865257",0,11,302
1760388541,2025-10-13T20:49:01Z,DAL846,"40.77417,-73.865463",0,12,301
1760388545,2025-10-13T20:49:05Z,DAL846,"40.7743,-73.86573",0,13,302
1760388548,2025-10-13T20:49:08Z,DAL846,"40.774391,-73.865936",0,13,302
1760388552,2025-10-13T20:49:12Z,DAL846,"40.774521,-73.866241",0,14,298
1760388557,2025-10-13T20:49:17Z,DAL846,"40.7747,-73.866608",0,15,300
1760388560,2025-10-13T20:49:20Z,DAL846,"40.774818,-73.866821",0,15,303
1760388564,2025-10-13T20:49:24Z,DAL846,"40.774971,-73.867142",0,15,302
1760388567,2025-10-13T20:49:27Z,DAL846,"40.775082,-73.867393",0,15,300
1760388570,2025-10-13T20:49:30Z,DAL846,"40.775242,-73.867638",0,17,307
1760388574,2025-10-13T20:49:34Z,DAL846,"40.775452,-73.86792",0,17,313
1760388578,2025-10-13T20:49:38Z,DAL846,"40.77562,-73.868271",0,17,303
1760388581,2025-10-13T20:49:41Z,DAL846,"40.77573,-73.868492",0,16,303
1760388584,2025-10-13T20:49:44Z,DAL846,"40.77586,-73.868767",0,17,302
1760388587,2025-10-13T20:49:47Z,DAL846,"40.77597,-73.869019",0,16,300
1760388590,2025-10-13T20:49:50Z,DAL846,"40.7761,-73.86924",0,16,305
1760388594,2025-10-13T20:49:54Z,DAL846,"40.776199,-73.869461",0,12,302
1760388598,2025-10-13T20:49:58Z,DAL846,"40.776291,-73.869682",0,11,299
1760388603,2025-10-13T20:50:03Z,DAL846,"40.776421,-73.869919",0,10,303
1760388607,2025-10-13T20:50:07Z,DAL846,"40.77652,-73.870132",0,10,302
1760388613,2025-10-13T20:50:13Z,DAL846,"40.776619,-73.870377",0,7,300
1760388621,2025-10-13T20:50:21Z,DAL846,"40.776711,-73.870583",0,4,298
1760388631,2025-10-13T20:50:31Z,DAL846,"40.77684,-73.870796",0,4,304
1760388640,2025-10-13T20:50:40Z,DAL846,"40.776932,-73.87101",0,5,302
1760388650,2025-10-13T20:50:50Z,DAL846,"40.777039,-73.871231",0,5,301
1760388656,2025-10-13T20:50:56Z,DAL846,"40.77713,-73.871437",0,6,300
1760388663,2025-10-13T20:51:03Z,DAL846,"40.77726,-73.871719",0,8,300
1760388669,2025-10-13T20:51:09Z,DAL846,"40.777401,-73.871979",0,9,303
1760388673,2025-10-13T20:51:13Z,DAL846,"40.777512,-73.872231",0,11,302
1760388678,2025-10-13T20:51:18Z,DAL846,"40.777641,-73.872528",0,11,300
1760388683,2025-10-13T20:51:23Z,DAL846,"40.777721,-73.872879",0,12,291
1760388687,2025-10-13T20:51:27Z,DAL846,"40.77774,-73.873238",0,14,279
1760388690,2025-10-13T20:51:30Z,DAL846,"40.777729,-73.87352",0,15,270
1760388694,2025-10-13T20:51:34Z,DAL846,"40.777679,-73.873848",0,14,262
1760388698,2025-10-13T20:51:38Z,DAL846,"40.77763,-73.874069",0,10,256
1760388738,2025-10-13T20:52:18Z,DAL846,"40.777561,-73.874283",0,2,246
