Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1754763933,2025-08-09T18:25:33Z,AAL2811,"33.941597,-118.407997",0,2,56
1754763951,2025-08-09T18:25:51Z,AAL2811,"33.94154,-118.408218",0,2,19
1754763975,2025-08-09T18:26:15Z,AAL2811,"33.941307,-118.408325",0,2,8
1754763997,2025-08-09T18:26:37Z,AAL2811,"33.941086,-118.40834",0,2,354
1754764025,2025-08-09T18:27:05Z,AAL2811,"33.94083,-118.40831",0,2,351
1754764045,2025-08-09T18:27:25Z,AAL2811,"33.940609,-118.408287",0,3,354
1754764063,2025-08-09T18:27:43Z,AAL2811,"33.940384,-118.408249",0,3,351
1754764080,2025-08-09T18:28:00Z,AAL2811,"33.940166,-118.408211",0,2,354
1754764103,2025-08-09T18:28:23Z,AAL2811,"33.939892,-118.40818",0,3,354
1754764119,2025-08-09T18:28:39Z,AAL2811,"33.93969,-118.408157",0,3,354
1754764138,2025-08-09T18:28:58Z,AAL2811,"33.939468,-118.408112",0,3,357
1754764157,2025-08-09T18:29:17Z,AAL2811,"33.939247,-118.408066",0,2,19
1754764175,2025-08-09T18:29:35Z,AAL2811,"33.939037,-118.408112",0,2,45
1754764196,2025-08-09T18:29:56Z,AAL2811,"33.93885,-118.408318",0,3,70
1754764212,2025-08-09T18:30:12Z,AAL2811,"33.93877,-118.408524",0,3,78
1754764225,2025-08-09T18:30:25Z,AAL2811,"33.938736,-118.40873",0,2,81
1754764603,2025-08-09T18:36:43Z,AAL2811,"33.938793,-118.408516",0,4,81
1754764610,2025-08-09T18:36:50Z,AAL2811,"33.938816,-118.40831",0,5,81
1754764618,2025-08-09T18:36:58Z,AAL2811,"33.938839,-118.408058",0,7,84
1754764623,2025-08-09T18:37:03Z,AAL2811,"33.938816,-118.407799",0,8,95
1754764631,2025-08-09T18:37:11Z,AAL2811,"33.938675,-118.407555",0,8,120
1754764637,2025-08-09T18:37:17Z,AAL2811,"33.938473,-118.407349",0,8,137
1754764645,2025-08-09T18:37:25Z,AAL2811,"33.938221,-118.407074",0,10,132
1754764650,2025-08-09T18:37:30Z,AAL2811,"33.938152,-118.406723",0,13,106
1754764654,2025-08-09T18:37:34Z,AAL2811,"33.938152,-118.406456",0,14,90
1754764657,2025-08-09T18:37:37Z,AAL2811,"33.938187,-118.406212",0,14,84
1754764661,2025-08-09T18:37:41Z,AAL2811,"33.93821,-118.405937",0,15,84
1754764665,2025-08-09T18:37:45Z,AAL2811,"33.938244,-118.405563",0,15,81
1754764669,2025-08-09T18:37:49Z,AAL2811,"33.938271,-118.405296",0,15,84
1754764671,2025-08-09T18:37:51Z,AAL2811,"33.93829,-118.405037",0,15,84
1754764674,2025-08-09T18:37:54Z,AAL2811,"33.938335,-118.404701",0,16,81
1754764678,2025-08-09T18:37:58Z,AAL2811,"33.938374,-118.404381",0,15,81
1754764686,2025-08-09T18:38:06Z,AAL2811,"33.938442,-118.403748",0,17,81
1754764694,2025-08-09T18:38:14Z,AAL2811,"33.938538,-118.402763",0,20,84
1754764702,2025-08-09T18:38:22Z,AAL2811,"33.938644,-118.401802",0,22,81
1754764709,2025-08-09T18:38:29Z,AAL2811,"33.938713,-118.401115",0,22,84
1754764718,2025-08-09T18:38:38Z,AAL2811,"33.93885,-118.399742",0,23,84
1754764725,2025-08-09T18:38:45Z,AAL2811,"33.938946,-118.398857",0,23,81
1754764732,2025-08-09T18:38:52Z,AAL2811,"33.939026,-118.39801",0,23,84
1754764741,2025-08-09T18:39:01Z,AAL2811,"33.939159,-118.396744",0,24,81
1754764748,2025-08-09T18:39:08Z,AAL2811,"33.93927,-118.395706",0,25,81
1754764756,2025-08-09T18:39:16Z,AAL2811,"33.939373,-118.394608",0,23,84
1754764764,2025-08-09T18:39:24Z,AAL2811,"33.939468,-118.393776",0,23,84
1754764771,2025-08-09T18:39:31Z,AAL2811,"33.939583,-118.392632",0,23,81
1754764779,2025-08-09T18:39:39Z,AAL2811,"33.939678,-118.391762",0,19,81
1754764787,2025-08-09T18:39:47Z,AAL2811,"33.939754,-118.390953",0,16,84
1754764795,2025-08-09T18:39:55Z,AAL2811,"33.939846,-118.390411",0,11,73
1754764800,2025-08-09T18:40:00Z,AAL2811,"33.940048,-118.39019",0,10,45
1754764807,2025-08-09T18:40:07Z,AAL2811,"33.940331,-118.390175",0,10,5
1754764813,2025-08-09T18:40:13Z,AAL2811,"33.940544,-118.390396",0,10,323
1754764817,2025-08-09T18:40:17Z,AAL2811,"33.940601,-118.390617",0,10,295
1754764823,2025-08-09T18:40:23Z,AAL2811,"33.940586,-118.3909",0,10,272
1754764828,2025-08-09T18:40:28Z,AAL2811,"33.940544,-118.391182",0,9,261
1754764832,2025-08-09T18:40:32Z,AAL2811,"33.940521,-118.391403",0,9,261
1754764841,2025-08-09T18:40:41Z,AAL2811,"33.940498,-118.391655",0,2,261
1754766344,2025-08-09T19:05:44Z,AAL2811,"33.94046,-118.391991",0,6,268
1754766353,2025-08-09T19:05:53Z,AAL2811,"33.940418,-118.392326",0,8,264
1754766360,2025-08-09T19:06:00Z,AAL2811,"33.940376,-118.392708",0,9,264
1754766368,2025-08-09T19:06:08Z,AAL2811,"33.94035,-118.393127",0,10,265
1754766373,2025-08-09T19:06:13Z,AAL2811,"33.9403,-118.393372",0,11,259
1754766380,2025-08-09T19:06:20Z,AAL2811,"33.940262,-118.393822",0,11,263
1754766389,2025-08-09T19:06:29Z,AAL2811,"33.94022,-118.394318",0,12,263
1754766397,2025-08-09T19:06:37Z,AAL2811,"33.940178,-118.394753",0,10,264
1754766403,2025-08-09T19:06:43Z,AAL2811,"33.940132,-118.395195",0,11,261
1754766412,2025-08-09T19:06:52Z,AAL2811,"33.940086,-118.395538",0,10,264
1754766418,2025-08-09T19:06:58Z,AAL2811,"33.940037,-118.396011",0,8,261
1754766429,2025-08-09T19:07:09Z,AAL2811,"33.93998,-118.396469",0,6,260
1754766438,2025-08-09T19:07:18Z,AAL2811,"33.939957,-118.396797",0,6,264
1754766446,2025-08-09T19:07:26Z,AAL2811,"33.939934,-118.397011",0,4,264
1754766508,2025-08-09T19:08:28Z,AAL2811,"33.939903,-118.397293",0,4,264
1754766558,2025-08-09T19:09:18Z,AAL2811,"33.939869,-118.397667",0,5,261
1754766566,2025-08-09T19:09:26Z,AAL2811,"33.939835,-118.39798",0,9,261
1754766575,2025-08-09T19:09:35Z,AAL2811,"33.939789,-118.398453",0,10,264
1754766581,2025-08-09T19:09:41Z,AAL2811,"33.939743,-118.398872",0,11,264
1754766590,2025-08-09T19:09:50Z,AAL2811,"33.939697,-118.399391",0,12,264
1754766596,2025-08-09T19:09:56Z,AAL2811,"33.939651,-118.399811",0,12,264
1754766604,2025-08-09T19:10:04Z,AAL2811,"33.939594,-118.40036",0,12,264
1754766612,2025-08-09T19:10:12Z,AAL2811,"33.939537,-118.400932",0,13,264
1754766620,2025-08-09T19:10:20Z,AAL2811,"33.939491,-118.401428",0,13,264
1754766628,2025-08-09T19:10:28Z,AAL2811,"33.939434,-118.402016",0,12,264
