Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1789163584,2026-09-11T21:53:04Z,DLH444,"35.218117,-80.947968",0,0,95
1789163943,2026-09-11T21:59:03Z,DLH444,"35.218128,-80.947723",0,5,92
1789163953,2026-09-11T21:59:13Z,DLH444,"35.218163,-80.947403",0,7,92
1789163961,2026-09-11T21:59:21Z,DLH444,"35.218372,-80.947205",0,8,47
1789163967,2026-09-11T21:59:27Z,DLH444,"35.218616,-80.947235",0,8,8
1789163979,2026-09-11T21:59:39Z,DLH444,"35.218838,-80.94767",0,8,300
1789163986,2026-09-11T21:59:46Z,DLH444,"35.218838,-80.947983",0,8,281
1789163991,2026-09-11T21:59:51Z,DLH444,"35.218815,-80.948235",0,9,275
1789164001,2026-09-11T22:00:01Z,DLH444,"35.218769,-80.948776",0,10,272
1789164006,2026-09-11T22:00:06Z,DLH444,"35.218758,-80.949059",0,11,272
1789164010,2026-09-11T22:00:10Z,DLH444,"35.218723,-80.949356",0,12,272
1789164014,2026-09-11T22:00:14Z,DLH444,"35.218712,-80.949593",0,13,272
1789164018,2026-09-11T22:00:18Z,DLH444,"35.218678,-80.949928",0,12,272
1789164025,2026-09-11T22:00:25Z,DLH444,"35.2188,-80.950348",0,11,290
1789164030,2026-09-11T22:00:30Z,DLH444,"35.219021,-80.950493",0,11,322
1789164035,2026-09-11T22:00:35Z,DLH444,"35.219261,-80.950439",0,10,3
1789164041,2026-09-11T22:00:41Z,DLH444,"35.21949,-80.95047",0,9,356
1789164046,2026-09-11T22:00:46Z,DLH444,"35.219711,-80.950493",0,9,355
1789164051,2026-09-11T22:00:51Z,DLH444,"35.219944,-80.950531",0,10,2
1789164056,2026-09-11T22:00:56Z,DLH444,"35.220165,-80.950539",0,10,2
1789164061,2026-09-11T22:01:01Z,DLH444,"35.220409,-80.950546",0,10,358
1789164069,2026-09-11T22:01:09Z,DLH444,"35.22081,-80.9506",0,11,355
1789164075,2026-09-11T22:01:15Z,DLH444,"35.221039,-80.950607",0,11,357
1789164079,2026-09-11T22:01:19Z,DLH444,"35.22131,-80.950653",0,11,354
1789164086,2026-09-11T22:01:26Z,DLH444,"35.221691,-80.950684",0,12,355
1789164092,2026-09-11T22:01:32Z,DLH444,"35.221981,-80.950699",0,12,356
1789164097,2026-09-11T22:01:37Z,DLH444,"35.222305,-80.950729",0,13,5
1789164101,2026-09-11T22:01:41Z,DLH444,"35.222588,-80.95076",0,14,2
1789164106,2026-09-11T22:01:46Z,DLH444,"35.222878,-80.950768",0,14,2
1789164111,2026-09-11T22:01:51Z,DLH444,"35.223198,-80.950798",0,14,5
1789164116,2026-09-11T22:01:56Z,DLH444,"35.223591,-80.950844",0,15,355
1789164122,2026-09-11T22:02:02Z,DLH444,"35.223866,-80.950859",0,13,2
1789164125,2026-09-11T22:02:05Z,DLH444,"35.224102,-80.950882",0,13,2
1789164129,2026-09-11T22:02:09Z,DLH444,"35.224331,-80.950897",0,12,5
1789164134,2026-09-11T22:02:14Z,DLH444,"35.224583,-80.950912",0,11,5
1789164138,2026-09-11T22:02:18Z,DLH444,"35.224796,-80.950928",0,11,5
1789164143,2026-09-11T22:02:23Z,DLH444,"35.225075,-80.950951",0,12,5
1789164149,2026-09-11T22:02:29Z,DLH444,"35.225311,-80.950974",0,12,2
1789164151,2026-09-11T22:02:31Z,DLH444,"35.225533,-80.951004",0,12,2
1789164156,2026-09-11T22:02:36Z,DLH444,"35.225796,-80.951019",0,13,2
1789164162,2026-09-11T22:02:42Z,DLH444,"35.226196,-80.95105",0,13,5
1789164168,2026-09-11T22:02:48Z,DLH444,"35.226498,-80.951073",0,12,5
1789164173,2026-09-11T22:02:53Z,DLH444,"35.226768,-80.951103",0,11,2
1789164177,2026-09-11T22:02:57Z,DLH444,"35.226986,-80.951126",0,9,2
1789164184,2026-09-11T22:03:04Z,DLH444,"35.227203,-80.951218",0,9,351
1789164189,2026-09-11T22:03:09Z,DLH444,"35.227329,-80.951439",0,9,320
1789164194,2026-09-11T22:03:14Z,DLH444,"35.22736,-80.951683",0,9,295
1789164200,2026-09-11T22:03:20Z,DLH444,"35.227341,-80.951904",0,4,278
1789164385,2026-09-11T22:06:25Z,DLH444,"35.227322,-80.952118",0,5,243
1789164393,2026-09-11T22:06:33Z,DLH444,"35.22731,-80.952415",0,8,275
1789164400,2026-09-11T22:06:40Z,DLH444,"35.227295,-80.952789",0,10,272
1789164404,2026-09-11T22:06:44Z,DLH444,"35.227242,-80.953049",0,9,267
1789164411,2026-09-11T22:06:51Z,DLH444,"35.22702,-80.953224",0,9,222
1789164417,2026-09-11T22:06:57Z,DLH444,"35.226799,-80.953156",0,8,185
1789164422,2026-09-11T22:07:02Z,DLH444,"35.226562,-80.95314",0,11,185
1789164427,2026-09-11T22:07:07Z,DLH444,"35.226265,-80.953102",0,16,182
1789164430,2026-09-11T22:07:10Z,DLH444,"35.225842,-80.953056",0,33,182
1789164432,2026-09-11T22:07:12Z,DLH444,"35.225578,-80.953033",0,38,182
1789164433,2026-09-11T22:07:13Z,DLH444,"35.225315,-80.953011",0,43,182
1789164434,2026-09-11T22:07:14Z,DLH444,"35.224937,-80.952972",0,52,182
1789164436,2026-09-11T22:07:16Z,DLH444,"35.224548,-80.952942",0,57,182
1789164440,2026-09-11T22:07:20Z,DLH444,"35.223263,-80.952843",0,74,185
1789164442,2026-09-11T22:07:22Z,DLH444,"35.222271,-80.952744",0,88,182
1789164445,2026-09-11T22:07:25Z,DLH444,"35.221298,-80.952644",750,88,182
1789164448,2026-09-11T22:07:28Z,DLH444,"35.219879,-80.952538",750,108,175
1789164451,2026-09-11T22:07:31Z,DLH444,"35.218071,-80.952415",750,120,176
1789164456,2026-09-11T22:07:36Z,DLH444,"35.215233,-80.952133",750,120,176
1789164459,2026-09-11T22:07:39Z,DLH444,"35.213837,-80.952026",725,120,176
1789164461,2026-09-11T22:07:41Z,DLH444,"35.212067,-80.951904",725,120,175
1789164465,2026-09-11T22:07:45Z,DLH444,"35.208294,-80.951553",750,167,175
1789164467,2026-09-11T22:07:47Z,DLH444,"35.206898,-80.951447",750,169,175
1789164469,2026-09-11T22:07:49Z,DLH444,"35.204865,-80.951302",800,172,176
1789164472,2026-09-11T22:07:52Z,DLH444,"35.203175,-80.951157",850,174,176
1789164475,2026-09-11T22:07:55Z,DLH444,"35.20166,-80.951019",925,174,175
1789164481,2026-09-11T22:08:01Z,DLH444,"35.195618,-80.950401",1125,178,175
1789164485,2026-09-11T22:08:05Z,DLH444,"35.192276,-80.95018",1275,180,177
1789164487,2026-09-11T22:08:07Z,DLH444,"35.190651,-80.95018",1350,180,180
1789164489,2026-09-11T22:08:09Z,DLH444,"35.188568,-80.950233",1450,179,182
1789164491,2026-09-11T22:08:11Z,DLH444,"35.18692,-80.950401",1550,178,184
1789164493,2026-09-11T22:08:13Z,DLH444,"35.185455,-80.950569",1625,178,185
1789164495,2026-09-11T22:08:15Z,DLH444,"35.183529,-80.950813",1725,178,186
1789164497,2026-09-11T22:08:17Z,DLH444,"35.1819,-80.951042",1800,178,186
1789164499,2026-09-11T22:08:19Z,DLH444,"35.180595,-80.951218",1875,177,187
1789164501,2026-09-11T22:08:21Z,DLH444,"35.178829,-80.9515",1950,177,187
1789164504,2026-09-11T22:08:24Z,DLH444,"35.1772,-80.951782",2025,177,187
1789164506,2026-09-11T22:08:26Z,DLH444,"35.175293,-80.952087",2100,178,187
1789164508,2026-09-11T22:08:28Z,DLH444,"35.173569,-80.952362",2175,180,188
1789164510,2026-09-11T22:08:30Z,DLH444,"35.17189,-80.952759",2200,181,190
1789164512,2026-09-11T22:08:32Z,DLH444,"35.170166,-80.953209",2250,182,193
1789164514,2026-09-11T22:08:34Z,DLH444,"35.168518,-80.953766",2300,185,196
1789164516,2026-09-11T22:08:36Z,DLH444,"35.166817,-80.954475",2325,187,199
1789164518,2026-09-11T22:08:38Z,DLH444,"35.165085,-80.955391",2375,189,203
1789164520,2026-09-11T22:08:40Z,DLH444,"35.163746,-80.956192",2400,192,207
1789164522,2026-09-11T22:08:42Z,DLH444,"35.162292,-80.957298",2425,194,212
1789164524,2026-09-11T22:08:44Z,DLH444,"35.16069,-80.958702",2475,196,216
1789164526,2026-09-11T22:08:46Z,DLH444,"35.159088,-80.960266",2500,198,220
1789164528,2026-09-11T22:08:48Z,DLH444,"35.157692,-80.961914",2550,201,223
