Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760443915,2025-10-14T12:11:55Z,AAL2811,"25.798086,-80.284637",0,0,177
1760447599,2025-10-14T13:13:19Z,AAL2811,"25.79829,-80.284637",0,2,188
1760447617,2025-10-14T13:13:37Z,AAL2811,"25.79854,-80.284576",0,4,217
1760447633,2025-10-14T13:13:53Z,AAL2811,"25.79874,-80.284416",0,4,239
1760447649,2025-10-14T13:14:09Z,AAL2811,"25.79883,-80.28421",0,3,259
1760447667,2025-10-14T13:14:27Z,AAL2811,"25.79887,-80.283997",0,3,273
1760447891,2025-10-14T13:18:11Z,AAL2811,"25.79896,-80.28421",0,3,307
1760447908,2025-10-14T13:18:28Z,AAL2811,"25.799183,-80.284309",0,0,334
1760447925,2025-10-14T13:18:45Z,AAL2811,"25.799391,-80.284447",0,4,318
1760447934,2025-10-14T13:18:54Z,AAL2811,"25.799471,-80.284668",0,5,293
1760447943,2025-10-14T13:19:03Z,AAL2811,"25.79948,-80.284973",0,7,271
1760447951,2025-10-14T13:19:11Z,AAL2811,"25.79945,-80.28524",0,8,263
1760447957,2025-10-14T13:19:17Z,AAL2811,"25.79944,-80.2855",0,8,265
1760447965,2025-10-14T13:19:25Z,AAL2811,"25.79944,-80.285919",0,10,269
1760447971,2025-10-14T13:19:31Z,AAL2811,"25.79941,-80.28614",0,9,265
1760447976,2025-10-14T13:19:36Z,AAL2811,"25.799412,-80.286392",0,9,267
1760447981,2025-10-14T13:19:41Z,AAL2811,"25.7994,-80.286613",0,8,267
1760447988,2025-10-14T13:19:48Z,AAL2811,"25.799389,-80.28688",0,8,267
1760447997,2025-10-14T13:19:57Z,AAL2811,"25.79937,-80.287247",0,8,263
1760448002,2025-10-14T13:20:02Z,AAL2811,"25.79937,-80.28746",0,8,268
1760448008,2025-10-14T13:20:08Z,AAL2811,"25.799351,-80.287697",0,8,268
1760448014,2025-10-14T13:20:14Z,AAL2811,"25.799351,-80.287971",0,9,267
1760448020,2025-10-14T13:20:20Z,AAL2811,"25.799351,-80.288269",0,10,269
1760448025,2025-10-14T13:20:25Z,AAL2811,"25.79933,-80.288513",0,10,265
1760448030,2025-10-14T13:20:30Z,AAL2811,"25.799311,-80.288757",0,10,265
1760448033,2025-10-14T13:20:33Z,AAL2811,"25.799311,-80.288986",0,10,269
1760448038,2025-10-14T13:20:38Z,AAL2811,"25.79929,-80.289192",0,10,266
1760448041,2025-10-14T13:20:41Z,AAL2811,"25.79928,-80.289398",0,10,265
1760448046,2025-10-14T13:20:46Z,AAL2811,"25.79929,-80.289673",0,10,269
1760448052,2025-10-14T13:20:52Z,AAL2811,"25.799259,-80.289948",0,11,267
1760448058,2025-10-14T13:20:58Z,AAL2811,"25.79925,-80.290329",0,11,267
1760448063,2025-10-14T13:21:03Z,AAL2811,"25.799238,-80.290588",0,11,267
1760448068,2025-10-14T13:21:08Z,AAL2811,"25.799227,-80.290894",0,11,267
1760448072,2025-10-14T13:21:12Z,AAL2811,"25.799215,-80.291107",0,10,267
1760448077,2025-10-14T13:21:17Z,AAL2811,"25.799206,-80.291382",0,10,267
1760448085,2025-10-14T13:21:25Z,AAL2811,"25.799191,-80.291801",0,9,265
1760448093,2025-10-14T13:21:33Z,AAL2811,"25.799181,-80.292168",0,9,267
1760448100,2025-10-14T13:21:40Z,AAL2811,"25.799156,-80.292442",0,8,267
1760448107,2025-10-14T13:21:47Z,AAL2811,"25.799149,-80.292664",0,6,267
1760448118,2025-10-14T13:21:58Z,AAL2811,"25.799145,-80.292877",0,2,267
1760449046,2025-10-14T13:37:26Z,AAL2811,"25.799137,-80.293083",0,4,267
1760449052,2025-10-14T13:37:32Z,AAL2811,"25.799126,-80.293289",0,6,267
