point_id,time,lat,lon,visibility,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windgusts_10m,apparent_temperature,dew_point_2m
0,2026-01-04 13:00:00+00:00,42.367413,-71.014191,14700.0,0,0.0,0.0,0.0,0.02,3.5,11.5,-10.0,-8.7
1,2026-01-04 14:00:00+00:00,42.366039,-71.012764,13800.0,0,0.0,0.0,0.0,0.02,5.5,14.8,-9.0,-6.5
2,2026-01-04 14:00:00+00:00,42.36327,-71.013351,13800.0,0,0.0,0.0,0.0,0.02,5.5,14.8,-9.0,-6.5
3,2026-01-04 14:00:00+00:00,42.360489,-71.014702,13800.0,0,0.0,0.0,0.0,0.02,5.5,14.8,-9.0,-6.5
4,2026-01-04 14:00:00+00:00,42.357571,-71.016113,13800.0,0,0.0,0.0,0.0,0.02,5.5,14.8,-9.0,-6.5
5,2026-01-04 15:00:00+00:00,42.35638,-71.018867,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
6,2026-01-04 15:00:00+00:00,42.35577,-71.017738,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
7,2026-01-04 15:00:00+00:00,42.354099,-71.016029,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
8,2026-01-04 15:00:00+00:00,42.354752,-71.013702,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
9,2026-01-04 15:00:00+00:00,42.356232,-71.010162,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
10,2026-01-04 15:00:00+00:00,42.35894,-70.994751,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
11,2026-01-04 15:00:00+00:00,42.36264,-70.969498,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
12,2026-01-04 15:00:00+00:00,42.366726,-70.944405,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
13,2026-01-04 15:00:00+00:00,42.386929,-70.831284,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
14,2026-01-04 15:00:00+00:00,42.383717,-70.783379,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
15,2026-01-04 15:00:00+00:00,42.372482,-70.742531,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
16,2026-01-04 15:00:00+00:00,42.344604,-70.718872,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
17,2026-01-04 15:00:00+00:00,42.30867,-70.720306,20300.0,0,0.0,0.0,0.0,0.02,6.4,13.3,-7.4,-7.1
