point_id,time,lat,lon,visibility,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windgusts_10m,apparent_temperature,dew_point_2m
0,2026-01-11 14:00:00+00:00,40.642651,-73.774551,17100.0,7,0.0,0.0,0.0,0.0,18.7,38.5,13.3,12.2
1,2026-01-11 16:00:00+00:00,40.644413,-73.772232,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
2,2026-01-11 16:00:00+00:00,40.638954,-73.775238,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
3,2026-01-11 16:00:00+00:00,40.6325,-73.776764,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
4,2026-01-11 16:00:00+00:00,40.628651,-73.773209,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
5,2026-01-11 16:00:00+00:00,40.641453,-73.805153,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
6,2026-01-11 16:00:00+00:00,40.64164,-73.841858,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
7,2026-01-11 16:00:00+00:00,40.622505,-73.885612,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
8,2026-01-11 16:00:00+00:00,40.583542,-73.921448,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
9,2026-01-11 16:00:00+00:00,40.497665,-74.001587,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
10,2026-01-11 16:00:00+00:00,40.232864,-74.445045,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
11,2026-01-11 16:00:00+00:00,40.197765,-74.562645,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
12,2026-01-11 16:00:00+00:00,40.137199,-75.204163,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
13,2026-01-11 16:00:00+00:00,39.928505,-75.648987,36100.0,0,0.0,0.0,0.0,0.0,22.2,43.6,10.6,5.3
14,2026-01-11 17:00:00+00:00,39.421692,-76.441322,47100.0,0,0.0,0.0,0.0,0.0,22.8,38.9,11.2,2.7
15,2026-01-11 17:00:00+00:00,38.809158,-77.233887,47100.0,0,0.0,0.0,0.0,0.0,22.8,38.9,11.2,2.7
16,2026-01-11 17:00:00+00:00,38.119537,-77.971901,47100.0,0,0.0,0.0,0.0,0.0,22.8,38.9,11.2,2.7
17,2026-01-11 17:00:00+00:00,37.399063,-78.68502,47100.0,0,0.0,0.0,0.0,0.0,22.8,38.9,11.2,2.7
18,2026-01-11 17:00:00+00:00,36.717705,-79.34227,47100.0,0,0.0,0.0,0.0,0.0,22.8,38.9,11.2,2.7
19,2026-01-11 17:00:00+00:00,35.978176,-80.009453,47100.0,0,0.0,0.0,0.0,0.0,22.8,38.9,11.2,2.7
20,2026-01-11 18:00:00+00:00,35.103413,-80.43766,57000.0,0,0.0,0.0,0.0,0.0,22.4,33.5,11.5,-0.1
21,2026-01-11 18:00:00+00:00,34.340328,-80.986008,57000.0,0,0.0,0.0,0.0,0.0,22.4,33.5,11.5,-0.1
22,2026-01-11 18:00:00+00:00,33.403931,-81.365295,57000.0,0,0.0,0.0,0.0,0.0,22.4,33.5,11.5,-0.1
