id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,40.642651,-73.774551,2026-01-11T14:00,85,3.9,2.9,,0.0,0.0,0.0,0.0,12.0,,,,289,,,,24.1,,,,
point2,40.644413,-73.772232,2026-01-11T15:00,79,2.7,2.3,,0.0,0.0,0.0,0.0,14.2,,,,300,,,,31.0,,,,
point3,40.638954,-73.775238,2026-01-11T15:00,79,2.7,2.3,,0.0,0.0,0.0,0.0,14.2,,,,300,,,,31.0,,,,
point4,40.6325,-73.776764,2026-01-11T15:00,79,2.7,2.3,,0.0,0.0,0.0,0.0,14.2,,,,300,,,,31.0,,,,
point5,40.628651,-73.773209,2026-01-11T16:00,64,0.2,2.2,,0.0,0.0,0.0,0.0,14.9,,,,295,,,,36.7,,,,
point6,40.641453,-73.805153,2026-01-11T16:00,64,0.2,2.2,,0.0,0.0,0.0,0.0,14.9,,,,295,,,,36.7,,,,
point7,40.64164,-73.841858,2026-01-11T16:00,64,0.2,2.2,,0.0,0.0,0.0,0.0,14.9,,,,295,,,,36.7,,,,
point8,40.622505,-73.885612,2026-01-11T16:00,58,-1.0,2.2,,0.0,0.0,0.0,0.0,14.7,,,,298,,,,35.6,,,,
point9,40.583542,-73.921448,2026-01-11T16:00,58,-1.4,1.5,,0.0,0.0,0.0,0.0,17.8,,,,293,,,,42.1,,,,
point10,40.497665,-74.001587,2026-01-11T16:00,58,-1.3,1.5,,0.0,0.0,0.0,0.0,17.8,,,,293,,,,42.1,,,,
point11,40.232864,-74.445045,2026-01-11T16:00,59,-0.6,2.1,,0.0,0.0,0.0,0.0,17.5,,,,290,,,,34.9,,,,
point12,40.197765,-74.562645,2026-01-11T16:00,57,-1.3,1.7,,0.0,0.0,0.0,0.0,16.8,,,,286,,,,33.1,,,,
point13,40.137199,-75.204163,2026-01-11T16:00,53,-3.2,1.0,,0.0,0.0,0.0,0.0,13.3,,,,300,,,,36.4,,,,
point14,39.928505,-75.648987,2026-01-11T16:00,47,-4.7,1.1,,0.0,0.0,0.0,0.0,13.2,,,,299,,,,32.8,,,,
point15,39.421692,-76.441322,2026-01-11T16:00,48,-2.9,3.1,,0.0,0.0,0.0,0.0,12.3,,,,288,,,,28.1,,,,
point16,38.809158,-77.233887,2026-01-11T16:00,52,-1.8,3.3,,0.0,0.0,0.0,0.0,11.7,,,,302,,,,29.2,,,,
point17,38.119537,-77.971901,2026-01-11T16:00,36,-5.2,3.4,,0.0,0.0,0.0,0.0,20.8,,,,276,,,,40.3,,,,
point18,37.399063,-78.68502,2026-01-11T17:00,39,-4.4,2.5,,0.0,0.0,0.0,0.0,26.1,,,,279,,,,55.1,,,,
