point_id,time,lat,lon,visibility,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windgusts_10m,apparent_temperature,dew_point_2m
0,2026-02-02 04:00:00+00:00,40.63858,-73.781746,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
1,2026-02-02 04:00:00+00:00,40.636494,-73.782593,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
2,2026-02-02 04:00:00+00:00,40.633701,-73.781555,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
3,2026-02-02 04:00:00+00:00,40.631092,-73.780396,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
4,2026-02-02 04:00:00+00:00,40.627304,-73.783356,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
5,2026-02-02 04:00:00+00:00,40.623764,-73.786133,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
6,2026-02-02 04:00:00+00:00,40.624111,-73.783989,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
7,2026-02-02 04:00:00+00:00,40.666214,-73.745728,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
8,2026-02-02 04:00:00+00:00,40.668045,-73.704529,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
9,2026-02-02 04:00:00+00:00,40.650532,-73.661644,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
10,2026-02-02 04:00:00+00:00,40.611557,-73.637268,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
11,2026-02-02 04:00:00+00:00,40.507614,-73.568138,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
12,2026-02-02 04:00:00+00:00,40.358826,-73.299683,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
13,2026-02-02 04:00:00+00:00,39.926041,-72.385109,4020.0,86,0.5,0.0,0.0,0.0,30.6,51.5,8.5,11.8
14,2026-02-02 05:00:00+00:00,39.921246,-72.29071,50000.0,66,0.1,0.0,0.0,0.0,23.0,37.1,9.4,11.4
