id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,29.989269,-95.34874,2025-10-13T15:00,61,16.7,26.4,,0.0,0.0,0.0,0.0,5.3,,,,72,,,,16.9,,,,
point2,29.98908,-95.352051,2025-10-13T15:00,61,16.7,26.4,,0.0,0.0,0.0,0.0,5.3,,,,72,,,,16.9,,,,
point3,29.98945,-95.350769,2025-10-13T15:00,61,16.7,26.4,,0.0,0.0,0.0,0.0,5.3,,,,72,,,,16.9,,,,
point4,29.98995,-95.350197,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point5,29.989571,-95.355301,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point6,29.989918,-95.360336,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point7,29.980133,-95.356697,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point8,29.947632,-95.346947,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point9,29.954037,-95.387802,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point10,30.004641,-95.372971,2025-10-13T16:00,51,16.3,28.6,,0.0,0.0,0.0,0.0,6.0,,,,93,,,,20.2,,,,
point11,30.137547,-95.25943,2025-10-13T16:00,55,16.9,28.4,,0.0,0.0,0.0,0.0,6.1,,,,104,,,,18.7,,,,
point12,30.794724,-94.706543,2025-10-13T16:00,53,15.8,27.6,,0.0,0.0,0.0,0.0,3.8,,,,121,,,,14.4,,,,
point13,31.874411,-93.709846,2025-10-13T16:00,57,16.7,27.8,,0.0,0.0,0.0,0.0,3.4,,,,252,,,,13.7,,,,
point14,32.869354,-92.571404,2025-10-13T16:00,49,14.5,27.3,,0.0,0.0,0.0,0.0,2.1,,,,195,,,,11.5,,,,
point15,33.83725,-91.428337,2025-10-13T17:00,51,15.0,28.3,,0.0,0.0,0.0,0.0,0.6,,,,236,,,,13.3,,,,
point16,34.849888,-90.189911,2025-10-13T17:00,47,13.7,27.0,,0.0,0.0,0.0,0.0,4.6,,,,9,,,,15.5,,,,
point17,35.93642,-89.148621,2025-10-13T17:00,55,13.9,24.7,,0.0,0.0,0.0,0.0,6.4,,,,22,,,,18.0,,,,
point18,37.035099,-88.119606,2025-10-13T17:00,49,11.6,23.3,,0.0,0.0,0.0,0.0,6.7,,,,38,,,,18.4,,,,
point19,37.790455,-87.416122,2025-10-13T17:00,60,13.2,22.2,,0.0,0.0,0.0,0.0,4.7,,,,50,,,,16.2,,,,
point20,38.715542,-86.104675,2025-10-13T17:00,48,10.3,21.6,,0.0,0.0,0.0,0.0,7.0,,,,32,,,,22.0,,,,
point21,39.625126,-84.759338,2025-10-13T18:00,49,10.5,21.5,,0.0,0.0,0.0,0.0,7.6,,,,56,,,,21.6,,,,
point22,40.610321,-83.427368,2025-10-13T18:00,45,9.7,21.0,,0.0,0.0,0.0,0.0,11.7,,,,23,,,,25.9,,,,
point23,40.749268,-83.310448,2025-10-13T18:00,44,9.6,21.1,,0.0,0.0,0.0,0.0,11.9,,,,18,,,,26.3,,,,
point24,41.55909,-83.016464,2025-10-13T18:00,78,15.5,19.6,,0.0,0.0,0.0,0.0,14.8,,,,3,,,,29.2,,,,
point25,41.618637,-82.919998,2025-10-13T18:00,84,14.6,17.1,,0.0,0.0,0.0,0.0,15.0,,,,13,,,,22.7,,,,
