id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,33.941597,-118.407997,2025-08-09T18:00,69,17.0,25.3,,0.0,0.0,0.0,0.0,9.3,,,,241,,,,28.4,,,,
point2,33.938839,-118.408058,2025-08-09T18:00,69,17.0,25.3,,0.0,0.0,0.0,0.0,9.3,,,,241,,,,28.4,,,,
point3,33.93885,-118.399742,2025-08-09T18:00,69,17.0,25.3,,0.0,0.0,0.0,0.0,9.3,,,,241,,,,28.4,,,,
point4,33.940498,-118.391655,2025-08-09T18:00,69,17.0,25.3,,0.0,0.0,0.0,0.0,9.3,,,,241,,,,28.4,,,,
point5,33.939789,-118.398453,2025-08-09T19:00,69,16.8,25.2,,0.0,0.0,0.0,0.0,11.7,,,,247,,,,33.8,,,,
point6,33.938896,-118.407166,2025-08-09T19:00,69,16.8,25.2,,0.0,0.0,0.0,0.0,11.7,,,,247,,,,33.8,,,,
point7,33.941296,-118.408371,2025-08-09T20:00,71,16.4,24.2,,0.0,0.0,0.0,0.0,13.8,,,,254,,,,38.2,,,,
point8,33.938782,-118.407814,2025-08-09T20:00,71,16.4,24.2,,0.0,0.0,0.0,0.0,13.8,,,,254,,,,38.2,,,,
point9,33.938976,-118.3983,2025-08-09T20:00,71,16.4,24.2,,0.0,0.0,0.0,0.0,13.8,,,,254,,,,38.2,,,,
point10,33.940338,-118.380013,2025-08-09T20:00,71,16.4,24.2,,0.0,0.0,0.0,0.0,13.8,,,,254,,,,38.2,,,,
point11,33.934719,-118.425179,2025-08-09T20:00,71,16.4,24.2,,0.0,0.0,0.0,0.0,13.8,,,,254,,,,38.2,,,,
point12,33.914284,-118.485603,2025-08-09T20:00,71,16.7,24.6,,0.0,0.0,0.0,0.0,13.8,,,,254,,,,38.2,,,,
point13,33.857025,-118.556046,2025-08-09T20:00,71,16.7,24.6,,0.0,0.0,0.0,,13.8,,,,254,,,,38.2,,,,
point14,33.805069,-118.55162,2025-08-09T20:00,87,16.5,19.8,,0.0,0.0,0.0,,20.0,,,,265,,,,27.0,,,,
point15,33.689388,-118.497559,2025-08-09T20:00,88,16.4,19.7,,0.0,0.0,0.0,,18.7,,,,263,,,,25.6,,,,
point16,33.648701,-118.35463,2025-08-09T20:00,94,17.0,18.8,,0.0,0.0,0.0,,23.1,,,,266,,,,31.0,,,,
point17,33.644466,-118.001923,2025-08-09T20:00,63,16.6,26.6,,0.0,0.0,0.0,0.0,12.4,,,,227,,,,37.1,,,,
point18,33.505737,-117.204842,2025-08-09T20:00,38,16.0,33.9,,0.0,0.0,0.0,0.0,15.0,,,,183,,,,41.0,,,,
point19,33.379303,-115.74646,2025-08-09T21:00,35,20.4,43.1,,0.0,0.0,0.0,0.0,9.9,,,,209,,,,23.0,,,,
point20,33.191883,-114.149689,2025-08-09T21:00,24,15.7,41.5,,0.0,0.0,0.0,0.0,14.2,,,,206,,,,31.7,,,,
point21,32.984039,-112.560928,2025-08-09T21:00,20,13.7,41.7,,0.0,0.0,0.0,0.0,13.9,,,,268,,,,30.2,,,,
point22,32.753185,-110.957031,2025-08-09T21:00,24,10.2,34.8,,0.0,0.0,0.0,0.0,5.4,,,,352,,,,36.7,,,,
point23,32.448669,-109.415085,2025-08-09T21:00,11,3.6,35.5,,0.0,0.0,0.0,0.0,28.8,,,,354,,,,52.9,,,,
point24,32.050018,-107.922142,2025-08-09T21:00,11,2.8,39.3,,0.0,0.0,0.0,0.0,3.3,,,,174,,,,20.5,,,,
point25,31.753105,-106.42485,2025-08-09T22:00,12,4.9,39.1,,0.0,0.0,0.0,0.0,8.7,,,,111,,,,27.7,,,,
point26,31.583847,-104.814857,2025-08-09T22:00,10,1.3,37.0,,0.0,0.0,0.0,0.0,2.0,,,,265,,,,18.0,,,,
point27,31.845367,-103.324127,2025-08-09T22:00,11,3.5,36.3,,0.0,0.0,0.0,0.0,19.6,,,,137,,,,36.0,,,,
point28,32.049118,-101.807144,2025-08-09T22:00,15,7.8,36.7,,0.0,0.0,0.0,0.0,20.6,,,,164,,,,37.8,,,,
point29,32.23201,-100.303886,2025-08-09T22:00,19,9.3,33.2,,0.0,0.0,0.0,0.0,20.1,,,,165,,,,45.7,,,,
point30,32.33289,-98.824921,2025-08-09T22:00,30,15.5,35.6,,0.2,0.0,0.0,0.0,15.7,,,,156,,,,39.6,,,,
point31,32.385021,-97.645287,2025-08-09T23:00,38,18.6,35.6,,0.0,0.0,0.0,0.0,19.0,,,,162,,,,38.2,,,,
point32,32.419533,-97.582443,2025-08-09T23:00,37,18.1,34.9,,0.0,0.0,0.0,0.0,21.6,,,,164,,,,39.2,,,,
point33,32.776371,-97.176071,2025-08-09T23:00,34,18.6,37.4,,0.0,0.0,0.0,0.0,17.2,,,,149,,,,41.8,,,,
point34,32.819439,-97.166901,2025-08-09T23:00,34,18.6,37.4,,0.0,0.0,0.0,0.0,17.2,,,,149,,,,41.8,,,,
point35,33.057529,-97.164238,2025-08-09T23:00,35,18.7,36.5,,0.0,0.0,0.0,0.0,22.0,,,,146,,,,39.2,,,,
point36,33.118481,-97.136139,2025-08-09T23:00,34,18.3,36.8,,0.0,0.0,0.0,0.0,18.6,,,,157,,,,40.0,,,,
point37,33.118103,-97.093422,2025-08-09T23:00,34,18.3,36.8,,0.0,0.0,0.0,0.0,18.6,,,,157,,,,40.0,,,,
point38,33.092369,-97.0644,2025-08-09T23:00,34,18.1,36.8,,0.0,0.0,0.0,0.0,17.9,,,,156,,,,41.8,,,,
point39,33.06345,-97.05365,2025-08-09T23:00,34,18.1,36.8,,0.0,0.0,0.0,0.0,17.9,,,,156,,,,41.8,,,,
point40,32.994831,-97.054176,2025-08-09T23:00,36,18.6,36.9,,0.0,0.0,0.0,0.0,17.0,,,,154,,,,40.0,,,,
point41,32.90596,-97.054733,2025-08-09T23:00,34,18.4,37.3,,0.0,0.0,0.0,0.0,16.4,,,,154,,,,41.0,,,,
point42,32.892918,-97.052811,2025-08-09T23:00,34,18.4,37.5,,0.0,0.0,0.0,0.0,16.2,,,,154,,,,40.3,,,,
point43,32.885082,-97.051895,2025-08-09T23:00,34,18.4,37.5,,0.0,0.0,0.0,0.0,16.2,,,,154,,,,40.3,,,,
point44,32.885025,-97.038483,2025-08-09T23:00,34,18.4,37.5,,0.0,0.0,0.0,0.0,16.2,,,,154,,,,40.3,,,,
point45,32.882858,-97.032021,2025-08-09T23:00,34,18.4,37.5,,0.0,0.0,0.0,0.0,16.2,,,,154,,,,40.3,,,,
point46,32.879078,-97.032837,2025-08-10T00:00,35,18.1,36.6,,0.0,0.0,0.0,0.0,15.7,,,,152,,,,38.5,,,,
point47,32.883499,-97.032898,2025-08-10T00:00,35,18.1,36.6,,0.0,0.0,0.0,0.0,15.7,,,,152,,,,38.5,,,,
point48,32.89045,-97.033211,2025-08-10T00:00,35,18.1,36.6,,0.0,0.0,0.0,0.0,15.7,,,,152,,,,38.5,,,,
point49,32.898781,-97.033157,2025-08-10T00:00,35,18.1,36.6,,0.0,0.0,0.0,0.0,15.7,,,,152,,,,38.5,,,,
point50,32.90205,-97.036537,2025-08-10T00:00,35,18.1,36.5,,0.0,0.0,0.0,0.0,15.8,,,,153,,,,38.9,,,,
