id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,35.218117,-80.947968,2026-09-11T21:00,36,16.5,34.7,,0.0,0.0,0.0,0.0,8.2,,,,194,,,,20.9,,,,
point2,35.218678,-80.949928,2026-09-11T22:00,39,16.8,33.8,,0.0,0.0,0.0,0.0,8.6,,,,192,,,,22.3,,,,
point3,35.221691,-80.950684,2026-09-11T22:00,39,16.8,33.8,,0.0,0.0,0.0,0.0,8.6,,,,192,,,,22.3,,,,
point4,35.225075,-80.950951,2026-09-11T22:00,36,16.0,33.3,,0.0,0.0,0.0,0.0,13.0,,,,190,,,,29.5,,,,
point5,35.227322,-80.952118,2026-09-11T22:00,36,16.0,33.3,,0.0,0.0,0.0,0.0,13.0,,,,190,,,,29.5,,,,
point6,35.223263,-80.952843,2026-09-11T22:00,39,16.8,33.8,,0.0,0.0,0.0,0.0,8.6,,,,192,,,,22.3,,,,
point7,35.20166,-80.951019,2026-09-11T22:00,39,16.8,33.8,,0.0,0.0,0.0,0.0,8.6,,,,192,,,,22.3,,,,
point8,35.175293,-80.952087,2026-09-11T22:00,39,16.8,33.8,,0.0,0.0,0.0,0.0,8.6,,,,192,,,,22.3,,,,
point9,35.156109,-80.96386,2026-09-11T22:00,39,16.8,33.8,,0.0,0.0,0.0,0.0,8.6,,,,192,,,,22.3,,,,
point10,35.140095,-80.987892,2026-09-11T22:00,39,17.1,34.7,,0.0,0.0,0.0,0.0,5.2,,,,192,,,,18.7,,,,
point11,35.129482,-81.025482,2026-09-11T22:00,39,17.1,34.0,,0.0,0.0,0.0,0.0,7.2,,,,193,,,,19.1,,,,
point12,35.12352,-81.079659,2026-09-11T22:00,39,17.1,34.0,,0.0,0.0,0.0,0.0,7.2,,,,193,,,,19.1,,,,
point13,35.120544,-81.186844,2026-09-11T22:00,35,15.8,33.6,,0.0,0.0,0.0,0.0,10.9,,,,174,,,,24.5,,,,
point14,35.144474,-81.345749,2026-09-11T22:00,37,16.2,33.2,,0.0,0.0,0.0,0.0,11.1,,,,200,,,,26.6,,,,
point15,35.180225,-81.651016,2026-09-11T22:00,39,17.0,32.9,,0.1,0.0,0.0,0.0,14.4,,,,157,,,,30.2,,,,
point16,35.166321,-81.71244,2026-09-11T22:00,39,17.0,33.3,,0.1,0.0,0.0,0.0,13.1,,,,178,,,,26.3,,,,
point17,35.059189,-82.178818,2026-09-11T22:00,40,17.3,34.3,,0.5,0.0,0.0,0.0,7.2,,,,181,,,,21.6,,,,
point18,35.055634,-82.658104,2026-09-11T22:00,45,17.5,32.3,,0.0,0.0,0.0,0.0,9.2,,,,187,,,,28.1,,,,
point19,35.043274,-83.158936,2026-09-11T22:00,64,17.7,26.5,,0.0,0.0,0.0,0.0,8.5,,,,148,,,,24.5,,,,
point20,34.993412,-83.558746,2026-09-11T22:00,69,18.5,26.0,,0.9,0.0,0.0,0.0,11.4,,,,147,,,,25.6,,,,
point21,34.905853,-84.47242,2026-09-11T22:00,56,16.8,25.7,,0.1,0.0,0.0,0.0,20.2,,,,213,,,,48.6,,,,
point22,34.831688,-85.17334,2026-09-11T22:00,90,23.8,28.2,,0.9,0.0,0.0,0.0,21.7,,,,210,,,,51.5,,,,
point23,34.805786,-85.21579,2026-09-11T22:00,90,23.8,28.2,,0.9,0.0,0.0,0.0,21.7,,,,210,,,,51.5,,,,
point24,34.764633,-85.236588,2026-09-11T22:00,91,23.7,28.5,,0.6,0.0,0.0,0.0,17.8,,,,208,,,,38.5,,,,
point25,34.717262,-85.229935,2026-09-11T22:00,91,23.8,29.3,,0.4,0.0,0.0,0.0,13.1,,,,209,,,,34.6,,,,
point26,34.254299,-85.105476,2026-09-11T22:00,85,23.4,30.2,,0.2,0.0,0.0,0.0,11.1,,,,194,,,,24.8,,,,
point27,34.135849,-85.056992,2026-09-11T22:00,83,22.9,29.8,,0.3,0.0,0.0,0.0,10.9,,,,193,,,,27.0,,,,
point28,34.102844,-85.019157,2026-09-11T22:00,83,22.9,29.8,,0.3,0.0,0.0,0.0,10.9,,,,193,,,,27.0,,,,
point29,33.744366,-84.590492,2026-09-11T22:00,98,23.6,28.7,,1.5,0.0,0.0,0.0,7.5,,,,200,,,,21.6,,,,
point30,33.733799,-84.555191,2026-09-11T22:00,97,23.6,28.9,,1.3,0.0,0.0,0.0,6.2,,,,213,,,,18.4,,,,
point31,33.733063,-84.514961,2026-09-11T22:00,97,23.6,28.9,,1.3,0.0,0.0,0.0,6.2,,,,213,,,,18.4,,,,
point32,33.732925,-84.335091,2026-09-11T22:00,96,23.7,28.9,,0.8,0.0,0.0,0.0,9.6,,,,221,,,,19.1,,,,
point33,33.728165,-84.176857,2026-09-11T22:00,97,23.7,29.0,,1.2,0.0,0.0,0.0,6.8,,,,220,,,,18.4,,,,
point34,33.706429,-84.159966,2026-09-11T22:00,97,23.7,29.0,,1.2,0.0,0.0,0.0,6.8,,,,220,,,,18.4,,,,
point35,33.68045,-84.155502,2026-09-11T23:00,97,23.7,29.0,,0.3,0.0,0.0,0.0,7.2,,,,212,,,,18.7,,,,
point36,33.649292,-84.168724,2026-09-11T23:00,98,23.9,29.3,,0.3,0.0,0.0,0.0,7.1,,,,210,,,,18.7,,,,
point37,33.647919,-84.195129,2026-09-11T23:00,98,23.9,29.3,,0.3,0.0,0.0,0.0,7.1,,,,210,,,,18.7,,,,
point38,33.649681,-84.221764,2026-09-11T23:00,98,23.9,29.3,,0.3,0.0,0.0,0.0,7.1,,,,210,,,,18.7,,,,
point39,33.649429,-84.256676,2026-09-11T23:00,95,23.5,29.1,,0.4,0.0,0.0,0.0,7.7,,,,211,,,,19.8,,,,
point40,33.649494,-84.345184,2026-09-11T23:00,95,23.5,29.1,,0.4,0.0,0.0,0.0,7.7,,,,211,,,,19.8,,,,
point41,33.649551,-84.42627,2026-09-11T23:00,93,23.2,28.8,,0.5,0.0,0.0,0.0,8.1,,,,212,,,,18.4,,,,
