id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,25.798086,-80.284637,2025-10-14T12:00,85,20.2,25.5,,0.0,0.0,0.0,0.0,9.6,,,,347,,,,16.2,,,,
point2,25.799351,-80.288269,2025-10-14T13:00,82,21.2,27.9,,0.0,0.0,0.0,0.0,7.2,,,,332,,,,19.1,,,,
point3,25.799088,-80.294136,2025-10-14T13:00,82,21.2,27.9,,0.0,0.0,0.0,0.0,7.2,,,,332,,,,19.1,,,,
point4,25.800396,-80.301262,2025-10-14T13:00,82,21.2,27.9,,0.0,0.0,0.0,0.0,7.2,,,,332,,,,19.1,,,,
point5,25.800739,-80.248856,2025-10-14T13:00,82,21.1,27.7,,0.0,0.0,0.0,0.0,6.3,,,,309,,,,18.0,,,,
point6,25.779099,-80.20182,2025-10-14T13:00,79,22.0,29.1,,0.0,0.0,0.0,0.0,11.0,,,,24,,,,24.1,,,,
point7,25.750555,-80.088699,2025-10-14T13:00,79,22.0,29.2,,0.0,0.0,0.0,0.0,11.0,,,,24,,,,24.1,,,,
point8,25.848661,-79.96611,2025-10-14T13:00,67,20.9,27.7,,0.0,0.0,0.0,0.0,29.5,,,,46,,,,38.9,,,,
point9,26.375259,-79.430244,2025-10-14T13:00,63,19.6,28.0,,0.0,0.0,0.0,0.0,19.6,,,,42,,,,29.5,,,,
point10,26.779642,-79.115829,2025-10-14T14:00,65,19.7,27.7,,0.0,0.0,0.0,0.0,19.3,,,,30,,,,26.3,,,,
point11,27.913465,-78.939987,2025-10-14T14:00,65,19.3,27.0,,0.0,0.0,0.0,0.0,19.6,,,,3,,,,29.5,,,,
point12,29.358194,-78.706512,2025-10-14T14:00,76,20.0,24.8,,0.1,0.0,0.0,0.0,23.8,,,,12,,,,31.7,,,,
point13,30.776941,-78.470123,2025-10-14T14:00,69,18.2,23.2,,0.0,0.0,0.0,0.0,26.5,,,,9,,,,36.7,,,,
point14,32.137756,-78.232407,2025-10-14T14:00,74,17.7,21.8,,0.0,0.0,0.0,0.0,24.3,,,,353,,,,35.3,,,,
point15,33.480556,-77.938301,2025-10-14T14:00,76,15.2,16.8,,0.0,0.0,0.0,0.0,29.9,,,,342,,,,42.5,,,,
point16,34.12698,-77.617493,2025-10-14T15:00,77,14.5,15.0,,0.0,0.0,0.0,0.0,35.5,,,,347,,,,52.9,,,,
point17,34.165524,-77.503395,2025-10-14T15:00,78,14.8,15.2,,0.0,0.0,0.0,0.0,35.0,,,,348,,,,51.8,,,,
point18,34.198532,-77.260551,2025-10-14T15:00,80,15.1,15.2,,0.0,0.0,0.0,0.0,34.4,,,,348,,,,51.5,,,,
point19,34.277668,-77.198067,2025-10-14T15:00,80,15.0,15.1,,0.0,0.0,0.0,0.0,34.0,,,,349,,,,50.4,,,,
point20,35.347595,-76.741272,2025-10-14T15:00,81,13.2,14.6,,0.1,0.0,0.0,0.0,19.9,,,,350,,,,40.3,,,,
point21,36.676758,-76.15683,2025-10-14T15:00,89,15.5,16.5,,0.2,0.0,0.0,0.0,18.3,,,,349,,,,39.2,,,,
point22,37.855774,-75.613228,2025-10-14T15:00,82,12.6,13.0,,0.0,0.0,0.0,0.0,24.6,,,,5,,,,47.2,,,,
point23,38.660797,-74.868904,2025-10-14T15:00,87,13.8,11.4,,0.0,0.0,0.0,0.0,39.8,,,,12,,,,54.4,,,,
point24,39.803654,-73.868164,2025-10-14T15:00,86,13.7,11.0,,0.0,0.0,0.0,0.0,43.4,,,,16,,,,61.6,,,,
point25,40.886227,-72.841164,2025-10-14T16:00,77,11.9,13.8,,0.0,0.0,0.0,0.0,18.2,,,,9,,,,46.1,,,,
point26,41.493347,-72.171371,2025-10-14T16:00,77,10.3,11.3,,0.0,0.0,0.0,0.0,20.4,,,,22,,,,47.5,,,,
point27,41.730728,-71.415352,2025-10-14T16:00,87,11.8,10.7,,0.1,0.0,0.0,0.0,25.0,,,,10,,,,48.6,,,,
point28,41.804516,-71.277824,2025-10-14T16:00,89,12.1,11.3,,0.2,0.0,0.0,0.0,21.4,,,,17,,,,49.3,,,,
point29,41.978394,-71.200645,2025-10-14T16:00,91,11.8,11.3,,0.3,0.0,0.0,0.0,17.5,,,,8,,,,42.5,,,,
point30,42.13678,-71.132729,2025-10-14T16:00,90,11.1,10.5,,0.3,0.0,0.0,0.0,16.8,,,,12,,,,39.2,,,,
point31,42.246185,-71.07399,2025-10-14T16:00,89,10.8,10.4,,0.3,0.0,0.0,0.0,17.0,,,,13,,,,38.2,,,,
point32,42.307297,-71.042969,2025-10-14T16:00,86,10.3,9.9,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point33,42.348385,-71.019524,2025-10-14T16:00,86,10.5,10.1,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point34,42.385395,-71.042198,2025-10-14T16:00,81,9.7,10.6,,0.1,0.0,0.0,0.0,14.4,,,,13,,,,37.4,,,,
point35,42.41803,-71.156509,2025-10-14T16:00,81,9.5,10.4,,0.1,0.0,0.0,0.0,14.4,,,,13,,,,37.4,,,,
point36,42.391678,-71.213127,2025-10-14T16:00,79,9.3,10.5,,0.1,0.0,0.0,0.0,13.9,,,,13,,,,32.8,,,,
point37,42.287167,-71.283897,2025-10-14T16:00,82,9.8,10.5,,0.1,0.0,0.0,0.0,15.2,,,,10,,,,32.0,,,,
point38,42.208191,-71.318932,2025-10-14T16:00,83,10.0,10.3,,0.1,0.0,0.0,0.0,16.9,,,,12,,,,36.0,,,,
point39,42.161991,-71.291756,2025-10-14T16:00,83,10.1,10.2,,0.1,0.0,0.0,0.0,19.4,,,,17,,,,40.3,,,,
point40,42.128937,-71.210953,2025-10-14T16:00,88,10.8,10.3,,0.1,0.0,0.0,0.0,17.5,,,,15,,,,38.5,,,,
point41,42.132156,-71.161316,2025-10-14T16:00,88,10.8,10.3,,0.1,0.0,0.0,0.0,17.5,,,,15,,,,38.5,,,,
point42,42.164505,-71.107094,2025-10-14T16:00,90,11.1,10.5,,0.3,0.0,0.0,0.0,16.8,,,,12,,,,39.2,,,,
point43,42.194641,-71.086784,2025-10-14T16:00,89,10.8,10.4,,0.3,0.0,0.0,0.0,17.0,,,,13,,,,38.2,,,,
point44,42.265709,-71.053055,2025-10-14T16:00,86,10.3,9.9,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point45,42.319103,-71.027252,2025-10-14T16:00,86,10.3,9.9,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point46,42.370251,-71.005043,2025-10-14T16:00,86,10.4,10.1,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point47,42.370079,-71.010948,2025-10-14T16:00,86,10.4,10.1,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point48,42.364975,-71.013474,2025-10-14T16:00,86,10.4,10.1,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point49,42.35947,-71.018806,2025-10-14T16:00,86,10.4,10.1,,0.3,0.0,0.0,0.0,19.3,,,,14,,,,42.1,,,,
point50,42.361359,-71.021614,2025-10-14T17:00,85,10.5,9.9,,0.2,0.0,0.0,0.0,21.5,,,,24,,,,43.9,,,,
