id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,36.078274,-115.129036,2025-09-27T00:00,32,10.5,27.9,,0.0,0.0,0.0,0.0,7.7,,,,62,,,,20.9,,,,
point2,36.078274,-115.125366,2025-09-27T00:00,32,10.5,27.9,,0.0,0.0,0.0,0.0,7.7,,,,62,,,,20.9,,,,
point3,36.078278,-115.122955,2025-09-27T00:00,32,10.5,27.9,,0.0,0.0,0.0,0.0,7.7,,,,62,,,,20.9,,,,
point4,36.076412,-115.121727,2025-09-27T01:00,37,10.4,26.2,,0.0,0.0,0.0,0.0,1.9,,,,68,,,,24.1,,,,
point5,36.076263,-115.155197,2025-09-27T01:00,43,11.5,25.0,,0.0,0.0,0.0,0.0,3.6,,,,207,,,,27.7,,,,
point6,36.078125,-115.265221,2025-09-27T01:00,44,10.9,23.5,,0.0,0.0,0.0,0.0,5.9,,,,194,,,,23.0,,,,
point7,36.095024,-115.288422,2025-09-27T01:00,43,11.1,24.1,,0.0,0.0,0.0,0.0,4.9,,,,182,,,,14.8,,,,
point8,36.123825,-115.294586,2025-09-27T01:00,43,10.4,23.2,,0.0,0.0,0.0,0.0,4.9,,,,182,,,,14.8,,,,
point9,36.151382,-115.28978,2025-09-27T01:00,43,10.7,23.6,,0.0,0.0,0.0,0.0,4.9,,,,182,,,,14.8,,,,
point10,36.1707,-115.265747,2025-09-27T01:00,39,10.2,25.0,,0.0,0.0,0.0,0.0,2.5,,,,180,,,,21.2,,,,
point11,36.18375,-115.229515,2025-09-27T01:00,39,11.0,26.0,,0.0,0.0,0.0,0.0,2.5,,,,180,,,,21.2,,,,
point12,36.198074,-115.149879,2025-09-27T01:00,36,10.3,26.3,,0.0,0.0,0.0,0.0,3.1,,,,83,,,,28.8,,,,
