id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,40.68433,-74.184448,2026-09-11T21:00,34,10.5,26.0,0,0.0,0.0,0.0,0.0,13.0,16.8,20.0,14.1,321,318,324,310,18.7,26.1,25.8,24.0,56700.0
point2,40.684853,-74.181641,2026-09-11T21:00,34,10.5,26.0,0,0.0,0.0,0.0,0.0,13.0,16.8,20.0,14.1,321,318,324,310,18.7,26.1,25.8,24.0,56700.0
point3,40.683289,-74.17791,2026-09-11T21:00,34,10.5,26.0,0,0.0,0.0,0.0,0.0,13.0,16.8,20.0,14.1,321,318,324,310,18.7,26.1,25.8,24.0,56700.0
point4,40.68008,-74.178062,2026-09-11T21:00,34,10.5,26.0,0,0.0,0.0,0.0,0.0,13.0,16.8,20.0,14.1,321,318,324,310,18.7,26.1,25.8,24.0,56700.0
point5,40.676899,-74.180099,2026-09-11T22:00,35,10.2,25.8,0,0.0,0.0,0.0,0.0,8.0,11.1,19.3,13.8,324,324,329,311,12.6,25.8,25.6,24.0,56200.0
point6,40.677151,-74.17836,2026-09-11T22:00,35,10.2,25.8,0,0.0,0.0,0.0,0.0,8.0,11.1,19.3,13.8,324,324,329,311,12.6,25.8,25.6,24.0,56200.0
point7,40.693199,-74.168114,2026-09-11T22:00,36,10.6,25.9,0,0.0,0.0,0.0,0.0,8.6,11.6,19.3,14.0,327,324,329,316,13.3,25.8,25.6,23.5,54900.0
point8,40.719894,-74.147041,2026-09-11T22:00,36,10.6,25.8,0,0.0,0.0,0.0,0.0,9.0,11.8,19.3,14.0,323,322,329,316,14.0,25.8,25.6,23.5,53800.0
point9,40.746567,-74.113647,2026-09-11T22:00,36,10.6,25.9,0,0.0,0.0,0.0,0.0,8.3,11.8,21.6,14.0,326,322,328,316,14.0,25.8,25.6,23.5,54200.0
point10,40.783951,-74.100708,2026-09-11T22:00,34,9.7,25.5,0,0.0,0.0,0.0,0.0,8.3,11.8,21.6,14.0,326,322,328,316,14.8,25.9,25.7,23.5,56600.0
point11,40.801071,-74.136841,2026-09-11T22:00,35,10.0,25.4,0,0.0,0.0,0.0,0.0,8.7,12.0,19.3,14.0,322,319,329,316,15.1,25.8,25.6,23.5,55700.0
point12,40.798286,-74.186058,2026-09-11T22:00,36,10.2,25.2,0,0.0,0.0,0.0,0.0,9.4,12.7,19.3,14.0,320,317,329,316,15.8,25.5,25.3,23.2,55300.0
point13,40.781708,-74.392517,2026-09-11T22:00,37,10.3,24.6,0,0.0,0.0,0.0,0.0,11.1,15.1,17.2,13.0,331,327,318,316,15.1,24.7,24.5,23.0,53500.0
point14,40.752621,-74.478874,2026-09-11T22:00,40,10.9,24.4,0,0.0,0.0,0.0,0.0,9.5,13.6,17.2,12.2,349,343,318,315,15.1,24.6,24.4,23.0,50000.0
point15,40.545135,-75.050171,2026-09-11T22:00,44,12.0,24.5,0,0.0,0.0,0.0,0.0,8.5,13.3,7.2,12.6,324,327,300,307,14.4,24.5,24.3,23.4,45400.0
point16,40.195621,-75.613594,2026-09-11T22:00,51,15.2,27.1,0,0.0,0.0,0.0,0.0,5.1,7.3,2.6,10.7,278,281,34,312,13.3,25.1,24.9,24.2,39100.0
point17,39.696854,-76.591362,2026-09-11T22:00,58,16.7,27.6,0,0.0,0.0,0.0,0.0,2.2,2.7,3.8,0.8,180,203,29,63,7.6,24.6,24.4,22.5,30400.0
point18,39.455582,-77.019775,2026-09-11T22:00,59,16.1,26.7,0,0.0,0.0,0.0,0.0,0.4,2.0,2.3,3.8,180,135,108,139,2.9,24.9,24.7,22.2,28800.0
point19,38.804501,-77.698181,2026-09-11T22:00,63,18.1,28.1,1,0.0,0.0,0.0,0.0,3.7,4.3,10.1,10.9,29,48,80,63,4.7,25.0,24.8,21.6,27700.0
point20,38.537659,-78.041504,2026-09-11T22:00,64,18.8,28.5,2,0.0,0.0,0.0,0.0,5.9,6.4,12.2,16.3,52,52,61,47,6.5,25.7,25.5,22.7,26100.0
point21,37.963955,-79.00251,2026-09-11T22:00,97,20.7,24.8,44,0.0,0.0,0.0,0.0,4.1,4.8,11.8,7.4,15,13,104,76,5.0,22.5,22.3,21.0,9200.0
point22,37.381771,-79.736679,2026-09-11T23:00,79,22.2,29.0,16,0.0,0.0,0.0,0.0,14.4,18.3,10.2,10.5,112,110,131,84,18.4,26.6,26.6,23.5,17900.0
point23,36.685181,-80.570755,2026-09-11T23:00,59,16.8,26.6,10,0.0,0.0,0.0,0.0,7.6,9.0,9.0,5.2,360,360,243,12,9.0,23.9,24.1,21.5,31000.0
point24,36.029987,-81.334999,2026-09-11T23:00,49,17.2,31.1,5,0.0,0.0,0.0,0.0,2.9,5.1,10.8,12.6,353,352,18,117,5.0,27.3,27.4,28.9,39400.0
point25,35.659897,-81.617432,2026-09-11T23:00,50,17.8,31.9,3,0.0,0.0,0.0,0.0,1.1,3.3,17.8,12.4,18,84,32,126,5.8,28.7,28.7,29.1,39100.0
point26,35.15538,-81.96389,2026-09-11T23:00,35,15.0,32.7,2,0.0,0.0,0.0,0.0,9.0,9.7,1.9,10.3,360,4,79,144,9.7,32.2,32.2,30.8,54200.0
point27,34.596176,-82.120789,2026-09-11T23:00,57,18.4,29.6,13,0.0,0.0,0.0,0.0,8.6,11.6,25.0,22.7,112,112,160,181,11.5,30.1,30.1,27.0,34000.0
point28,34.094147,-82.201332,2026-09-11T23:00,79,21.3,29.0,29,0.0,0.0,0.0,0.0,5.1,15.6,23.2,8.4,176,187,183,200,19.8,30.2,30.2,26.0,19100.0
point29,33.741852,-82.364441,2026-09-11T23:00,72,23.1,30.9,24,0.0,0.0,0.0,0.0,22.5,33.7,20.7,14.4,215,215,185,183,33.8,30.0,30.0,26.2,21400.0
point30,33.498184,-82.398064,2026-09-11T23:00,83,21.9,27.0,44,0.0,0.0,0.0,0.0,19.0,29.1,18.0,17.6,245,236,180,191,32.0,30.5,30.4,25.6,16800.0
point31,33.203064,-82.504684,2026-09-11T23:00,96,24.0,29.7,39,0.4,0.0,0.0,0.0,7.2,7.0,22.8,14.5,288,282,180,199,7.6,30.7,30.5,25.3,7000.0
point32,33.005119,-82.55217,2026-09-11T23:00,83,23.4,31.3,37,0.0,0.0,0.0,0.0,7.0,11.6,27.2,13.7,258,248,180,203,17.3,29.7,29.6,25.5,16500.0
point33,32.728317,-82.50386,2026-09-11T23:00,86,24.1,31.2,32,0.0,0.0,0.0,0.0,11.5,17.1,23.3,14.6,219,222,185,200,21.2,29.7,29.6,25.6,14700.0
point34,32.385315,-82.382851,2026-09-11T23:00,94,23.3,29.4,53,0.0,0.0,0.0,0.0,4.7,6.9,18.7,18.3,274,264,200,200,13.3,29.3,29.2,26.0,12700.0
point35,31.51107,-82.301712,2026-09-11T23:00,88,22.7,29.5,46,0.0,0.0,0.0,0.0,4.7,7.8,10.0,16.8,203,214,264,211,10.8,30.2,30.1,25.1,14500.0
