id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,29.989269,-95.34874,2025-10-13T11:00,85,15.2,19.3,0,0.0,0.0,0.0,0.0,1.6,5.1,9.6,14.1,63,184,176,177,3.2,22.5,22.5,22.3,13900.0
point2,29.98908,-95.352051,2025-10-13T11:00,85,15.2,19.3,0,0.0,0.0,0.0,0.0,1.6,5.1,9.6,14.1,63,184,176,177,3.2,22.5,22.5,22.3,13900.0
point3,29.98945,-95.350769,2025-10-13T12:00,89,15.3,18.6,0,0.0,0.0,0.0,0.0,2.8,3.6,4.6,12.0,40,186,151,164,2.9,22.5,22.5,21.8,12800.0
point4,29.98995,-95.350197,2025-10-13T12:00,89,15.3,18.6,0,0.0,0.0,0.0,0.0,2.8,3.6,4.6,12.0,40,186,151,164,2.9,22.5,22.5,21.8,12800.0
point5,29.989571,-95.355301,2025-10-13T12:00,89,15.3,18.6,0,0.0,0.0,0.0,0.0,2.8,3.6,4.6,12.0,40,186,151,164,2.9,22.5,22.5,21.8,12800.0
point6,29.989918,-95.360336,2025-10-13T12:00,89,15.3,18.6,0,0.0,0.0,0.0,0.0,2.8,3.6,4.6,12.0,40,186,151,164,2.9,22.5,22.5,21.8,12800.0
point7,29.980133,-95.356697,2025-10-13T12:00,89,15.3,18.6,0,0.0,0.0,0.0,0.0,2.8,3.6,4.6,12.0,40,186,151,164,2.9,22.5,22.5,21.8,12800.0
point8,29.947632,-95.346947,2025-10-13T12:00,86,15.0,18.7,0,0.0,0.0,0.0,0.0,2.6,4.9,4.6,12.0,34,197,151,164,2.5,22.5,22.5,21.8,13800.0
point9,29.954037,-95.387802,2025-10-13T12:00,86,15.3,19.2,0,0.0,0.0,0.0,0.0,1.8,6.6,5.6,12.0,349,202,188,164,2.5,22.6,22.6,21.8,14500.0
point10,30.004641,-95.372971,2025-10-13T12:00,91,16.2,19.5,0,0.0,0.0,0.0,0.0,2.1,4.7,4.6,12.0,31,203,151,164,1.8,22.5,22.5,21.8,13200.0
point11,30.137547,-95.25943,2025-10-13T12:00,91,15.2,17.8,0,0.0,0.0,0.0,0.0,4.8,3.1,5.3,11.6,48,135,146,173,5.0,21.3,21.5,21.8,12200.0
point12,30.794724,-94.706543,2025-10-13T13:00,93,14.1,15.9,0,0.0,0.0,0.0,0.0,5.1,4.7,7.9,8.4,45,360,146,200,8.3,19.4,19.7,20.8,12900.0
point13,31.874411,-93.709846,2025-10-13T13:00,72,10.5,15.1,0,0.0,0.0,0.0,0.0,3.9,5.3,3.9,11.7,304,242,229,261,4.0,18.6,18.9,20.5,22000.0
point14,32.869354,-92.571404,2025-10-13T13:00,96,13.3,14.9,0,0.0,0.0,0.0,0.0,0.8,7.8,5.9,11.2,153,112,150,165,5.4,18.6,19.0,22.1,12200.0
point15,33.83725,-91.428337,2025-10-13T13:00,86,12.4,14.8,0,0.0,0.0,0.0,0.0,4.7,10.1,9.8,2.4,67,94,103,207,8.6,19.4,19.6,21.0,15600.0
point16,34.849888,-90.189911,2025-10-13T13:00,93,13.3,15.3,0,0.0,0.0,0.0,0.0,1.3,3.0,4.8,6.9,124,166,90,118,3.6,18.3,18.5,20.6,12900.0
point17,35.93642,-89.148621,2025-10-13T13:00,100,10.8,10.8,0,0.0,0.0,0.0,0.0,1.5,2.9,7.7,9.0,284,90,90,119,2.5,16.9,17.1,19.1,12200.0
point18,37.035099,-88.119606,2025-10-13T14:00,81,12.2,15.5,0,0.0,0.0,0.0,0.0,4.3,9.4,5.9,6.4,90,90,68,106,11.9,16.9,16.7,18.0,17800.0
point19,37.790455,-87.416122,2025-10-13T14:00,96,14.0,15.6,0,0.0,0.0,0.0,0.0,1.9,4.0,8.2,8.0,112,100,80,82,4.3,15.9,15.7,17.1,12400.0
point20,38.715542,-86.104675,2025-10-13T14:00,90,11.9,13.4,0,0.0,0.0,0.0,0.0,4.5,10.4,10.1,15.1,76,76,57,57,13.7,13.9,13.7,15.1,13300.0
point21,39.625126,-84.759338,2025-10-13T14:00,94,13.2,13.4,0,0.0,0.0,0.0,0.0,11.6,16.3,17.0,16.2,64,65,76,94,19.1,14.2,14.0,14.0,12900.0
point22,40.610321,-83.427368,2025-10-13T14:00,92,12.4,13.6,0,0.0,0.0,0.0,0.0,6.2,6.0,10.2,13.0,69,65,69,93,10.8,14.7,14.6,14.4,12700.0
point23,40.749268,-83.310448,2025-10-13T14:00,91,12.9,14.1,0,0.0,0.0,0.0,0.0,8.3,8.0,7.9,10.8,88,85,56,90,10.8,15.4,15.1,14.7,12900.0
point24,41.55909,-83.016464,2025-10-13T14:00,84,13.5,16.0,0,0.0,0.0,0.0,0.0,8.9,10.3,5.3,7.4,166,155,295,43,10.4,15.7,15.5,14.3,15600.0
point25,41.618637,-82.919998,2025-10-13T15:00,94,14.6,16.1,0,0.0,0.0,0.0,0.0,6.9,5.8,5.2,9.7,276,277,8,31,6.8,17.4,17.2,14.2,12800.0
point26,41.635113,-82.789772,2025-10-13T15:00,86,13.9,16.6,0,0.0,0.0,0.0,0.0,6.3,5.2,11.4,7.8,294,304,182,22,10.4,17.7,17.5,14.2,15900.0
point27,41.601688,-82.654167,2025-10-13T15:00,76,12.4,17.0,0,0.0,0.0,0.0,0.0,2.6,3.4,5.5,5.0,74,72,42,21,8.6,17.4,17.2,12.9,20100.0
point28,41.162651,-81.795334,2025-10-13T15:00,66,10.8,17.0,0,0.0,0.0,0.0,0.0,3.2,4.8,10.9,9.2,27,27,48,59,15.5,15.3,15.1,13.2,26100.0
point29,41.144623,-81.667542,2025-10-13T15:00,72,11.4,16.5,0,0.0,0.0,0.0,0.0,2.3,3.2,10.9,9.2,39,27,48,59,11.9,15.5,15.3,13.2,22500.0
point30,41.266388,-80.981934,2025-10-13T15:00,81,11.5,14.7,0,0.0,0.0,0.0,0.0,4.1,6.4,19.0,8.4,52,43,43,50,9.7,15.0,14.7,12.3,17700.0
point31,41.289276,-79.759804,2025-10-13T15:00,86,12.2,13.7,1,0.0,0.0,0.0,0.0,10.0,13.6,18.9,14.7,21,22,53,62,24.8,13.0,12.8,11.2,16400.0
point32,41.176208,-77.832092,2025-10-13T15:00,95,9.4,7.5,27,0.0,0.0,0.0,0.0,16.9,28.9,33.1,23.4,12,17,40,25,39.2,8.1,7.9,8.9,300.0
point33,40.872028,-76.040001,2025-10-13T15:00,88,9.4,8.7,46,0.5,0.0,0.0,0.0,16.9,33.5,34.9,37.4,360,9,29,26,49.3,9.9,9.8,8.9,300.0
point34,40.656967,-75.138184,2025-10-13T15:00,95,10.8,9.4,54,0.0,0.0,0.0,0.0,16.6,30.4,45.1,56.2,5,11,32,36,52.6,10.1,9.9,10.4,8000.0
point35,40.566238,-74.998657,2025-10-13T15:00,92,11.0,9.5,58,0.0,0.0,0.0,0.0,21.5,35.0,44.6,55.2,18,20,35,33,61.9,10.7,10.5,9.5,13200.0
point36,40.488556,-74.742981,2025-10-13T15:00,92,11.2,9.4,42,0.1,0.0,0.0,0.0,23.3,40.6,44.9,57.8,20,24,37,36,63.0,11.0,10.8,9.7,10500.0
point37,40.420944,-74.681152,2025-10-13T15:00,91,11.3,9.4,47,0.2,0.0,0.0,0.0,25.2,43.2,44.9,61.8,14,19,37,34,63.4,11.2,11.0,9.9,2100.0
point38,40.279129,-74.556091,2025-10-13T15:00,98,12.4,9.5,53,0.5,0.0,0.0,0.0,26.9,46.4,49.8,64.2,16,19,38,30,65.2,13.2,13.1,10.1,2200.0
point39,40.267593,-74.478004,2025-10-13T16:00,95,13.1,10.2,69,0.5,0.0,0.0,0.0,32.4,52.1,50.0,61.1,30,29,41,29,65.2,13.6,13.4,10.0,12300.0
point40,40.357113,-74.307838,2025-10-13T16:00,96,13.3,10.8,74,0.2,0.0,0.0,0.0,28.4,46.8,58.5,58.7,29,30,51,30,59.4,15.0,14.8,10.4,12200.0
