id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,29.989309,-95.350197,2025-10-16T14:00,77,17.3,22.9,0,0.0,0.0,0.0,0.0,8.6,12.5,14.8,24.8,75,78,96,109,22.0,21.5,21.3,21.8,19200.0
point2,29.989861,-95.355743,2025-10-16T14:00,77,17.3,22.9,0,0.0,0.0,0.0,0.0,8.6,12.5,14.8,24.8,75,78,96,109,22.0,21.5,21.3,21.8,19200.0
point3,29.990339,-95.360382,2025-10-16T14:00,77,17.3,22.9,0,0.0,0.0,0.0,0.0,8.6,12.5,14.8,24.8,75,78,96,109,22.0,21.5,21.3,21.8,19200.0
point4,29.986357,-95.360504,2025-10-16T14:00,77,17.3,22.9,0,0.0,0.0,0.0,0.0,8.6,12.5,14.8,24.8,75,78,96,109,22.0,21.5,21.3,21.8,19200.0
point5,29.958693,-95.340012,2025-10-16T14:00,78,17.6,23.1,0,0.0,0.0,0.0,0.0,8.4,11.3,14.8,24.8,80,81,96,109,21.2,21.5,21.3,21.8,18400.0
point6,29.974594,-95.319054,2025-10-16T14:00,76,17.2,22.9,0,0.0,0.0,0.0,0.0,9.3,14.2,14.8,24.8,77,81,96,109,22.3,21.5,21.3,21.8,19400.0
point7,30.010458,-95.324631,2025-10-16T14:00,77,17.3,22.8,0,0.0,0.0,0.0,0.0,8.5,13.1,14.8,24.8,78,82,96,109,21.6,21.5,21.3,21.8,19300.0
point8,30.118134,-95.351547,2025-10-16T14:00,72,15.7,21.9,0,0.0,0.0,0.0,0.0,7.1,10.5,14.8,24.6,105,94,96,111,17.6,21.5,21.3,21.6,21800.0
point9,30.249226,-95.444771,2025-10-16T14:00,67,14.9,22.2,0,0.0,0.0,0.0,0.0,4.7,7.0,13.9,25.0,94,78,108,115,7.6,22.0,21.8,21.3,24400.0
point10,30.826101,-95.807266,2025-10-16T14:00,85,16.3,20.7,0,0.0,0.0,0.0,0.0,2.3,1.3,14.1,21.7,108,304,129,119,2.5,21.1,20.9,21.1,15700.0
point11,31.419409,-96.034737,2025-10-16T14:00,75,13.7,19.1,0,0.0,0.0,0.0,0.0,2.0,0.8,10.4,15.0,45,63,153,132,2.2,19.8,19.7,21.7,19100.0
point12,32.49905,-96.216072,2025-10-16T15:00,64,14.4,22.1,0,0.0,0.0,0.0,0.0,6.3,5.6,13.1,20.5,103,105,153,156,7.6,21.6,21.4,20.4,25400.0
point13,33.647537,-96.215744,2025-10-16T15:00,58,12.7,19.9,0,0.0,0.0,0.0,0.0,15.6,17.9,18.2,29.7,124,124,137,144,23.0,20.6,20.4,19.4,29700.0
point14,34.813156,-96.023811,2025-10-16T15:00,57,13.5,22.1,0,0.0,0.0,0.0,0.0,10.2,12.4,24.2,27.4,141,144,158,145,24.5,21.3,21.0,18.5,30400.0
