id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,30.202869,-97.664215,2025-10-19T20:00,19,3.2,26.1,0,0.0,0.0,0.0,0.0,18.1,20.6,22.9,25.0,49,46,44,41,22.3,27.2,27.0,24.6,80400.0
point2,30.20113,-97.660988,2025-10-19T21:00,20,4.6,26.9,0,0.0,0.0,0.0,0.0,16.1,17.8,20.5,23.4,48,48,43,43,19.4,27.9,27.7,25.1,77800.0
point3,30.199169,-97.662041,2025-10-19T21:00,20,4.6,26.9,0,0.0,0.0,0.0,0.0,16.1,17.8,20.5,23.4,48,48,43,43,19.4,27.9,27.7,25.2,77800.0
point4,30.193142,-97.659737,2025-10-19T21:00,20,4.6,26.9,0,0.0,0.0,0.0,0.0,16.1,17.8,20.5,23.4,48,48,43,43,19.4,28.0,27.8,25.2,77800.0
point5,30.186882,-97.659569,2025-10-19T21:00,20,4.6,26.9,0,0.0,0.0,0.0,0.0,16.1,17.8,20.5,23.4,48,48,43,44,19.4,28.0,27.8,25.3,77800.0
point6,30.18063,-97.659409,2025-10-19T21:00,20,4.7,26.9,0,0.0,0.0,0.0,0.0,16.1,17.8,20.5,23.4,48,48,43,44,19.4,28.0,27.8,25.3,77800.0
point7,30.190941,-97.657578,2025-10-19T21:00,20,4.6,26.9,0,0.0,0.0,0.0,0.0,16.1,17.8,20.5,23.4,48,48,43,43,19.4,28.0,27.8,25.2,77800.0
point8,30.234879,-97.645409,2025-10-19T21:00,19,4.2,27.3,0,0.0,0.0,0.0,0.0,15.1,16.6,20.5,23.4,57,56,43,43,18.4,28.1,27.9,25.3,80100.0
point9,30.253275,-97.597374,2025-10-19T21:00,21,5.0,26.7,0,0.0,0.0,0.0,0.0,14.8,16.6,20.8,23.4,47,48,41,43,18.0,28.8,28.5,25.2,77900.0
point10,30.328033,-97.210152,2025-10-19T21:00,17,2.6,26.8,0,0.0,0.0,0.0,0.0,16.7,19.0,20.8,25.1,53,53,54,35,19.8,28.5,28.2,24.8,85500.0
point11,30.309906,-96.382683,2025-10-19T21:00,30,9.6,26.9,0,0.0,0.0,0.0,0.0,15.5,18.9,22.6,24.3,48,48,48,38,20.5,28.1,27.9,26.3,63600.0
point12,30.327209,-96.000366,2025-10-19T21:00,27,8.5,27.1,0,0.0,0.0,0.0,0.0,16.4,18.4,20.8,23.1,40,40,46,37,19.1,28.0,27.8,26.4,65400.0
point13,31.087418,-94.834358,2025-10-19T21:00,21,3.9,25.2,0,0.0,0.0,0.0,0.0,13.0,16.7,21.1,18.5,5,7,29,24,17.6,26.3,26.1,22.6,78500.0
point14,31.955154,-93.939865,2025-10-19T22:00,34,7.4,22.0,0,0.0,0.0,0.0,0.0,11.2,15.2,17.2,14.8,354,355,16,359,18.4,22.4,22.2,20.6,57700.0
point15,33.208145,-92.673248,2025-10-19T22:00,27,2.2,18.8,0,0.0,0.0,0.0,0.0,10.5,13.5,16.8,14.3,333,331,350,342,20.9,21.7,21.4,18.8,68200.0
point16,34.182724,-91.316681,2025-10-19T22:00,26,1.5,17.9,0,0.0,0.0,0.0,0.0,14.3,16.6,22.5,18.0,321,319,332,331,26.6,19.6,19.4,17.7,67900.0
point17,34.855774,-90.266869,2025-10-19T22:00,40,4.7,14.9,0,0.0,0.0,0.0,0.0,16.1,22.8,24.3,23.6,326,322,322,322,28.4,18.9,18.6,17.0,50600.0
