id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,32.890831,-97.035217,2025-10-14T00:00,34,11.4,27.8,0,0.0,0.0,0.0,0.0,9.2,17.3,19.3,21.5,121,121,129,125,18.7,29.3,29.1,27.4,56300.0
point2,32.894814,-97.03318,2025-10-14T01:00,41,13.5,27.6,0,0.0,0.0,0.0,0.0,10.0,19.9,20.8,28.1,128,132,138,121,19.8,28.7,28.6,27.0,47300.0
point3,32.904587,-97.033127,2025-10-14T01:00,41,13.5,27.6,0,0.0,0.0,0.0,0.0,10.0,19.9,20.8,28.1,128,132,138,121,19.8,28.7,28.6,27.0,47300.0
point4,32.912701,-97.032722,2025-10-14T01:00,42,13.4,27.1,0,0.0,0.0,0.0,0.0,10.0,20.3,20.8,28.1,128,127,138,121,20.5,28.7,28.5,27.0,46800.0
point5,32.896683,-97.030045,2025-10-14T01:00,41,13.5,27.6,0,0.0,0.0,0.0,0.0,10.0,19.9,20.8,28.1,128,132,138,121,19.8,28.7,28.6,27.1,47300.0
point6,32.843719,-97.022842,2025-10-14T01:00,40,13.4,27.9,0,0.0,0.0,0.0,0.0,10.5,22.8,20.4,28.1,131,129,141,121,23.0,28.5,28.3,27.1,47800.0
point7,32.780037,-96.982986,2025-10-14T01:00,36,12.2,27.8,0,0.0,0.0,0.0,0.0,11.2,23.1,20.4,28.1,130,127,141,121,23.4,28.7,28.5,27.4,53600.0
point8,32.76622,-96.923584,2025-10-14T01:00,38,12.5,27.2,0,0.0,0.0,0.0,0.0,12.2,24.2,20.4,27.2,135,134,141,119,24.5,28.7,28.5,27.2,51800.0
point9,32.794979,-96.874245,2025-10-14T01:00,47,13.2,24.9,0,0.0,0.0,0.0,0.0,9.9,22.5,21.4,27.2,136,140,141,119,23.0,28.0,27.9,27.3,42700.0
point10,32.934906,-96.861954,2025-10-14T01:00,40,13.1,27.4,0,0.0,0.0,0.0,0.0,10.2,22.0,21.6,26.6,129,130,134,120,24.1,28.2,28.1,26.8,48000.0
point11,33.475574,-96.806702,2025-10-14T02:00,47,13.2,25.0,1,0.0,0.0,0.0,0.0,9.7,22.7,26.5,28.5,132,137,138,136,17.6,25.9,26.1,26.6,40700.0
point12,34.168179,-96.343117,2025-10-14T02:00,53,13.6,24.3,1,0.0,0.0,0.0,0.0,4.3,14.5,30.8,28.8,132,132,119,122,11.5,25.2,25.4,26.5,35000.0
point13,35.307358,-95.247139,2025-10-14T02:00,68,17.6,25.5,1,0.0,0.0,0.0,0.0,7.4,19.9,12.4,26.5,39,58,78,69,15.5,24.8,24.8,24.1,24300.0
point14,36.332809,-94.007027,2025-10-14T02:00,91,18.0,22.1,2,0.0,0.0,0.0,0.0,2.3,14.1,21.3,17.8,72,50,80,72,9.7,20.5,20.7,21.0,13300.0
point15,37.363541,-92.616264,2025-10-14T02:00,93,19.2,23.7,2,0.0,0.0,0.0,0.0,1.0,10.6,12.7,9.5,315,24,44,37,6.1,19.6,19.7,20.2,13100.0
point16,38.379852,-91.183418,2025-10-14T02:00,79,17.1,23.0,1,0.0,0.0,0.0,0.0,2.9,4.8,3.0,12.2,330,347,194,14,4.0,21.5,21.7,21.8,18200.0
point17,38.865532,-90.437195,2025-10-14T02:00,72,15.4,22.0,1,0.0,0.0,0.0,0.0,3.0,7.2,4.1,5.9,166,90,207,47,6.5,23.7,23.8,23.2,21600.0
point18,39.028278,-89.419617,2025-10-14T03:00,72,12.1,17.6,1,0.0,0.0,0.0,0.0,2.1,13.2,20.6,13.2,121,101,94,112,11.2,20.9,21.2,22.2,21500.0
point19,39.259277,-87.916893,2025-10-14T03:00,65,8.5,13.8,1,0.0,0.0,0.0,0.0,6.2,11.4,19.1,15.2,36,62,65,59,9.4,19.3,19.6,20.3,25800.0
point20,39.762035,-86.604858,2025-10-14T03:00,53,5.3,13.0,0,0.0,0.0,0.0,0.0,4.7,7.1,12.4,17.8,337,336,23,8,6.1,18.4,18.6,19.0,34800.0
point21,40.421356,-84.793396,2025-10-14T03:00,47,2.3,11.0,0,0.0,0.0,0.0,0.0,4.7,20.3,15.1,22.4,4,6,61,60,15.8,16.9,17.1,17.7,38300.0
