id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,44.882702,-93.203835,2025-10-12T11:00,74,8.5,9.7,2,0.0,0.0,0.0,0.0,19.6,36.4,42.4,48.0,134,135,154,148,56.5,12.8,12.6,10.9,20800.0
point2,44.885342,-93.20636,2025-10-12T12:00,76,8.5,9.4,5,0.0,0.0,0.0,0.0,19.4,37.4,45.4,50.4,137,141,147,148,56.5,12.4,12.2,11.2,19700.0
point3,44.88905,-93.214943,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.4,12.2,11.2,19500.0
point4,44.887493,-93.219933,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.4,12.2,11.1,19500.0
point5,44.885708,-93.226318,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.4,12.2,11.1,19500.0
point6,44.884514,-93.229729,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.4,12.2,11.1,19500.0
point7,44.885811,-93.234001,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.3,12.2,11.1,19500.0
point8,44.887753,-93.239006,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.4,12.2,11.1,19500.0
point9,44.884876,-93.241516,2025-10-12T12:00,75,8.3,9.0,5,0.0,0.0,0.0,0.0,21.7,37.7,45.4,50.4,137,142,147,148,56.9,12.3,12.2,11.1,19500.0
point10,44.850861,-93.23214,2025-10-12T12:00,75,8.4,9.7,5,0.0,0.0,0.0,0.0,18.1,34.7,45.2,50.4,133,138,146,148,54.0,12.8,12.6,11.2,19700.0
point11,44.839554,-93.200424,2025-10-12T12:00,75,8.6,9.5,5,0.0,0.0,0.0,0.0,20.9,38.7,45.2,50.4,131,138,146,148,59.0,13.0,12.8,11.4,19600.0
point12,44.82019,-93.122795,2025-10-12T12:00,78,8.3,8.2,4,0.0,0.0,0.0,0.0,23.7,39.8,47.5,51.3,134,139,143,146,60.8,11.7,11.5,10.4,18500.0
point13,44.718018,-92.769341,2025-10-12T12:00,77,8.4,9.1,2,0.0,0.0,0.0,0.0,18.9,36.6,48.1,49.5,140,141,143,144,54.4,11.4,11.3,10.5,19200.0
