id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,39.182491,-76.662491,2025-10-12T16:00,73,11.6,14.8,1,0.0,0.0,0.0,0.0,14.7,29.5,42.1,46.2,28,28,44,40,42.8,15.3,15.1,14.0,21300.0
point2,39.178246,-76.663086,2025-10-12T16:00,73,11.6,14.8,1,0.0,0.0,0.0,0.0,14.7,29.5,42.1,46.2,28,28,44,40,42.8,15.3,15.1,14.0,21300.0
point3,39.17522,-76.666626,2025-10-12T16:00,73,11.6,14.8,1,0.0,0.0,0.0,0.0,14.7,29.5,42.1,46.2,28,28,44,40,42.8,15.3,15.1,14.0,21300.0
point4,39.175198,-76.670746,2025-10-12T16:00,73,11.6,14.8,1,0.0,0.0,0.0,0.0,14.7,29.5,42.1,46.2,28,28,44,40,42.8,15.3,15.1,14.0,21300.0
point5,39.178761,-76.674156,2025-10-12T16:00,73,11.6,14.8,1,0.0,0.0,0.0,0.0,14.7,29.5,42.1,46.2,28,28,44,40,42.8,15.3,15.1,14.0,21300.0
point6,39.182652,-76.677727,2025-10-12T16:00,72,11.6,14.8,1,0.0,0.0,0.0,0.0,16.0,30.2,42.1,46.2,31,31,44,40,43.2,15.3,15.1,14.0,21900.0
point7,39.185741,-76.68074,2025-10-12T16:00,72,11.6,14.8,1,0.0,0.0,0.0,0.0,16.0,30.2,42.1,46.2,31,31,44,40,43.2,15.3,15.1,14.0,21900.0
point8,39.182072,-76.67894,2025-10-12T16:00,72,11.6,14.8,1,0.0,0.0,0.0,0.0,16.0,30.2,42.1,46.2,31,31,44,40,43.2,15.3,15.1,14.0,21900.0
point9,39.162628,-76.661804,2025-10-12T16:00,77,12.4,15.0,1,0.0,0.0,0.0,0.0,15.1,29.1,42.1,46.2,25,27,44,40,42.5,15.3,15.1,14.0,20100.0
point10,39.141262,-76.64679,2025-10-12T16:00,73,11.9,14.5,2,0.0,0.0,0.0,0.0,19.8,34.3,42.1,46.2,29,30,44,40,44.3,15.3,15.1,14.0,21600.0
