id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,44.884048,-93.215111,2025-10-12T18:00,68,12.9,16.2,21,0.0,0.0,0.0,0.0,24.7,36.6,45.4,46.4,137,140,155,151,52.6,17.2,17.0,15.5,23300.0
point2,44.885456,-93.217506,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.9,19.7,18.6,30300.0
point3,44.882412,-93.221497,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.9,19.7,18.6,30300.0
point4,44.882652,-93.225258,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.9,19.7,18.5,30300.0
point5,44.884838,-93.231728,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.8,19.6,18.5,30300.0
point6,44.886391,-93.235809,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.8,19.6,18.5,30300.0
point7,44.887741,-93.238976,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.9,19.7,18.5,30300.0
point8,44.887402,-93.24218,2025-10-12T21:00,58,12.3,18.2,17,0.0,0.0,0.0,0.0,22.9,36.4,44.4,50.4,136,138,158,152,50.4,19.8,19.6,18.5,30300.0
point9,44.858669,-93.235275,2025-10-12T21:00,59,12.4,18.3,17,0.0,0.0,0.0,0.0,21.4,35.9,49.3,50.4,136,138,163,152,49.3,20.7,20.5,18.6,30200.0
point10,44.841522,-93.237045,2025-10-12T21:00,59,12.5,18.5,17,0.0,0.0,0.0,0.0,20.4,36.4,49.3,50.4,135,138,163,152,49.7,20.8,20.6,18.7,30100.0
