id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,44.884319,-93.21608,2025-10-11T14:00,66,3.1,6.0,0,0.0,0.0,0.0,0.0,10.5,16.8,22.7,36.2,128,125,140,143,23.8,9.5,9.4,9.5,25200.0
point2,44.885136,-93.218048,2025-10-11T15:00,56,3.6,8.2,0,0.0,0.0,0.0,0.0,16.6,23.9,21.4,33.0,138,136,153,144,31.0,10.8,10.6,8.9,30800.0
point3,44.881943,-93.222153,2025-10-11T15:00,56,3.6,8.2,0,0.0,0.0,0.0,0.0,16.6,23.9,21.4,33.0,138,136,153,144,31.0,10.8,10.6,8.9,30800.0
point4,44.883385,-93.226921,2025-10-11T15:00,56,3.6,8.2,0,0.0,0.0,0.0,0.0,16.6,23.9,21.4,33.0,138,136,153,144,31.0,10.8,10.6,8.8,30800.0
point5,44.885006,-93.232155,2025-10-11T15:00,56,3.6,8.2,0,0.0,0.0,0.0,0.0,16.6,23.9,21.4,33.0,138,136,153,144,31.0,10.7,10.5,8.8,30800.0
point6,44.886784,-93.236732,2025-10-11T15:00,56,3.6,8.2,0,0.0,0.0,0.0,0.0,16.6,23.9,21.4,33.0,138,136,153,144,31.0,10.7,10.5,8.8,30800.0
point7,44.887741,-93.241386,2025-10-11T15:00,56,3.6,8.2,0,0.0,0.0,0.0,0.0,16.6,23.9,21.4,33.0,138,136,153,144,31.0,10.7,10.5,8.8,30800.0
point8,44.862442,-93.235931,2025-10-11T15:00,58,4.0,8.3,0,0.0,0.0,0.0,0.0,15.8,23.7,21.8,33.0,135,134,147,144,31.0,10.6,10.4,8.9,29600.0
point9,44.829433,-93.23494,2025-10-11T15:00,60,4.6,8.6,0,0.0,0.0,0.0,0.0,15.3,23.7,21.8,33.0,133,133,147,144,32.0,10.8,10.6,9.1,29100.0
point10,44.808159,-93.25631,2025-10-11T15:00,67,5.9,8.9,0,0.0,0.0,0.0,0.0,13.0,20.9,21.8,34.5,134,134,147,143,32.0,10.8,10.6,9.4,26900.0
point11,44.724968,-93.342522,2025-10-11T15:00,59,4.3,8.4,0,0.0,0.0,0.0,0.0,15.3,22.7,21.8,33.9,141,138,147,146,32.0,10.5,10.3,9.4,29000.0
point12,44.518509,-93.535591,2025-10-11T15:00,55,3.6,8.6,0,0.0,0.0,0.0,0.0,15.9,19.9,23.2,38.0,152,148,153,151,29.9,11.1,10.9,9.7,33000.0
point13,43.953644,-93.998955,2025-10-11T15:00,52,3.0,8.4,0,0.0,0.0,0.0,0.0,18.4,22.4,24.5,37.6,138,138,156,158,32.4,11.6,11.4,9.7,35500.0
