id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,43.13269,-89.344063,2025-10-11T11:00,86,1.3,0.9,0,0.0,0.0,0.0,0.0,3.7,14.5,19.1,24.0,29,44,30,50,9.7,7.2,7.5,9.2,15500.0
point2,43.129242,-89.344528,2025-10-11T11:00,86,1.3,0.9,0,0.0,0.0,0.0,0.0,3.7,14.5,19.1,24.0,29,44,30,50,9.7,7.2,7.6,9.2,15500.0
point3,43.126923,-89.34462,2025-10-11T11:00,86,1.3,0.9,0,0.0,0.0,0.0,0.0,3.7,14.5,19.1,24.0,29,44,30,50,9.7,7.2,7.6,9.2,15500.0
point4,43.12463,-89.343781,2025-10-11T11:00,86,1.3,0.9,0,0.0,0.0,0.0,0.0,3.7,14.5,19.7,24.0,29,44,37,50,9.7,7.2,7.5,9.2,15500.0
point5,43.125378,-89.342148,2025-10-11T11:00,86,1.3,0.9,0,0.0,0.0,0.0,0.0,3.7,14.5,19.1,24.0,29,44,30,50,9.7,7.2,7.5,9.2,15500.0
point6,43.12944,-89.341942,2025-10-11T11:00,86,1.3,0.9,0,0.0,0.0,0.0,0.0,3.7,14.5,19.1,24.0,29,44,30,50,9.7,7.2,7.5,9.2,15500.0
point7,43.155487,-89.341843,2025-10-11T11:00,86,1.1,0.6,0,0.0,0.0,0.0,0.0,4.2,14.3,19.1,24.0,31,47,30,50,9.7,7.2,7.5,9.2,15400.0
point8,43.165466,-89.343185,2025-10-11T11:00,86,1.1,0.6,0,0.0,0.0,0.0,0.0,4.2,14.3,19.1,24.0,31,47,30,50,9.7,7.2,7.6,9.2,15400.0
point9,43.193207,-89.345673,2025-10-11T11:00,86,1.0,0.4,0,0.0,0.0,0.0,0.0,5.0,13.8,19.1,22.9,21,49,30,46,9.7,7.2,7.5,8.8,15500.0
point10,43.261925,-89.353897,2025-10-11T11:00,79,-0.5,-0.4,0,0.0,0.0,0.0,0.0,6.9,14.4,19.1,22.9,28,58,30,46,10.4,6.9,7.2,8.6,18300.0
