id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,29.989269,-95.34874,2025-10-13T15:00,70,18.9,27.1,0,0.0,0.0,0.0,0.0,6.7,8.3,9.3,13.7,54,56,97,120,10.8,24.6,24.4,21.8,22400.0
point2,29.98908,-95.352051,2025-10-13T15:00,70,18.9,27.1,0,0.0,0.0,0.0,0.0,6.7,8.3,9.3,13.7,54,56,97,120,10.8,24.6,24.4,21.8,22400.0
point3,29.98945,-95.350769,2025-10-13T16:00,61,19.0,29.6,0,0.0,0.0,0.0,0.0,7.2,8.0,11.9,12.9,96,100,112,126,16.2,25.9,25.7,23.1,28000.0
point4,29.98995,-95.350197,2025-10-13T16:00,61,19.0,29.6,0,0.0,0.0,0.0,0.0,7.2,8.0,11.9,12.9,96,100,112,126,16.2,25.9,25.7,23.1,28000.0
point5,29.989571,-95.355301,2025-10-13T16:00,61,19.0,29.6,0,0.0,0.0,0.0,0.0,7.2,8.0,11.9,12.9,96,100,112,126,16.2,25.9,25.7,23.1,28000.0
point6,29.989918,-95.360336,2025-10-13T16:00,61,19.0,29.5,0,0.0,0.0,0.0,0.0,7.2,8.0,11.9,12.9,96,100,112,126,16.2,25.9,25.7,23.1,28000.0
point7,29.980133,-95.356697,2025-10-13T16:00,61,19.0,29.6,0,0.0,0.0,0.0,0.0,7.2,8.0,11.9,12.9,96,100,112,126,16.2,25.9,25.7,23.1,28000.0
point8,29.947632,-95.346947,2025-10-13T16:00,61,19.1,29.7,0,0.0,0.0,0.0,0.0,6.8,7.7,11.9,12.9,93,101,112,126,16.2,25.9,25.7,23.1,28000.0
point9,29.954037,-95.387802,2025-10-13T16:00,61,19.0,29.4,0,0.0,0.0,0.0,0.0,7.6,8.7,12.5,12.9,93,97,118,126,16.6,25.9,25.6,23.1,28000.0
point10,30.004641,-95.372971,2025-10-13T16:00,60,18.8,29.3,0,0.0,0.0,0.0,0.0,8.8,10.0,11.9,12.9,99,103,112,126,16.2,25.9,25.6,23.1,28700.0
point11,30.137547,-95.25943,2025-10-13T16:00,57,18.4,29.5,0,0.0,0.0,0.0,0.0,9.7,11.7,11.7,11.1,94,99,118,126,17.6,25.7,25.5,23.0,30800.0
point12,30.794724,-94.706543,2025-10-13T17:00,55,17.6,30.9,0,0.0,0.0,0.0,0.0,2.5,3.3,10.0,10.2,98,103,118,135,10.4,26.8,26.6,23.8,34400.0
point13,31.874411,-93.709846,2025-10-13T17:00,49,16.9,31.6,0,0.0,0.0,0.0,0.0,2.6,2.4,6.2,1.0,326,333,73,45,3.2,26.7,26.5,23.6,37000.0
point14,32.869354,-92.571404,2025-10-13T17:00,41,14.2,31.0,0,0.0,0.0,0.0,0.0,1.5,1.6,4.1,3.2,225,243,100,153,6.1,26.0,25.9,23.2,46000.0
point15,33.83725,-91.428337,2025-10-13T17:00,42,14.0,29.4,0,0.0,0.0,0.0,0.0,5.9,6.3,4.7,2.6,256,257,51,326,13.7,25.6,25.4,23.5,46800.0
point16,34.849888,-90.189911,2025-10-13T17:00,47,14.4,28.0,0,0.0,0.0,0.0,0.0,5.5,5.8,7.9,5.6,67,60,28,15,9.4,24.1,23.9,22.1,39800.0
point17,35.93642,-89.148621,2025-10-13T17:00,56,15.2,26.4,0,0.0,0.0,0.0,0.0,5.2,5.8,10.9,5.0,34,30,42,30,12.6,22.5,22.3,20.2,34900.0
point18,37.035099,-88.119606,2025-10-13T18:00,48,12.6,24.9,0,0.0,0.0,0.0,0.0,8.0,9.0,13.0,7.2,36,37,32,27,13.0,22.5,22.3,21.3,40300.0
point19,37.790455,-87.416122,2025-10-13T18:00,44,10.6,23.7,0,0.0,0.0,0.0,0.0,6.9,7.0,8.9,7.0,9,12,38,21,13.3,21.5,21.3,19.7,45900.0
point20,38.715542,-86.104675,2025-10-13T18:00,49,11.1,22.2,0,0.0,0.0,0.0,0.0,9.7,11.2,8.7,7.9,45,45,36,60,11.5,20.7,20.5,18.3,36800.0
point21,39.625126,-84.759338,2025-10-13T18:00,64,13.4,21.4,0,0.0,0.0,0.0,0.0,6.6,7.8,13.1,10.6,49,56,72,62,12.2,20.1,19.8,18.1,27600.0
point22,40.610321,-83.427368,2025-10-13T18:00,45,10.0,21.1,0,0.0,0.0,0.0,0.0,13.9,14.7,16.5,13.9,21,22,32,25,16.6,20.5,20.2,18.2,42100.0
point23,40.749268,-83.310448,2025-10-13T18:00,42,9.2,21.4,0,0.0,0.0,0.0,0.0,12.6,13.2,16.3,15.4,37,35,25,21,15.1,20.5,20.3,18.1,44000.0
point24,41.55909,-83.016464,2025-10-13T19:00,76,15.9,20.4,0,0.0,0.0,0.0,0.0,14.9,17.0,16.7,17.4,7,6,33,24,18.0,20.2,20.0,16.9,18500.0
point25,41.618637,-82.919998,2025-10-13T19:00,88,14.9,16.7,0,0.0,0.0,0.0,0.0,13.8,14.2,16.7,17.4,7,9,33,24,15.8,20.2,20.0,16.9,14900.0
point26,41.635113,-82.789772,2025-10-13T19:00,83,14.2,16.5,0,0.0,0.0,0.0,0.0,14.6,15.3,19.1,17.3,33,34,87,21,18.0,17.5,17.3,16.1,17100.0
point27,41.601688,-82.654167,2025-10-13T19:00,72,12.3,16.0,0,0.0,0.0,0.0,0.0,16.2,16.7,20.4,15.2,37,37,28,31,17.6,20.5,20.2,14.4,23300.0
point28,41.162651,-81.795334,2025-10-13T19:00,49,9.7,18.3,0,0.0,0.0,0.0,0.0,18.9,22.5,26.9,21.7,347,348,357,7,23.4,18.1,17.9,16.3,38700.0
point29,41.144623,-81.667542,2025-10-13T19:00,46,9.1,18.7,0,0.0,0.0,0.0,0.0,17.0,21.3,26.9,21.7,354,355,357,7,22.3,18.3,18.0,16.3,42400.0
point30,41.266388,-80.981934,2025-10-13T19:00,53,10.7,18.7,0,0.0,0.0,0.0,0.0,16.6,22.4,25.3,19.9,5,6,13,22,23.4,19.6,19.3,16.4,35200.0
point31,41.289276,-79.759804,2025-10-13T19:00,72,12.5,16.9,1,0.0,0.0,0.0,0.0,10.9,15.6,19.7,21.2,27,26,29,32,20.9,17.3,17.1,15.0,23400.0
point32,41.176208,-77.832092,2025-10-13T19:00,91,10.2,9.1,6,0.0,0.0,0.0,0.0,17.0,25.6,26.9,31.1,354,358,32,37,26.6,8.1,8.0,9.8,13700.0
point33,40.872028,-76.040001,2025-10-13T19:00,92,10.3,8.7,61,0.1,0.0,0.0,0.0,20.2,35.1,35.5,36.8,360,6,34,34,47.9,9.6,9.5,9.3,300.0
point34,40.656967,-75.138184,2025-10-13T19:00,88,10.6,10.0,30,0.2,0.0,0.0,0.0,19.0,32.8,41.6,51.7,10,15,38,39,49.3,10.6,10.4,10.2,15000.0
point35,40.566238,-74.998657,2025-10-13T19:00,84,11.3,9.9,29,0.5,0.0,0.0,0.0,30.4,44.6,44.5,48.9,31,31,38,42,59.4,11.3,11.1,10.3,16100.0
point36,40.488556,-74.742981,2025-10-13T19:00,90,11.9,10.6,25,0.2,0.0,0.0,0.0,23.9,40.1,45.0,53.8,31,33,41,47,56.2,12.1,11.9,10.6,10700.0
point37,40.420944,-74.681152,2025-10-13T19:00,92,12.5,10.4,30,0.0,0.0,0.0,0.0,28.3,45.8,45.0,57.0,26,29,41,50,63.0,12.2,12.0,11.7,6000.0
point38,40.279129,-74.556091,2025-10-13T19:00,94,13.6,11.2,53,0.1,0.0,0.0,0.0,31.3,49.9,53.3,61.7,30,31,47,51,65.9,14.2,14.0,12.9,9000.0
point39,40.267593,-74.478004,2025-10-13T20:00,95,13.5,11.6,50,0.2,0.0,0.0,0.0,26.1,46.4,53.5,59.4,28,29,47,51,60.8,13.9,13.8,12.6,12400.0
point40,40.357113,-74.307838,2025-10-13T20:00,95,13.5,11.6,58,0.3,0.0,0.0,0.0,25.8,46.1,57.4,59.8,27,28,51,52,59.4,14.3,14.1,12.6,12300.0
point41,40.511536,-74.109741,2025-10-13T20:00,92,14.8,10.7,37,0.0,0.0,0.0,0.0,48.0,53.8,54.4,60.6,30,28,48,50,67.7,13.5,13.3,12.3,14200.0
point42,40.566879,-74.051086,2025-10-13T20:00,93,14.7,11.1,32,0.0,0.0,0.0,0.0,43.5,49.3,54.4,60.6,29,28,48,50,67.7,13.5,13.3,12.3,14100.0
point43,40.635452,-73.994568,2025-10-13T20:00,91,12.4,10.8,30,0.0,0.0,0.0,0.0,26.4,50.1,54.4,60.6,28,28,48,50,64.8,13.3,13.1,12.2,13400.0
point44,40.700157,-73.941734,2025-10-13T20:00,92,12.8,11.1,31,0.0,0.0,0.0,0.0,26.1,48.6,54.4,59.7,28,28,48,51,63.7,13.4,13.2,11.9,13500.0
point45,40.719452,-73.924988,2025-10-13T20:00,92,12.9,11.1,31,0.0,0.0,0.0,0.0,26.9,49.4,54.4,63.2,28,28,48,53,63.4,13.4,13.3,12.3,13300.0
point46,40.752686,-73.897949,2025-10-13T20:00,92,12.7,10.9,32,0.0,0.0,0.0,0.0,27.0,49.4,54.4,63.2,27,28,48,53,61.9,13.4,13.2,12.2,13400.0
point47,40.778339,-73.874023,2025-10-13T20:00,92,12.8,11.0,31,0.0,0.0,0.0,0.0,27.6,49.7,60.1,63.2,29,30,53,53,60.8,13.9,13.7,12.3,12400.0
point48,40.776089,-73.867882,2025-10-13T20:00,92,12.8,11.0,31,0.0,0.0,0.0,0.0,27.6,49.7,60.1,63.2,29,30,53,53,60.8,13.9,13.7,12.3,12400.0
point49,40.773392,-73.862198,2025-10-13T20:00,92,12.8,11.0,32,0.0,0.0,0.0,0.0,27.6,49.7,60.1,63.2,29,30,53,53,60.8,13.9,13.7,12.3,12400.0
point50,40.769032,-73.85862,2025-10-13T20:00,92,12.8,11.0,32,0.0,0.0,0.0,0.0,27.6,49.7,60.1,63.2,29,30,53,53,60.8,13.9,13.7,12.3,12400.0
