id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,40.768948,-73.858505,2025-10-13T20:00,92,12.8,11.0,32,0.0,0.0,0.0,0.0,27.6,49.7,60.1,63.2,29,30,53,53,60.8,13.9,13.7,12.3,12400.0
point2,40.772129,-73.861183,2025-10-13T21:00,92,12.7,10.6,38,0.1,0.0,0.0,0.0,29.4,52.7,59.6,60.6,31,31,51,50,60.8,13.7,13.5,12.2,13400.0
point3,40.7743,-73.86573,2025-10-13T21:00,92,12.7,10.6,38,0.1,0.0,0.0,0.0,29.4,52.7,59.6,60.6,31,31,51,50,60.8,13.7,13.5,12.2,13400.0
point4,40.776619,-73.870377,2025-10-13T21:00,92,12.7,10.6,36,0.1,0.0,0.0,0.0,29.4,52.7,59.6,60.6,31,31,51,50,60.8,13.7,13.5,12.2,13400.0
point5,40.777328,-73.874947,2025-10-13T21:00,92,12.7,10.6,36,0.1,0.0,0.0,0.0,29.4,52.7,59.6,60.6,31,31,51,50,60.8,13.7,13.5,12.2,13400.0
point6,40.774052,-73.878609,2025-10-13T21:00,92,12.7,10.6,39,0.1,0.0,0.0,0.0,29.4,52.7,53.3,60.6,31,31,46,50,60.8,13.3,13.1,12.2,13400.0
point7,40.770039,-73.882057,2025-10-13T21:00,92,12.6,10.6,39,0.1,0.0,0.0,0.0,28.2,50.9,53.3,60.6,28,30,46,50,59.4,13.3,13.1,12.2,13200.0
point8,40.774021,-73.880142,2025-10-13T21:00,92,12.6,10.6,39,0.1,0.0,0.0,0.0,28.2,50.9,53.3,60.6,28,30,46,50,59.4,13.3,13.1,12.2,13200.0
point9,40.799423,-73.871643,2025-10-13T21:00,92,12.5,10.3,33,0.1,0.0,0.0,0.0,29.1,50.3,59.6,60.6,26,28,51,50,60.8,13.7,13.5,12.2,11900.0
point10,40.850986,-73.900909,2025-10-13T21:00,91,11.8,10.3,27,0.0,0.0,0.0,0.0,24.6,42.1,53.3,57.2,21,24,46,49,59.4,13.1,12.9,11.0,5900.0
