id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,33.941597,-118.407997,2025-08-09T18:00,70,15.3,22.4,0,0.0,0.0,0.0,0.0,11.7,7.1,7.0,,252,221,223,,4.3,19.7,19.5,,280.0
point2,33.938839,-118.408058,2025-08-09T19:00,66,15.2,23.2,0,0.0,0.0,0.0,0.0,14.8,11.2,11.2,,247,222,224,,7.9,20.4,20.2,,300.0
point3,33.93885,-118.399742,2025-08-09T19:00,66,15.2,23.3,0,0.0,0.0,0.0,0.0,14.8,11.2,11.2,,247,222,224,,7.9,20.4,20.2,,300.0
point4,33.940498,-118.391655,2025-08-09T19:00,66,15.2,23.3,0,0.0,0.0,0.0,0.0,14.8,11.2,11.2,,247,222,224,,7.9,20.4,20.2,,300.0
point5,33.939789,-118.398453,2025-08-09T19:00,66,15.2,23.3,0,0.0,0.0,0.0,0.0,14.8,11.2,11.2,,247,222,224,,7.9,20.4,20.2,,300.0
point6,33.938896,-118.407166,2025-08-09T19:00,66,15.2,23.2,0,0.0,0.0,0.0,0.0,14.8,11.2,11.2,,247,222,224,,7.9,20.4,20.2,,300.0
point7,33.941296,-118.408371,2025-08-09T21:00,66,14.8,22.3,1,0.0,0.0,0.0,0.0,19.2,16.4,16.5,,253,230,231,,13.7,20.6,20.3,,620.0
point8,33.938782,-118.407814,2025-08-09T21:00,66,14.8,22.3,1,0.0,0.0,0.0,0.0,19.2,16.4,16.5,,253,230,231,,13.7,20.6,20.3,,620.0
point9,33.938976,-118.3983,2025-08-09T21:00,66,14.8,22.3,1,0.0,0.0,0.0,0.0,19.2,16.4,16.5,,253,230,231,,13.7,20.6,20.4,,620.0
point10,33.940338,-118.380013,2025-08-09T21:00,66,14.9,22.3,1,0.0,0.0,0.0,0.0,19.2,16.4,16.5,,253,230,231,,13.7,20.6,20.4,,620.0
point11,33.934719,-118.425179,2025-08-09T21:00,66,14.8,22.3,1,0.0,0.0,0.0,0.0,19.2,16.4,16.5,,253,230,231,,13.7,20.6,20.4,,620.0
point12,33.914284,-118.485603,2025-08-09T21:00,66,15.0,22.6,1,0.0,0.0,0.0,0.0,19.2,15.1,15.4,,253,258,258,,13.7,20.9,20.7,,24140.0
point13,33.857025,-118.556046,2025-08-09T21:00,54,14.6,25.6,0,0.0,0.0,0.0,0.0,15.9,15.1,15.4,,213,258,258,,13.7,20.9,20.7,,24140.0
point14,33.805069,-118.55162,2025-08-09T21:00,87,16.0,19.4,0,0.0,0.0,0.0,,19.5,15.1,15.4,,258,258,258,,13.7,20.9,20.7,,24140.0
point15,33.689388,-118.497559,2025-08-09T21:00,69,15.5,22.5,0,0.0,0.0,0.0,0.0,16.7,15.1,15.4,,263,258,258,,13.7,20.9,20.7,,24140.0
point16,33.648701,-118.35463,2025-08-09T21:00,49,14.8,28.2,0,0.0,0.0,0.0,0.0,13.8,15.1,15.4,,250,258,258,,13.7,20.9,20.7,,24140.0
point17,33.644466,-118.001923,2025-08-09T21:00,77,16.4,21.1,0,0.0,0.0,0.0,0.0,18.5,17.8,17.9,,241,234,235,,11.9,20.7,20.5,,1780.0
point18,33.505737,-117.204842,2025-08-09T21:00,27,13.1,34.5,0,0.0,0.0,0.0,0.0,22.2,16.5,16.5,,193,212,212,,14.0,29.6,29.4,,24140.0
point19,33.379303,-115.74646,2025-08-09T21:00,35,19.0,41.0,0,0.0,0.0,0.0,0.0,11.4,8.5,8.5,,24,54,56,,7.9,37.5,37.4,,24140.0
point20,33.191883,-114.149689,2025-08-09T21:00,23,14.7,40.7,0,0.0,0.0,0.0,0.0,17.3,18.1,18.5,,203,197,197,,13.3,37.1,36.8,,24140.0
point21,32.984039,-112.560928,2025-08-09T21:00,20,13.7,41.9,0,0.0,0.0,0.0,0.0,16.7,17.3,17.6,,264,271,270,,11.9,38.5,38.2,,24140.0
point22,32.753185,-110.957031,2025-08-09T22:00,22,10.0,33.4,1,0.0,0.0,0.0,0.0,20.9,21.5,21.9,,297,305,305,,16.2,31.7,31.5,,24140.0
point23,32.448669,-109.415085,2025-08-09T22:00,15,7.7,38.6,0,0.0,0.0,0.0,0.0,10.1,10.8,11.0,,333,334,334,,10.8,37.0,36.8,,24140.0
point24,32.050018,-107.922142,2025-08-09T22:00,10,1.7,35.9,0,0.0,0.0,0.0,0.0,17.1,15.8,16.1,,105,102,102,,9.0,36.4,36.1,,24140.0
point25,31.753105,-106.42485,2025-08-09T22:00,15,6.6,37.8,0,0.0,0.0,0.0,0.0,4.7,2.0,2.1,,180,225,225,,7.6,36.5,36.3,,24140.0
point26,31.583847,-104.814857,2025-08-09T22:00,11,2.4,36.0,1,0.0,0.0,0.0,0.0,11.8,6.6,6.7,,121,119,119,,9.4,36.0,35.7,,24140.0
point27,31.845367,-103.324127,2025-08-09T22:00,12,5.0,35.8,0,0.0,0.0,0.0,0.0,24.6,29.9,31.0,,145,139,139,,21.2,37.2,37.0,,24140.0
point28,32.049118,-101.807144,2025-08-09T23:00,18,9.4,33.8,0,0.0,0.0,0.0,0.0,26.7,30.0,31.0,,170,170,170,,23.0,35.9,35.6,,24140.0
point29,32.23201,-100.303886,2025-08-09T23:00,20,10.5,34.0,0,0.0,0.0,0.0,0.0,22.7,26.6,27.5,,165,167,167,,19.8,35.3,35.1,,24140.0
point30,32.33289,-98.824921,2025-08-09T23:00,28,15.1,34.6,0,0.0,0.0,0.0,0.0,25.0,28.6,29.5,,157,161,161,,22.0,34.4,34.2,,24140.0
point31,32.385021,-97.645287,2025-08-09T23:00,31,17.7,36.6,0,0.0,0.0,0.0,0.0,26.6,30.1,31.1,,152,165,166,,22.7,36.3,36.1,,24140.0
point32,32.419533,-97.582443,2025-08-09T23:00,31,17.1,35.7,0,0.0,0.0,0.0,0.0,26.6,30.1,31.1,,152,155,156,,22.0,34.5,34.3,,24140.0
point33,32.776371,-97.176071,2025-08-09T23:00,30,17.5,38.2,0,0.0,0.0,0.0,0.0,18.0,25.2,26.1,,182,180,179,,19.1,35.7,35.4,,24140.0
point34,32.819439,-97.166901,2025-08-09T23:00,30,17.6,38.2,0,0.0,0.0,0.0,0.0,18.0,25.2,26.1,,182,180,179,,19.1,35.6,35.3,,24140.0
point35,33.057529,-97.164238,2025-08-09T23:00,31,17.6,37.3,0,0.0,0.0,0.0,0.0,20.2,25.9,26.8,,184,181,181,,20.5,35.7,35.5,,24140.0
point36,33.118481,-97.136139,2025-08-09T23:00,31,17.6,37.3,0,0.0,0.0,0.0,0.0,20.2,25.9,26.8,,184,181,181,,20.5,35.7,35.5,,24140.0
point37,33.118103,-97.093422,2025-08-09T23:00,31,17.7,37.6,0,0.0,0.0,0.0,0.0,20.2,25.0,25.9,,184,173,173,,19.8,36.3,36.1,,24140.0
point38,33.092369,-97.0644,2025-08-09T23:00,31,17.9,37.8,0,0.0,0.0,0.0,0.0,19.8,25.0,25.9,,177,173,173,,19.8,36.2,36.0,,24140.0
point39,33.06345,-97.05365,2025-08-09T23:00,31,17.8,37.7,0,0.0,0.0,0.0,0.0,19.8,25.0,25.9,,177,173,173,,19.8,36.2,36.0,,24140.0
