id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,25.798086,-80.284637,2025-10-14T12:00,81,19.9,25.9,0,0.0,0.0,0.0,0.0,8.8,21.3,27.4,28.4,348,356,32,36,24.8,25.8,25.6,23.1,18900.0
point2,25.799351,-80.288269,2025-10-14T13:00,81,21.4,28.1,0,0.0,0.0,0.0,0.0,9.6,14.8,28.5,28.4,347,356,38,36,23.0,26.1,25.9,23.0,19000.0
point3,25.799088,-80.294136,2025-10-14T14:00,75,22.4,30.7,0,0.0,0.0,0.0,0.0,11.1,13.5,29.1,25.2,25,25,43,34,24.8,26.4,26.2,22.9,21900.0
point4,25.800396,-80.301262,2025-10-14T14:00,74,22.2,30.6,0,0.0,0.0,0.0,0.0,11.1,14.2,29.1,25.2,25,24,43,34,24.5,26.4,26.2,22.9,22100.0
point5,25.800739,-80.248856,2025-10-14T14:00,75,22.2,30.5,0,0.0,0.0,0.0,0.0,10.1,12.6,29.1,25.2,27,27,43,34,24.1,26.4,26.2,22.9,22100.0
point6,25.779099,-80.20182,2025-10-14T14:00,74,22.3,31.0,0,0.0,0.0,0.0,0.0,10.5,13.8,29.1,25.2,22,28,43,34,23.4,26.4,26.2,22.9,22700.0
point7,25.750555,-80.088699,2025-10-14T14:00,65,21.2,28.9,1,0.0,0.0,0.0,0.0,27.6,28.8,30.2,25.2,36,34,48,34,29.2,26.2,26.0,22.9,27600.0
point8,25.848661,-79.96611,2025-10-14T14:00,68,21.5,28.5,0,0.0,0.0,0.0,0.0,27.8,28.3,30.2,23.3,41,40,48,39,28.4,26.2,26.0,24.5,26200.0
point9,26.375259,-79.430244,2025-10-14T14:00,66,20.7,27.9,0,0.0,0.0,0.0,0.0,27.5,27.4,24.8,21.2,26,25,35,32,27.7,25.5,25.3,24.1,27100.0
point10,26.779642,-79.115829,2025-10-14T14:00,64,20.0,27.0,0,0.0,0.0,0.0,0.0,29.6,30.0,22.1,19.2,5,5,30,17,30.2,25.1,25.0,23.8,28500.0
point11,27.913465,-78.939987,2025-10-14T14:00,62,19.2,27.0,0,0.0,0.0,0.0,0.0,24.3,24.8,23.0,20.5,333,332,353,358,24.8,25.1,25.0,23.0,29700.0
point12,29.358194,-78.706512,2025-10-14T14:00,73,19.7,25.2,0,0.0,0.0,0.0,0.0,23.4,24.2,28.0,25.3,346,345,10,11,24.5,23.9,23.6,20.8,22800.0
point13,30.776941,-78.470123,2025-10-14T15:00,71,18.8,23.8,0,0.0,0.0,0.0,0.0,27.4,28.5,27.3,24.3,358,358,5,12,29.2,23.0,22.8,20.8,24300.0
point14,32.137756,-78.232407,2025-10-14T15:00,77,18.4,21.7,0,0.0,0.0,0.0,0.0,27.8,28.6,29.1,24.3,339,339,351,352,29.9,21.0,20.8,19.1,21100.0
