id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,33.941597,-118.407997,2025-08-09T18:00,81,17.4,22.2,0,0.0,0.0,0.0,0.0,8.4,9.3,7.0,8.7,250,242,223,222,9.0,19.7,19.5,18.6,300.0
point2,33.938839,-118.408058,2025-08-09T18:00,81,17.4,22.2,0,0.0,0.0,0.0,0.0,8.4,9.3,7.0,8.7,250,242,223,222,9.0,19.7,19.5,18.6,300.0
point3,33.93885,-118.399742,2025-08-09T18:00,81,17.4,22.2,0,0.0,0.0,0.0,0.0,8.4,9.3,7.0,8.7,250,242,223,222,9.0,19.7,19.5,18.6,300.0
point4,33.940498,-118.391655,2025-08-09T18:00,81,17.4,22.2,0,0.0,0.0,0.0,0.0,8.4,9.3,7.0,8.7,250,242,223,222,9.0,19.8,19.6,18.6,300.0
point5,33.939789,-118.398453,2025-08-09T19:00,76,18.4,24.7,0,0.0,0.0,0.0,0.0,9.7,11.5,11.2,11.2,255,250,224,230,11.5,20.4,20.2,19.1,18100.0
point6,33.938896,-118.407166,2025-08-09T19:00,76,18.4,24.6,0,0.0,0.0,0.0,0.0,9.7,11.5,11.2,11.2,255,250,224,230,11.5,20.4,20.2,19.1,18100.0
point7,33.941296,-118.408371,2025-08-09T20:00,77,18.4,25.1,1,0.0,0.0,0.0,0.0,13.1,14.6,13.7,12.6,262,261,234,239,14.8,20.2,20.0,19.9,17100.0
point8,33.938782,-118.407814,2025-08-09T20:00,77,18.4,25.2,1,0.0,0.0,0.0,0.0,13.1,14.6,13.7,12.6,262,261,234,239,14.8,20.2,20.0,19.9,17100.0
point9,33.938976,-118.3983,2025-08-09T20:00,77,18.4,25.2,1,0.0,0.0,0.0,0.0,13.1,14.6,13.7,12.6,262,261,234,239,14.8,20.2,20.0,19.9,17100.0
point10,33.940338,-118.380013,2025-08-09T20:00,73,18.7,26.8,1,0.0,0.0,0.0,0.0,13.1,14.6,13.7,12.6,261,260,234,239,14.8,20.2,20.0,19.9,19000.0
point11,33.934719,-118.425179,2025-08-09T20:00,85,18.4,22.6,1,0.0,0.0,0.0,0.0,13.7,14.4,13.7,15.1,268,267,234,252,14.4,20.2,20.0,18.7,14200.0
point12,33.914284,-118.485603,2025-08-09T20:00,92,17.0,19.1,1,0.0,0.0,0.0,0.0,14.5,14.5,13.2,15.1,277,276,247,252,14.8,20.7,20.5,18.9,200.0
point13,33.857025,-118.556046,2025-08-09T20:00,89,16.5,18.7,0,0.0,0.0,0.0,0.0,15.0,15.3,13.2,15.1,280,278,247,252,15.5,20.7,20.5,18.9,200.0
point14,33.805069,-118.55162,2025-08-09T20:00,92,16.8,18.4,0,0.0,0.0,0.0,0.0,15.6,15.5,13.2,15.1,277,275,247,252,15.8,20.7,20.5,18.9,200.0
point15,33.689388,-118.497559,2025-08-09T20:00,95,17.1,18.1,0,0.0,0.0,0.0,0.0,16.8,16.3,13.2,15.1,279,278,247,252,16.6,20.7,20.5,18.9,200.0
point16,33.648701,-118.35463,2025-08-09T20:00,94,17.6,18.7,0,0.0,0.0,0.0,0.0,19.1,18.3,13.2,16.6,281,280,247,266,19.1,20.7,20.5,17.4,200.0
point17,33.644466,-118.001923,2025-08-09T20:00,83,19.3,24.7,0,0.0,0.0,0.0,0.0,9.5,9.8,16.1,14.5,233,234,229,247,9.7,20.9,20.7,20.3,15500.0
point18,33.505737,-117.204842,2025-08-09T20:00,43,16.1,31.1,0,0.0,0.0,0.0,0.0,21.4,23.7,16.4,15.3,224,223,214,221,23.8,29.4,29.1,23.6,43600.0
point19,33.379303,-115.74646,2025-08-09T21:00,40,23.4,45.7,0,0.0,0.0,0.0,0.0,11.9,12.3,8.5,8.3,178,177,56,175,12.2,37.5,37.4,33.3,46300.0
point20,33.191883,-114.149689,2025-08-09T21:00,25,15.7,41.2,0,0.0,0.0,0.0,0.0,15.6,16.3,18.5,19.3,209,208,197,201,16.2,37.1,36.8,34.8,69300.0
point21,32.984039,-112.560928,2025-08-09T21:00,21,14.7,43.2,0,0.0,0.0,0.0,0.0,13.3,13.4,17.6,16.9,283,284,270,259,15.5,38.5,38.2,36.3,75800.0
point22,32.753185,-110.957031,2025-08-09T21:00,38,16.5,33.7,1,0.0,0.0,0.0,0.0,21.8,22.6,22.6,23.2,292,292,312,294,22.7,31.2,30.9,30.5,48600.0
point23,32.448669,-109.415085,2025-08-09T21:00,14,7.8,39.6,0,0.0,0.0,0.0,0.0,16.5,17.3,18.9,18.1,324,324,342,343,19.8,36.4,36.1,35.2,90000.0
point24,32.050018,-107.922142,2025-08-09T21:00,11,3.2,39.2,0,0.0,0.0,0.0,0.0,5.8,6.1,14.6,10.2,86,90,80,39,9.4,36.1,35.8,33.3,90000.0
point25,31.753105,-106.42485,2025-08-09T22:00,15,8.2,40.6,0,0.0,0.0,0.0,0.0,3.1,4.3,2.1,7.0,111,90,225,192,8.6,36.5,36.3,35.0,90000.0
point26,31.583847,-104.814857,2025-08-09T22:00,12,4.7,36.7,1,0.0,0.0,0.0,0.0,17.7,18.1,6.7,6.8,204,203,119,90,20.9,36.0,35.7,34.9,90000.0
point27,31.845367,-103.324127,2025-08-09T22:00,13,6.0,36.9,0,0.0,0.0,0.0,0.0,20.0,21.9,31.0,22.3,142,144,139,146,22.3,37.2,37.0,35.2,90000.0
point28,32.049118,-101.807144,2025-08-09T22:00,20,11.4,36.6,0,0.0,0.0,0.0,0.0,22.0,24.6,28.7,23.4,159,159,170,170,25.2,35.9,35.7,34.2,79200.0
