id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,42.367413,-71.014191,2026-01-04T12:00,74,-8.5,-8.5,8,0.0,0.0,0.14,0.0,5.2,11.1,17.8,17.1,304,324,336,321,16.9,-4.7,-4.9,-7.1,20200.0
point2,42.366039,-71.012764,2026-01-04T14:00,90,-6.1,-8.9,5,0.0,0.0,0.0,0.01,8.6,10.9,21.1,17.6,327,333,329,325,15.5,-4.9,-5.1,-7.4,14000.0
point3,42.36327,-71.013351,2026-01-04T14:00,90,-6.1,-8.9,4,0.0,0.0,0.0,0.01,8.6,10.9,21.1,17.6,327,333,329,325,15.5,-4.9,-5.1,-7.4,14000.0
point4,42.360489,-71.014702,2026-01-04T14:00,90,-6.1,-8.9,4,0.0,0.0,0.0,0.01,8.6,10.9,21.1,17.6,327,333,329,325,15.5,-4.9,-5.1,-7.4,14000.0
point5,42.357571,-71.016113,2026-01-04T14:00,90,-6.1,-8.9,4,0.0,0.0,0.0,0.01,8.6,10.9,21.1,17.6,327,333,329,325,15.5,-4.9,-5.1,-7.4,14000.0
point6,42.35638,-71.018867,2026-01-04T14:00,90,-6.1,-8.9,4,0.0,0.0,0.0,0.01,8.6,10.9,21.1,17.6,327,333,329,325,15.5,-4.9,-5.1,-7.4,14000.0
point7,42.35577,-71.017738,2026-01-04T15:00,89,-5.8,-8.4,2,0.0,0.0,0.07,0.01,8.7,9.9,21.6,11.8,318,316,328,322,15.5,-4.5,-4.7,-7.2,10900.0
point8,42.354099,-71.016029,2026-01-04T15:00,89,-5.8,-8.4,2,0.0,0.0,0.07,0.01,8.7,9.9,21.6,11.8,318,316,328,322,15.5,-4.5,-4.7,-7.2,10900.0
point9,42.354752,-71.013702,2026-01-04T15:00,89,-5.8,-8.4,2,0.0,0.0,0.07,0.01,8.7,9.9,21.6,11.8,318,316,328,322,15.5,-4.5,-4.7,-7.2,10900.0
point10,42.356232,-71.010162,2026-01-04T15:00,89,-5.8,-8.4,2,0.0,0.0,0.07,0.01,8.7,9.9,21.6,11.8,318,316,328,322,15.5,-4.5,-4.7,-7.2,10900.0
point11,42.35894,-70.994751,2026-01-04T15:00,89,-5.8,-8.4,2,0.0,0.0,0.07,0.01,8.7,9.9,21.6,11.8,318,316,328,322,15.5,-4.5,-4.7,-7.2,10900.0
point12,42.36264,-70.969498,2026-01-04T15:00,89,-5.7,-8.2,2,0.0,0.0,0.14,0.01,8.5,10.0,21.6,11.8,324,322,328,322,15.1,-4.5,-4.7,-7.2,10300.0
point13,42.366726,-70.944405,2026-01-04T15:00,90,-5.4,-8.9,2,0.0,0.0,0.14,0.0,14.3,13.6,21.6,11.8,321,320,328,322,15.8,-4.4,-4.6,-7.2,10700.0
point14,42.386929,-70.831284,2026-01-04T15:00,89,-5.1,-8.7,3,0.0,0.0,0.0,0.0,16.3,15.0,24.5,20.5,315,314,327,321,16.2,-4.5,-4.7,-6.8,15600.0
point15,42.383717,-70.783379,2026-01-04T15:00,88,-5.0,-8.6,4,0.0,0.0,0.0,0.0,17.6,16.6,24.5,20.5,313,312,327,321,17.6,-4.5,-4.7,-6.8,16200.0
point16,42.372482,-70.742531,2026-01-04T15:00,86,-5.1,-8.6,5,0.0,0.0,0.14,0.0,18.8,18.3,24.5,20.5,313,313,327,321,19.1,-4.5,-4.7,-6.8,16900.0
point17,42.344604,-70.718872,2026-01-04T15:00,84,-5.0,-8.4,6,0.0,0.0,0.14,0.0,20.6,20.1,24.5,20.5,313,313,327,321,20.5,-4.5,-4.7,-6.8,17700.0
point18,42.30867,-70.720306,2026-01-04T15:00,83,-4.8,-8.4,6,0.0,0.0,0.21,0.0,22.4,22.2,24.5,20.5,312,313,327,321,22.3,-4.5,-4.7,-6.8,17900.0
point19,42.283356,-70.743904,2026-01-04T15:00,85,-4.7,-8.3,6,0.0,0.0,0.14,0.0,20.8,20.5,24.5,20.5,307,309,327,321,20.5,-4.5,-4.7,-6.8,17400.0
point20,42.267708,-70.783318,2026-01-04T15:00,87,-5.3,-8.0,5,0.0,0.0,0.21,0.02,12.3,15.6,24.5,20.5,302,304,327,321,16.2,-4.5,-4.7,-6.8,15300.0
point21,42.173309,-71.321182,2026-01-04T15:00,85,-5.3,-6.9,1,0.0,0.0,0.0,0.01,6.3,8.2,19.4,11.5,329,322,331,302,16.9,-4.3,-4.5,-7.0,16400.0
point22,42.019363,-72.238541,2026-01-04T15:00,79,-7.8,-8.8,1,0.0,0.0,0.0,0.02,6.7,10.0,12.7,10.2,324,322,327,309,19.8,-6.2,-6.4,-8.6,18300.0
point23,41.928391,-72.702789,2026-01-04T15:00,81,-6.4,-6.7,0,0.0,0.0,0.0,0.01,1.1,2.5,10.1,11.2,288,315,314,310,9.0,-3.9,-4.1,-7.7,17400.0
point24,41.897003,-72.74897,2026-01-04T15:00,81,-5.9,-6.1,0,0.0,0.0,0.0,0.01,1.1,2.6,10.1,11.2,288,304,314,310,9.4,-3.7,-4.0,-7.6,17200.0
point25,41.424316,-73.392105,2026-01-04T15:00,84,-6.2,-7.5,0,0.0,0.0,0.0,0.07,5.2,6.2,9.2,9.7,348,350,323,329,12.2,-4.8,-5.0,-7.5,17200.0
point26,40.931122,-74.167297,2026-01-04T15:00,68,-6.8,-5.5,0,0.0,0.0,0.0,0.0,6.4,6.6,19.8,16.7,317,319,325,323,15.1,-3.1,-3.3,-5.5,25500.0
point27,40.619854,-74.733498,2026-01-04T16:00,57,-7.5,-4.8,0,0.0,0.0,0.0,0.0,12.2,14.5,19.1,17.1,315,316,326,312,17.6,-2.2,-2.4,-4.8,33400.0
point28,40.460411,-75.084564,2026-01-04T16:00,64,-6.4,-5.3,0,0.0,0.0,0.0,0.0,13.6,16.6,20.8,18.4,307,309,324,310,19.1,-2.9,-3.1,-4.8,28300.0
point29,40.1548,-75.495544,2026-01-04T16:00,59,-7.0,-4.7,0,0.0,0.0,0.0,0.0,12.2,14.5,20.4,20.7,313,312,321,310,20.9,-2.2,-2.4,-4.4,31500.0
point30,39.630898,-76.184753,2026-01-04T16:00,52,-7.7,-4.4,0,0.0,0.0,0.0,0.0,16.6,23.4,28.3,25.1,312,313,326,322,26.3,-1.3,-1.6,-3.2,38300.0
point31,39.386127,-76.475159,2026-01-04T16:00,49,-7.9,-3.7,0,0.0,0.0,0.0,0.0,15.6,20.8,27.0,19.6,304,304,323,319,26.3,-0.5,-0.7,-2.1,40200.0
point32,39.170311,-76.663452,2026-01-04T16:00,45,-9.0,-2.7,0,0.0,0.0,0.0,0.0,8.9,10.7,22.9,12.3,310,310,323,322,25.6,-0.1,-0.3,-1.7,45000.0
point33,39.012726,-76.848473,2026-01-04T16:00,40,-10.0,-1.9,0,0.0,0.0,0.0,0.0,5.6,6.9,16.6,10.9,310,317,329,316,20.5,0.7,0.5,-1.1,50700.0
point34,38.919441,-76.938782,2026-01-04T16:00,43,-9.0,-1.5,0,0.0,0.0,0.0,0.0,4.7,6.7,22.2,10.5,302,306,326,322,20.5,1.0,0.8,-0.8,46900.0
point35,38.888214,-76.9412,2026-01-04T16:00,43,-9.2,-1.8,0,0.0,0.0,0.0,0.0,5.0,6.9,22.2,10.5,300,298,326,322,23.4,0.7,0.5,-1.1,47400.0
point36,38.766037,-76.94323,2026-01-04T16:00,37,-10.9,-1.9,0,0.0,0.0,0.0,0.0,6.3,7.8,22.5,6.8,301,304,334,328,24.5,1.0,0.7,-0.9,54500.0
