point_id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
0,40.642651,-73.774551,2026-01-11T14:00,87,4.7,3.6,12,0.0,0.0,0.0,0.0,12.4,22.0,32.1,35.0,280,270,320,310,22.3,6.0,5.8,4.6,16300.0
1,40.644413,-73.772232,2026-01-11T15:00,74,2.7,2.6,8,0.0,0.0,0.0,0.0,19.3,31.3,32.5,37.0,291,293,316,311,37.4,5.5,5.3,4.0,22400.0
2,40.638954,-73.775238,2026-01-11T15:00,74,2.7,2.6,8,0.0,0.0,0.0,0.0,19.3,31.3,32.5,37.0,291,293,316,311,37.4,5.5,5.3,4.0,22400.0
3,40.6325,-73.776764,2026-01-11T15:00,74,2.7,2.6,8,0.0,0.0,0.0,0.0,19.3,31.3,32.5,37.0,291,293,316,311,37.4,5.6,5.4,4.0,22400.0
4,40.628651,-73.773209,2026-01-11T16:00,56,-1.1,1.3,2,0.0,0.0,0.0,0.0,23.3,29.5,30.9,34.0,290,288,305,306,33.8,5.9,5.7,4.0,34200.0
5,40.641453,-73.805153,2026-01-11T16:00,55,-1.5,1.2,2,0.0,0.0,0.0,0.0,23.3,29.8,30.9,34.0,290,288,305,306,33.8,5.9,5.7,4.0,35300.0
6,40.64164,-73.841858,2026-01-11T16:00,55,-1.4,1.3,1,0.0,0.0,0.0,0.0,23.5,29.3,30.9,34.0,291,289,305,306,33.8,5.9,5.7,4.0,35700.0
7,40.622505,-73.885612,2026-01-11T16:00,57,-1.0,1.6,1,0.0,0.0,0.0,0.0,20.9,27.1,28.1,34.0,291,289,307,306,32.0,5.7,5.5,4.0,33700.0
8,40.583542,-73.921448,2026-01-11T16:00,59,-1.1,0.9,1,0.0,0.0,0.0,0.0,21.0,27.8,28.1,34.0,292,291,307,306,31.3,5.6,5.4,4.0,32400.0
9,40.497665,-74.001587,2026-01-11T16:00,73,-0.8,-1.6,2,0.0,0.0,0.0,0.0,20.2,25.0,24.7,29.9,281,295,298,306,25.9,6.3,6.1,3.9,22400.0
10,40.232864,-74.445045,2026-01-11T16:00,59,-1.2,1.1,3,0.0,0.0,0.0,0.0,19.1,24.5,23.0,30.3,281,280,297,300,27.4,6.2,6.0,3.3,32500.0
11,40.197765,-74.562645,2026-01-11T16:00,56,-2.2,0.9,3,0.0,0.0,0.0,0.0,17.2,22.7,23.0,31.0,290,288,297,301,33.8,6.3,6.1,3.1,34200.0
12,40.137199,-75.204163,2026-01-11T16:00,64,0.2,2.5,0,0.0,0.0,0.0,0.0,13.4,17.7,28.3,28.1,265,266,293,303,34.9,4.3,4.1,2.3,28600.0
