id,lat,lon,time,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m,visibility
point1,40.63858,-73.781746,2026-02-02T03:00,56,-17.1,-16.0,0,0.0,0.0,0.0,0.27,16.1,38.8,33.8,38.8,294,305,326,325,48.2,-10.0,-10.1,-11.2,34900.0
point2,40.636494,-73.782593,2026-02-02T04:00,59,-16.1,-16.2,0,0.0,0.0,0.0,0.27,20.2,43.9,29.7,37.0,301,312,324,323,54.7,-10.8,-10.9,-11.6,29600.0
point3,40.633701,-73.781555,2026-02-02T04:00,59,-16.1,-16.2,0,0.0,0.0,0.0,0.27,20.2,43.9,29.7,37.0,301,312,324,323,54.7,-10.8,-10.9,-11.6,29600.0
point4,40.631092,-73.780396,2026-02-02T04:00,61,-16.1,-16.8,0,0.0,0.0,0.0,0.27,21.7,45.7,29.7,37.0,299,310,324,323,54.4,-10.8,-10.9,-11.6,28300.0
point5,40.627304,-73.783356,2026-02-02T04:00,59,-16.1,-16.2,0,0.0,0.0,0.0,0.27,20.2,43.9,29.7,37.0,301,312,324,323,54.7,-10.8,-10.9,-11.6,29600.0
point6,40.623764,-73.786133,2026-02-02T04:00,59,-15.4,-16.0,0,0.0,0.0,0.0,0.25,24.3,43.3,29.7,37.0,308,312,324,323,62.3,-10.8,-10.9,-11.6,30200.0
point7,40.624111,-73.783989,2026-02-02T04:00,59,-15.8,-16.3,0,0.0,0.0,0.0,0.25,23.4,45.7,29.7,37.0,313,310,324,323,61.9,-10.8,-10.9,-11.6,29500.0
point8,40.666214,-73.745728,2026-02-02T04:00,62,-15.5,-16.7,0,0.0,0.0,0.0,0.29,23.5,43.9,29.7,37.0,297,311,324,323,52.9,-10.8,-11.0,-11.6,28600.0
point9,40.668045,-73.704529,2026-02-02T04:00,64,-15.0,-16.8,0,0.0,0.0,0.0,0.29,25.6,40.1,29.7,37.0,305,310,324,323,53.3,-10.8,-11.0,-11.6,28100.0
point10,40.650532,-73.661644,2026-02-02T04:00,66,-15.3,-15.9,0,0.0,0.0,0.0,0.26,14.8,35.8,29.7,37.0,283,302,324,323,50.4,-10.8,-11.0,-11.6,24700.0
point11,40.611557,-73.637268,2026-02-02T04:00,61,-16.3,-15.8,0,0.0,0.0,0.0,0.25,13.6,29.4,29.7,37.0,253,292,324,323,51.5,-10.8,-10.9,-11.6,26600.0
point12,40.507614,-73.568138,2026-02-02T04:00,62,-10.9,-12.5,0,0.0,0.0,0.0,0.0,30.9,32.1,36.6,37.0,295,295,333,323,45.7,-8.8,-8.9,-11.6,30000.0
point13,40.358826,-73.299683,2026-02-02T04:00,53,-10.9,-12.9,0,0.0,0.0,0.0,0.0,47.5,50.5,46.2,39.1,320,318,336,332,54.0,-5.8,-6.0,-9.0,37600.0
point14,39.926041,-72.385109,2026-02-02T04:00,59,-7.9,-9.7,0,0.0,0.0,0.0,0.0,39.4,39.9,43.2,50.4,309,309,338,336,40.0,-4.0,-4.2,-5.5,32000.0
point15,39.921246,-72.29071,2026-02-02T04:00,62,-7.1,-9.1,0,0.0,0.0,0.0,0.0,36.7,37.2,44.6,50.4,308,308,337,336,37.8,-3.2,-3.4,-5.5,29800.0
point16,39.942986,-72.205208,2026-02-02T04:00,63,-6.6,-8.7,0,0.0,0.0,0.0,0.0,36.3,36.9,44.6,49.3,309,309,337,336,38.5,-3.2,-3.4,-5.6,29200.0
point17,40.163734,-71.365936,2026-02-02T04:00,53,-7.5,-6.7,0,0.0,0.0,0.0,0.0,32.3,33.3,38.5,51.6,325,324,343,337,40.3,-2.7,-2.9,-4.8,37300.0
point18,40.503937,-69.906128,2026-02-02T04:00,78,-2.7,-8.1,1,0.0,0.0,0.0,0.0,43.3,46.2,54.0,52.4,318,319,342,336,51.1,-1.3,-1.5,-4.5,20300.0
point19,40.82991,-68.409668,2026-02-02T04:00,85,-0.5,-9.0,13,0.0,0.0,0.0,0.0,58.6,66.5,65.9,61.2,331,331,353,351,66.6,0.6,0.3,-1.6,17500.0
